seq,time_hms,proc,chip,summary,source_file,file_idx,start_time
1,?,IVg,68.0,IVg chip 68  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #8,raw_data/Alisson_22_sept/IVg2025-09-22_8.csv,8,
2,?,IVg,68.0,IVg chip 68  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #9,raw_data/Alisson_22_sept/IVg2025-09-22_9.csv,9,
3,?,It,68.0,It  chip 68  VG=1.16 V  VDS=0.1 V  VL=4.76 V  λ=365.0 nm  period=240.0 s  #12,raw_data/Alisson_22_sept/It2025-09-22_12.csv,12,
4,?,It,68.0,It  chip 68  VG=-5.46 V  VDS=0.1 V  VL=4.76 V  λ=365.0 nm  period=240.0 s  #9,raw_data/Alisson_22_sept/It2025-09-22_9.csv,9,
5,?,It,68.0,It  chip 68  VG=-5.46 V  VDS=0.1 V  VL=2.77 V  λ=365.0 nm  period=240.0 s  #8,raw_data/Alisson_22_sept/It2025-09-22_8.csv,8,
6,?,It,68.0,It  chip 68  VG=1.16 V  VDS=0.1 V  VL=0.89 V  λ=365.0 nm  period=240.0 s  #13,raw_data/Alisson_22_sept/It2025-09-22_13.csv,13,
7,?,It,68.0,It  chip 68  VG=1.16 V  VDS=0.1 V  VL=2.77 V  λ=365.0 nm  period=240.0 s  #11,raw_data/Alisson_22_sept/It2025-09-22_11.csv,11,
8,?,It,68.0,It  chip 68  VG=1.16 V  VDS=0.1 V  VL=0.89 V  λ=365.0 nm  period=240.0 s  #10,raw_data/Alisson_22_sept/It2025-09-22_10.csv,10,
9,?,It,68.0,It  chip 68  VG=1.16 V  VDS=0.1 V  VL=2.77 V  λ=365.0 nm  period=240.0 s  #14,raw_data/Alisson_22_sept/It2025-09-22_14.csv,14,
10,?,It,68.0,It  chip 68  VG=1.16 V  VDS=0.1 V  VL=4.76 V  λ=365.0 nm  period=240.0 s  #15,raw_data/Alisson_22_sept/It2025-09-22_15.csv,15,
11,?,It,68.0,It  chip 68  VG=1.16 V  VDS=0.1 V  VL=2.77 V  λ=365.0 nm  period=240.0 s  #17,raw_data/Alisson_22_sept/It2025-09-22_17.csv,17,
12,?,It,68.0,It  chip 68  VG=1.16 V  VDS=0.1 V  VL=0.89 V  λ=365.0 nm  period=240.0 s  #16,raw_data/Alisson_22_sept/It2025-09-22_16.csv,16,
13,?,IVg,72.0,IVg chip 72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #14,raw_data/Alisson_22_sept/IVg2025-09-22_14.csv,14,
14,?,It,68.0,It  chip 68  VG=-5.46 V  VDS=0.1 V  VL=0.89 V  λ=365.0 nm  period=240.0 s  #1,raw_data/Alisson_22_sept/It2025-09-22_1.csv,1,
15,?,It,68.0,It  chip 68  VG=1.16 V  VDS=0.1 V  VL=4.76 V  λ=365.0 nm  period=240.0 s  #18,raw_data/Alisson_22_sept/It2025-09-22_18.csv,18,
16,?,It,68.0,It  chip 68  VG=-5.46 V  VDS=0.1 V  VL=4.76 V  λ=365.0 nm  period=240.0 s  #3,raw_data/Alisson_22_sept/It2025-09-22_3.csv,3,
17,?,It,68.0,It  chip 68  VG=-5.46 V  VDS=0.1 V  VL=2.77 V  λ=365.0 nm  period=240.0 s  #2,raw_data/Alisson_22_sept/It2025-09-22_2.csv,2,
18,?,It,72.0,It  chip 72  VG=-5.12 V  VDS=0.1 V  VL=1.33 V  λ=850.0 nm  period=120.0 s  #19,raw_data/Alisson_22_sept/It2025-09-22_19.csv,19,
19,?,It,72.0,It  chip 72  VG=-5.12 V  VDS=0.1 V  VL=3.98 V  λ=850.0 nm  period=120.0 s  #21,raw_data/Alisson_22_sept/It2025-09-22_21.csv,21,
20,?,It,68.0,It  chip 68  VG=-5.46 V  VDS=0.1 V  VL=4.76 V  λ=365.0 nm  period=240.0 s  #6,raw_data/Alisson_22_sept/It2025-09-22_6.csv,6,
21,?,IVg,72.0,IVg chip 72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #12,raw_data/Alisson_22_sept/IVg2025-09-22_12.csv,12,
22,?,LaserCalibration,,LaserCalibration λ=365.0 nm  #1,raw_data/Alisson_22_sept/LaserCalibration2025-09-22_1.csv,1,
23,?,IVg,72.0,IVg chip 72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #13,raw_data/Alisson_22_sept/IVg2025-09-22_13.csv,13,
24,?,It,68.0,It  chip 68  VG=-5.46 V  VDS=0.1 V  VL=0.89 V  λ=365.0 nm  period=240.0 s  #7,raw_data/Alisson_22_sept/It2025-09-22_7.csv,7,
25,?,It,72.0,It  chip 72  VG=-5.12 V  VDS=0.1 V  VL=2.64 V  λ=850.0 nm  period=120.0 s  #20,raw_data/Alisson_22_sept/It2025-09-22_20.csv,20,
26,?,IVg,68.0,IVg chip 68  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #11,raw_data/Alisson_22_sept/IVg2025-09-22_11.csv,11,
27,?,It,68.0,It  chip 68  VG=-5.46 V  VDS=0.1 V  VL=2.77 V  λ=365.0 nm  period=240.0 s  #5,raw_data/Alisson_22_sept/It2025-09-22_5.csv,5,
28,?,LaserCalibration,,LaserCalibration λ=850.0 nm  #2,raw_data/Alisson_22_sept/LaserCalibration2025-09-22_2.csv,2,
