#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 300 s
#	Chip group name: Alisson
#	Chip number: 80
#	Information: monitoring
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1760370548.4022536
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,2.958578e-05,nan,nan,nan
-0.05,2.909436e-05,nan,nan,nan
-0.1,2.784948e-05,nan,nan,nan
-0.15000000000000002,2.687557e-05,nan,nan,nan
-0.2,2.613271e-05,nan,nan,nan
-0.25,2.577697e-05,nan,nan,nan
-0.30000000000000004,2.58412e-05,nan,nan,nan
-0.35000000000000003,2.630187e-05,nan,nan,nan
-0.4,2.714245e-05,nan,nan,nan
-0.45,2.843988e-05,nan,nan,nan
-0.5,2.999422e-05,nan,nan,nan
-0.55,3.187267e-05,nan,nan,nan
-0.6000000000000001,3.400675e-05,nan,nan,nan
-0.65,3.64188e-05,nan,nan,nan
-0.7000000000000001,3.87076e-05,nan,nan,nan
-0.75,4.140688e-05,nan,nan,nan
-0.8,4.391314e-05,nan,nan,nan
-0.8500000000000001,4.647892e-05,nan,nan,nan
-0.9,4.886839e-05,nan,nan,nan
-0.9500000000000001,5.137463e-05,nan,nan,nan
-1.0,5.363735e-05,nan,nan,nan
-1.05,5.586459e-05,nan,nan,nan
-1.1,5.801132e-05,nan,nan,nan
-1.1500000000000001,5.998489e-05,nan,nan,nan
-1.2000000000000002,6.200904e-05,nan,nan,nan
-1.25,6.39545e-05,nan,nan,nan
-1.3,6.564792e-05,nan,nan,nan
-1.35,6.737855e-05,nan,nan,nan
-1.4000000000000001,6.89736e-05,nan,nan,nan
-1.4500000000000002,7.056259e-05,nan,nan,nan
-1.5,7.213011e-05,nan,nan,nan
-1.55,7.370982e-05,nan,nan,nan
-1.6,7.500219e-05,nan,nan,nan
-1.6500000000000001,7.633448e-05,nan,nan,nan
-1.7000000000000002,7.76259e-05,nan,nan,nan
-1.75,7.898083e-05,nan,nan,nan
-1.8,8.00742e-05,nan,nan,nan
-1.85,8.122541e-05,nan,nan,nan
-1.9000000000000001,8.230224e-05,nan,nan,nan
-1.9500000000000002,8.339823e-05,nan,nan,nan
-2.0,8.503917e-05,nan,nan,nan
-2.0500000000000003,8.545793e-05,nan,nan,nan
-2.1,8.641509e-05,nan,nan,nan
-2.15,8.743731e-05,nan,nan,nan
-2.2,8.82633e-05,nan,nan,nan
-2.25,8.92362e-05,nan,nan,nan
-2.3000000000000003,9.016355e-05,nan,nan,nan
-2.35,9.104938e-05,nan,nan,nan
-2.4000000000000004,9.18634e-05,nan,nan,nan
-2.45,9.276865e-05,nan,nan,nan
-2.5,9.355077e-05,nan,nan,nan
-2.5500000000000003,9.432643e-05,nan,nan,nan
-2.6,9.513395e-05,nan,nan,nan
-2.6500000000000004,9.587118e-05,nan,nan,nan
-2.7,9.666241e-05,nan,nan,nan
-2.75,9.739254e-05,nan,nan,nan
-2.8000000000000003,9.818385e-05,nan,nan,nan
-2.85,9.88614e-05,nan,nan,nan
-2.9000000000000004,9.94924e-05,nan,nan,nan
-2.95,0.0001002316,nan,nan,nan
-3.0,0.0001009329,nan,nan,nan
-3.0500000000000003,0.0001016381,nan,nan,nan
-3.1,0.0001022836,nan,nan,nan
-3.1500000000000004,0.000102974,nan,nan,nan
-3.2,0.000103615,nan,nan,nan
-3.25,0.0001042548,nan,nan,nan
-3.3000000000000003,0.0001048526,nan,nan,nan
-3.35,0.0001055125,nan,nan,nan
-3.4000000000000004,0.0001061579,nan,nan,nan
-3.45,0.0001067876,nan,nan,nan
-3.5,0.0001073843,nan,nan,nan
-3.5500000000000003,0.0001079695,nan,nan,nan
-3.6,0.0001085895,nan,nan,nan
