#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 60 s
#	Chip group name: Alisson
#	Chip number: 80
#	Information: monitoring
#	Laser voltage: 1.25 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1760379759.9334307
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,4.264159e-05,nan,nan,nan
-0.05,4.198748e-05,nan,nan,nan
-0.1,4.071102e-05,nan,nan,nan
-0.15000000000000002,3.935074e-05,nan,nan,nan
-0.2,3.781384e-05,nan,nan,nan
-0.25,3.627764e-05,nan,nan,nan
-0.30000000000000004,3.479412e-05,nan,nan,nan
-0.35000000000000003,3.320503e-05,nan,nan,nan
-0.4,3.18348e-05,nan,nan,nan
-0.45,3.038925e-05,nan,nan,nan
-0.5,2.904896e-05,nan,nan,nan
-0.55,2.780585e-05,nan,nan,nan
-0.6000000000000001,2.684496e-05,nan,nan,nan
-0.65,2.609324e-05,nan,nan,nan
-0.7000000000000001,2.570425e-05,nan,nan,nan
-0.75,2.565592e-05,nan,nan,nan
-0.8,2.604193e-05,nan,nan,nan
-0.8500000000000001,2.685893e-05,nan,nan,nan
-0.9,2.801938e-05,nan,nan,nan
-0.9500000000000001,2.956006e-05,nan,nan,nan
-1.0,3.148208e-05,nan,nan,nan
-1.05,3.359496e-05,nan,nan,nan
-1.1,3.594062e-05,nan,nan,nan
-1.1500000000000001,3.831209e-05,nan,nan,nan
-1.2000000000000002,4.077545e-05,nan,nan,nan
-1.25,4.333219e-05,nan,nan,nan
-1.3,4.583135e-05,nan,nan,nan
-1.35,4.827383e-05,nan,nan,nan
-1.4000000000000001,5.04329e-05,nan,nan,nan
-1.4500000000000002,5.275544e-05,nan,nan,nan
-1.5,5.517963e-05,nan,nan,nan
-1.55,5.748568e-05,nan,nan,nan
-1.6,5.942691e-05,nan,nan,nan
-1.6500000000000001,6.150723e-05,nan,nan,nan
-1.7000000000000002,6.333271e-05,nan,nan,nan
-1.75,6.515639e-05,nan,nan,nan
-1.8,6.69127e-05,nan,nan,nan
-1.85,6.853548e-05,nan,nan,nan
-1.9000000000000001,7.020528e-05,nan,nan,nan
-1.9500000000000002,7.171419e-05,nan,nan,nan
-2.0,7.31289e-05,nan,nan,nan
-2.0500000000000003,7.458833e-05,nan,nan,nan
-2.1,7.592788e-05,nan,nan,nan
-2.15,7.794949e-05,nan,nan,nan
-2.2,7.850949e-05,nan,nan,nan
-2.25,7.974619e-05,nan,nan,nan
-2.3000000000000003,8.095787e-05,nan,nan,nan
-2.35,8.214799e-05,nan,nan,nan
-2.4000000000000004,8.327913e-05,nan,nan,nan
-2.45,8.440378e-05,nan,nan,nan
-2.5,8.541832e-05,nan,nan,nan
-2.5500000000000003,8.641075e-05,nan,nan,nan
-2.6,8.739589e-05,nan,nan,nan
-2.6500000000000004,8.84188e-05,nan,nan,nan
-2.7,8.934046e-05,nan,nan,nan
-2.75,9.021036e-05,nan,nan,nan
-2.8000000000000003,9.110946e-05,nan,nan,nan
-2.85,9.195072e-05,nan,nan,nan
-2.9000000000000004,9.281786e-05,nan,nan,nan
-2.95,9.370709e-05,nan,nan,nan
-3.0,9.454937e-05,nan,nan,nan
-3.0500000000000003,9.547176e-05,nan,nan,nan
-3.1,9.61339e-05,nan,nan,nan
-3.1500000000000004,9.690705e-05,nan,nan,nan
-3.2,9.768154e-05,nan,nan,nan
-3.25,9.844414e-05,nan,nan,nan
-3.3000000000000003,9.917639e-05,nan,nan,nan
-3.35,9.995675e-05,nan,nan,nan
-3.4000000000000004,0.0001006703,nan,nan,nan
-3.45,0.0001013499,nan,nan,nan
-3.5,0.000101992,nan,nan,nan
-3.5500000000000003,0.0001027545,nan,nan,nan
-3.6,0.0001034333,nan,nan,nan
-3.6500000000000004,0.0001041428,nan,nan,nan
-3.7,0.0001047924,nan,nan,nan
-3.75,0.00010554,nan,nan,nan
-3.8000000000000003,0.0001061914,nan,nan,nan
-3.85,0.0001068496,nan,nan,nan
-3.9000000000000004,0.0001075136,nan,nan,nan
-3.95,0.0001081382,nan,nan,nan
-4.0,0.0001087519,nan,nan,nan
-4.05,0.000109334,nan,nan,nan
-4.1000000000000005,0.0001099414,nan,nan,nan
-4.15,0.0001105459,nan,nan,nan
-4.2,0.0001111542,nan,nan,nan
-4.25,0.0001117677,nan,nan,nan
-4.3,0.0001123539,nan,nan,nan
-4.3500000000000005,0.0001129642,nan,nan,nan
-4.4,0.0001136089,nan,nan,nan
-4.45,0.0001141386,nan,nan,nan
-4.5,0.0001147494,nan,nan,nan
-4.55,0.0001153887,nan,nan,nan
-4.6000000000000005,0.0001159024,nan,nan,nan
-4.65,0.0001164631,nan,nan,nan
-4.7,0.000117011,nan,nan,nan
-4.75,0.0001175855,nan,nan,nan
-4.800000000000001,0.0001181336,nan,nan,nan
-4.8500000000000005,0.0001187011,nan,nan,nan
-4.9,0.0001192005,nan,nan,nan
-4.95,0.0001197529,nan,nan,nan
-5.0,0.0001203376,nan,nan,nan
-4.95,0.0001204069,nan,nan,nan
-4.9,0.000119918,nan,nan,nan
-4.8500000000000005,0.0001193671,nan,nan,nan
-4.800000000000001,0.0001188438,nan,nan,nan
-4.750000000000001,0.0001183061,nan,nan,nan
-4.700000000000001,0.0001176703,nan,nan,nan
-4.650000000000001,0.000117122,nan,nan,nan
-4.600000000000001,0.0001165944,nan,nan,nan
-4.550000000000002,0.0001159599,nan,nan,nan
-4.500000000000002,0.000115498,nan,nan,nan
-4.450000000000002,0.0001148605,nan,nan,nan
-4.400000000000002,0.0001142538,nan,nan,nan
-4.350000000000002,0.000113682,nan,nan,nan
-4.3000000000000025,0.0001131457,nan,nan,nan
-4.250000000000003,0.0001125069,nan,nan,nan
-4.200000000000003,0.0001119115,nan,nan,nan
