#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.0001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 80
#	Information: Light testing
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 0.77 V
#	Laser wavelength: 385
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -1.2 V
#Metadata:
#	Start time: 1760391182.9294615
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,4.094563e-05,0.0,nan,nan,nan
0.0836457,4.094206e-05,0.0,nan,nan,nan
0.167171,4.09474e-05,0.0,nan,nan,nan
0.2505145,4.09302e-05,0.0,nan,nan,nan
0.3339791,4.094564e-05,0.0,nan,nan,nan
0.4173019,4.094333e-05,0.0,nan,nan,nan
0.5006703,4.094404e-05,0.0,nan,nan,nan
0.5841152,4.096143e-05,0.0,nan,nan,nan
0.6674869,4.099707e-05,0.0,nan,nan,nan
0.7511584,4.09959e-05,0.0,nan,nan,nan
0.8348665,4.102039e-05,0.0,nan,nan,nan
0.9183193,4.100014e-05,0.0,nan,nan,nan
1.001806,4.098357e-05,0.0,nan,nan,nan
1.085317,4.098489e-05,0.0,nan,nan,nan
1.168945,4.097892e-05,0.0,nan,nan,nan
1.264905,4.09705e-05,0.0,nan,nan,nan
1.348263,4.096483e-05,0.0,nan,nan,nan
1.431765,4.099243e-05,0.0,nan,nan,nan
1.515352,4.099072e-05,0.0,nan,nan,nan
1.598985,4.099091e-05,0.0,nan,nan,nan
1.682863,4.09753e-05,0.0,nan,nan,nan
1.76652,4.098268e-05,0.0,nan,nan,nan
1.850029,4.101899e-05,0.0,nan,nan,nan
1.933636,4.100584e-05,0.0,nan,nan,nan
2.017049,4.102389e-05,0.0,nan,nan,nan
2.100591,4.102292e-05,0.0,nan,nan,nan
2.184085,4.103816e-05,0.0,nan,nan,nan
2.267497,4.101654e-05,0.0,nan,nan,nan
2.350905,4.103191e-05,0.0,nan,nan,nan
2.434471,4.102005e-05,0.0,nan,nan,nan
2.518173,4.105921e-05,0.0,nan,nan,nan
2.601691,4.105563e-05,0.0,nan,nan,nan
2.685148,4.105419e-05,0.0,nan,nan,nan
2.768617,4.106651e-05,0.0,nan,nan,nan
2.852073,4.106791e-05,0.0,nan,nan,nan
2.935622,4.108627e-05,0.0,nan,nan,nan
3.019258,4.107047e-05,0.0,nan,nan,nan
3.102784,4.106479e-05,0.0,nan,nan,nan
3.186254,4.106627e-05,0.0,nan,nan,nan
3.269893,4.104132e-05,0.0,nan,nan,nan
3.353245,4.105198e-05,0.0,nan,nan,nan
3.437343,4.104464e-05,0.0,nan,nan,nan
3.520754,4.103008e-05,0.0,nan,nan,nan
3.60462,4.103559e-05,0.0,nan,nan,nan
3.687981,4.106605e-05,0.0,nan,nan,nan
3.771456,4.105065e-05,0.0,nan,nan,nan
3.855012,4.104606e-05,0.0,nan,nan,nan
3.938556,4.104754e-05,0.0,nan,nan,nan
4.022088,4.10564e-05,0.0,nan,nan,nan
4.105775,4.105569e-05,0.0,nan,nan,nan
4.189444,4.104698e-05,0.0,nan,nan,nan
4.27296,4.105341e-05,0.0,nan,nan,nan
4.356443,4.104115e-05,0.0,nan,nan,nan
4.439871,4.102421e-05,0.0,nan,nan,nan
4.523465,4.106691e-05,0.0,nan,nan,nan
4.60683,4.107436e-05,0.0,nan,nan,nan
4.690218,4.103583e-05,0.0,nan,nan,nan
4.773536,4.10504e-05,0.0,nan,nan,nan
4.857361,4.107074e-05,0.0,nan,nan,nan
4.940756,4.106715e-05,0.0,nan,nan,nan
5.024121,4.103046e-05,0.0,nan,nan,nan
5.107506,4.101769e-05,0.0,nan,nan,nan
5.190997,4.104929e-05,0.0,nan,nan,nan
5.274509,4.104568e-05,0.0,nan,nan,nan
5.377143,4.106277e-05,0.0,nan,nan,nan
5.465086,4.106084e-05,0.0,nan,nan,nan
5.54861,4.105852e-05,0.0,nan,nan,nan
5.632608,4.102002e-05,0.0,nan,nan,nan
5.716084,4.105991e-05,0.0,nan,nan,nan
5.799857,4.107366e-05,0.0,nan,nan,nan
5.883265,4.10932e-05,0.0,nan,nan,nan
5.96683,4.108276e-05,0.0,nan,nan,nan
6.050605,4.107568e-05,0.0,nan,nan,nan
6.134132,4.106743e-05,0.0,nan,nan,nan
6.217604,4.110395e-05,0.0,nan,nan,nan
6.301269,4.108169e-05,0.0,nan,nan,nan
6.384886,4.10914e-05,0.0,nan,nan,nan
6.46897,4.107424e-05,0.0,nan,nan,nan
6.552565,4.107508e-05,0.0,nan,nan,nan
6.635957,4.110615e-05,0.0,nan,nan,nan
6.719385,4.11103e-05,0.0,nan,nan,nan
6.802751,4.11031e-05,0.0,nan,nan,nan
6.886181,4.108663e-05,0.0,nan,nan,nan
