#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.0001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 80
#	Information: Light testing
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 1.25 V
#	Laser wavelength: 455
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: 0.5 V
#Metadata:
#	Start time: 1760376786.969408
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,5.245737e-05,0.0,nan,nan,nan
0.08349786,5.247017e-05,0.0,nan,nan,nan
0.1671465,5.245185e-05,0.0,nan,nan,nan
0.2507444,5.247974e-05,0.0,nan,nan,nan
0.3344571,5.248735e-05,0.0,nan,nan,nan
0.4180237,5.248463e-05,0.0,nan,nan,nan
0.501803,5.247834e-05,0.0,nan,nan,nan
0.5852669,5.248125e-05,0.0,nan,nan,nan
0.6688258,5.247587e-05,0.0,nan,nan,nan
0.7522605,5.24883e-05,0.0,nan,nan,nan
0.8358524,5.248636e-05,0.0,nan,nan,nan
0.9192816,5.248534e-05,0.0,nan,nan,nan
1.002907,5.246525e-05,0.0,nan,nan,nan
1.086534,5.245304e-05,0.0,nan,nan,nan
1.170343,5.24724e-05,0.0,nan,nan,nan
1.253896,5.246076e-05,0.0,nan,nan,nan
1.337536,5.244268e-05,0.0,nan,nan,nan
1.421314,5.245331e-05,0.0,nan,nan,nan
1.504849,5.247392e-05,0.0,nan,nan,nan
1.588502,5.248692e-05,0.0,nan,nan,nan
1.672207,5.247096e-05,0.0,nan,nan,nan
1.755684,5.248712e-05,0.0,nan,nan,nan
1.839234,5.249697e-05,0.0,nan,nan,nan
1.922941,5.250031e-05,0.0,nan,nan,nan
2.00672,5.250888e-05,0.0,nan,nan,nan
2.090432,5.250672e-05,0.0,nan,nan,nan
2.173882,5.252505e-05,0.0,nan,nan,nan
2.257563,5.252972e-05,0.0,nan,nan,nan
2.341175,5.250353e-05,0.0,nan,nan,nan
2.424704,5.253317e-05,0.0,nan,nan,nan
2.508241,5.250481e-05,0.0,nan,nan,nan
2.591862,5.24918e-05,0.0,nan,nan,nan
2.6752,5.250417e-05,0.0,nan,nan,nan
2.758816,5.251295e-05,0.0,nan,nan,nan
2.84308,5.249337e-05,0.0,nan,nan,nan
2.92649,5.251634e-05,0.0,nan,nan,nan
3.010223,5.250437e-05,0.0,nan,nan,nan
3.107273,5.25063e-05,0.0,nan,nan,nan
3.190749,5.251469e-05,0.0,nan,nan,nan
3.27441,5.24664e-05,0.0,nan,nan,nan
3.357877,5.246653e-05,0.0,nan,nan,nan
3.441626,5.245759e-05,0.0,nan,nan,nan
3.525117,5.247274e-05,0.0,nan,nan,nan
3.608517,5.250644e-05,0.0,nan,nan,nan
3.692563,5.250817e-05,0.0,nan,nan,nan
3.776131,5.24782e-05,0.0,nan,nan,nan
3.860328,5.25094e-05,0.0,nan,nan,nan
3.943992,5.249627e-05,0.0,nan,nan,nan
4.028068,5.249261e-05,0.0,nan,nan,nan
4.111688,5.249476e-05,0.0,nan,nan,nan
4.195126,5.250651e-05,0.0,nan,nan,nan
