#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.0001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 80
#	Information: Light testing
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 1.25 V
#	Laser wavelength: 455
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: 1 V
#Metadata:
#	Start time: 1760377094.62218
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,5.959898e-05,0.0,nan,nan,nan
0.0836286,5.959603e-05,0.0,nan,nan,nan
0.1670943,5.959138e-05,0.0,nan,nan,nan
0.2506684,5.95949e-05,0.0,nan,nan,nan
0.3340777,5.959001e-05,0.0,nan,nan,nan
0.4185728,5.957135e-05,0.0,nan,nan,nan
0.5021206,5.957374e-05,0.0,nan,nan,nan
0.5857023,5.957346e-05,0.0,nan,nan,nan
0.6691243,5.9582e-05,0.0,nan,nan,nan
0.7526062,5.959694e-05,0.0,nan,nan,nan
0.8362171,5.960212e-05,0.0,nan,nan,nan
0.9199383,5.961132e-05,0.0,nan,nan,nan
1.003684,5.960839e-05,0.0,nan,nan,nan
1.087686,5.961736e-05,0.0,nan,nan,nan
1.1713,5.961057e-05,0.0,nan,nan,nan
1.254738,5.961534e-05,0.0,nan,nan,nan
1.338256,5.959399e-05,0.0,nan,nan,nan
1.422731,5.958746e-05,0.0,nan,nan,nan
1.506223,5.957988e-05,0.0,nan,nan,nan
1.589738,5.956212e-05,0.0,nan,nan,nan
1.673275,5.956157e-05,0.0,nan,nan,nan
1.756672,5.957823e-05,0.0,nan,nan,nan
1.841328,5.955399e-05,0.0,nan,nan,nan
1.92472,5.956189e-05,0.0,nan,nan,nan
2.008224,5.953936e-05,0.0,nan,nan,nan
2.091708,5.955482e-05,0.0,nan,nan,nan
2.175181,5.956501e-05,0.0,nan,nan,nan
2.26045,5.956147e-05,0.0,nan,nan,nan
2.344275,5.958291e-05,0.0,nan,nan,nan
2.427867,5.958768e-05,0.0,nan,nan,nan
2.511665,5.95647e-05,0.0,nan,nan,nan
2.595372,5.958598e-05,0.0,nan,nan,nan
2.678803,5.961379e-05,0.0,nan,nan,nan
2.790014,5.957001e-05,0.0,nan,nan,nan
2.874418,5.956574e-05,0.0,nan,nan,nan
2.958106,5.959918e-05,0.0,nan,nan,nan
3.041768,5.95921e-05,0.0,nan,nan,nan
3.12524,5.959934e-05,0.0,nan,nan,nan
3.208769,5.959722e-05,0.0,nan,nan,nan
3.292603,5.957733e-05,0.0,nan,nan,nan
3.376112,5.96005e-05,0.0,nan,nan,nan
3.459718,5.958982e-05,0.0,nan,nan,nan
3.54339,5.962343e-05,0.0,nan,nan,nan
3.627213,5.960391e-05,0.0,nan,nan,nan
3.710803,5.958853e-05,0.0,nan,nan,nan
3.794433,5.95825e-05,0.0,nan,nan,nan
3.877782,5.960277e-05,0.0,nan,nan,nan
3.961534,5.958169e-05,0.0,nan,nan,nan
4.045065,5.959227e-05,0.0,nan,nan,nan
4.128624,5.959599e-05,0.0,nan,nan,nan
4.212313,5.957887e-05,0.0,nan,nan,nan
4.295844,5.95831e-05,0.0,nan,nan,nan
4.379306,5.960061e-05,0.0,nan,nan,nan
4.462695,5.961278e-05,0.0,nan,nan,nan
4.546661,5.958144e-05,0.0,nan,nan,nan
4.630203,5.957399e-05,0.0,nan,nan,nan
4.713714,5.958111e-05,0.0,nan,nan,nan
4.813619,5.954787e-05,0.0,nan,nan,nan
4.897083,5.955277e-05,0.0,nan,nan,nan
4.980654,5.956201e-05,0.0,nan,nan,nan
5.064403,5.957302e-05,0.0,nan,nan,nan
5.147844,5.957164e-05,0.0,nan,nan,nan
5.231319,5.960165e-05,0.0,nan,nan,nan
5.314664,5.960916e-05,0.0,nan,nan,nan
5.398097,5.962198e-05,0.0,nan,nan,nan
5.481622,5.959291e-05,0.0,nan,nan,nan
5.565269,5.962197e-05,0.0,nan,nan,nan
5.648647,5.961511e-05,0.0,nan,nan,nan
5.732162,5.961999e-05,0.0,nan,nan,nan
5.815784,5.961735e-05,0.0,nan,nan,nan
5.89922,5.960742e-05,0.0,nan,nan,nan
5.982773,5.960426e-05,0.0,nan,nan,nan
6.06663,5.958672e-05,0.0,nan,nan,nan
6.150101,5.959201e-05,0.0,nan,nan,nan
6.233904,5.957443e-05,0.0,nan,nan,nan
6.317356,5.958765e-05,0.0,nan,nan,nan
6.400812,5.961205e-05,0.0,nan,nan,nan
6.484294,5.960467e-05,0.0,nan,nan,nan
6.56782,5.959146e-05,0.0,nan,nan,nan
6.651207,5.958494e-05,0.0,nan,nan,nan
6.734691,5.957831e-05,0.0,nan,nan,nan
6.81822,5.957948e-05,0.0,nan,nan,nan
6.901788,5.960458e-05,0.0,nan,nan,nan
6.985279,5.959419e-05,0.0,nan,nan,nan
7.068727,5.957431e-05,0.0,nan,nan,nan
7.152329,5.95985e-05,0.0,nan,nan,nan
7.23581,5.96058e-05,0.0,nan,nan,nan
7.319276,5.957204e-05,0.0,nan,nan,nan
7.403069,5.958026e-05,0.0,nan,nan,nan
7.486521,5.959133e-05,0.0,nan,nan,nan
7.570075,5.959607e-05,0.0,nan,nan,nan
7.653465,5.959425e-05,0.0,nan,nan,nan
7.737655,5.959122e-05,0.0,nan,nan,nan
7.821265,5.961091e-05,0.0,nan,nan,nan
7.904624,5.959685e-05,0.0,nan,nan,nan
7.988189,5.957609e-05,0.0,nan,nan,nan
8.071719,5.956326e-05,0.0,nan,nan,nan
8.155059,5.957538e-05,0.0,nan,nan,nan
8.23873,5.95619e-05,0.0,nan,nan,nan
8.322696,5.959518e-05,0.0,nan,nan,nan
8.406621,5.958971e-05,0.0,nan,nan,nan
8.489943,5.959435e-05,0.0,nan,nan,nan
8.573563,5.9567e-05,0.0,nan,nan,nan
8.657333,5.957391e-05,0.0,nan,nan,nan
8.740725,5.959224e-05,0.0,nan,nan,nan
8.824207,5.959481e-05,0.0,nan,nan,nan
8.930083,5.957274e-05,0.0,nan,nan,nan
9.013977,5.957247e-05,0.0,nan,nan,nan
9.097644,5.955134e-05,0.0,nan,nan,nan
9.181194,5.956378e-05,0.0,nan,nan,nan
9.264775,5.958436e-05,0.0,nan,nan,nan
9.348901,5.959335e-05,0.0,nan,nan,nan
9.432557,5.96012e-05,0.0,nan,nan,nan
9.516039,5.958432e-05,0.0,nan,nan,nan
9.599435,5.957582e-05,0.0,nan,nan,nan
9.683406,5.957482e-05,0.0,nan,nan,nan
9.766945,5.959245e-05,0.0,nan,nan,nan
9.850551,5.959825e-05,0.0,nan,nan,nan
9.93402,5.959917e-05,0.0,nan,nan,nan
10.01806,5.960151e-05,0.0,nan,nan,nan
10.10162,5.959959e-05,0.0,nan,nan,nan
10.18751,5.959039e-05,0.0,nan,nan,nan
10.27108,5.958358e-05,0.0,nan,nan,nan
10.35543,5.957821e-05,0.0,nan,nan,nan
10.43886,5.958969e-05,0.0,nan,nan,nan
10.52251,5.959485e-05,0.0,nan,nan,nan
10.60601,5.959323e-05,0.0,nan,nan,nan
10.68975,5.958023e-05,0.0,nan,nan,nan
10.7733,5.959214e-05,0.0,nan,nan,nan
10.85676,5.95944e-05,0.0,nan,nan,nan
10.96405,5.957863e-05,0.0,nan,nan,nan
11.04768,5.959197e-05,0.0,nan,nan,nan
11.13131,5.960961e-05,0.0,nan,nan,nan
11.21477,5.963987e-05,0.0,nan,nan,nan
11.2985,5.959893e-05,0.0,nan,nan,nan
11.382,5.958208e-05,0.0,nan,nan,nan
11.46583,5.959329e-05,0.0,nan,nan,nan
11.54932,5.958408e-05,0.0,nan,nan,nan
11.6328,5.957575e-05,0.0,nan,nan,nan
11.71634,5.95583e-05,0.0,nan,nan,nan
11.79978,5.95566e-05,0.0,nan,nan,nan
11.8832,5.959078e-05,0.0,nan,nan,nan
11.96667,5.958004e-05,0.0,nan,nan,nan
12.05031,5.955671e-05,0.0,nan,nan,nan
12.13396,5.957477e-05,0.0,nan,nan,nan
12.21739,5.957389e-05,0.0,nan,nan,nan
12.30081,5.959757e-05,0.0,nan,nan,nan
12.38428,5.960576e-05,0.0,nan,nan,nan
12.46775,5.961918e-05,0.0,nan,nan,nan
12.55138,5.959567e-05,0.0,nan,nan,nan
12.6348,5.960239e-05,0.0,nan,nan,nan
12.71845,5.960029e-05,0.0,nan,nan,nan
12.80222,5.960203e-05,0.0,nan,nan,nan
12.88579,5.959808e-05,0.0,nan,nan,nan
12.96951,5.960774e-05,0.0,nan,nan,nan
13.14908,5.958802e-05,0.0,nan,nan,nan
13.23261,5.959723e-05,0.0,nan,nan,nan
13.31616,5.960853e-05,0.0,nan,nan,nan
13.39993,5.958906e-05,0.0,nan,nan,nan
13.48356,5.961256e-05,0.0,nan,nan,nan
13.56748,5.960192e-05,0.0,nan,nan,nan
13.65149,5.958107e-05,0.0,nan,nan,nan
13.73529,5.95808e-05,0.0,nan,nan,nan
13.8189,5.960292e-05,0.0,nan,nan,nan
13.90419,5.960123e-05,0.0,nan,nan,nan
13.98778,5.961393e-05,0.0,nan,nan,nan
14.07121,5.960441e-05,0.0,nan,nan,nan
14.15495,5.961574e-05,0.0,nan,nan,nan
14.23862,5.958971e-05,0.0,nan,nan,nan
14.32224,5.959414e-05,0.0,nan,nan,nan
14.4058,5.958333e-05,0.0,nan,nan,nan
14.48948,5.957392e-05,0.0,nan,nan,nan
14.57325,5.956949e-05,0.0,nan,nan,nan
14.65702,5.955819e-05,0.0,nan,nan,nan
14.74054,5.95748e-05,0.0,nan,nan,nan
14.82412,5.956094e-05,0.0,nan,nan,nan
14.90772,5.957631e-05,0.0,nan,nan,nan
14.99129,5.957575e-05,0.0,nan,nan,nan
15.07499,5.956814e-05,0.0,nan,nan,nan
15.18852,5.958911e-05,0.0,nan,nan,nan
15.27192,5.956819e-05,0.0,nan,nan,nan
15.35576,5.956206e-05,0.0,nan,nan,nan
15.43939,5.957537e-05,0.0,nan,nan,nan
15.52317,5.957409e-05,0.0,nan,nan,nan
15.60667,5.957748e-05,0.0,nan,nan,nan
