#Procedure: <laser_setup.procedures.LaserCalibration.LaserCalibration>
#Parameters:
#	N_avg: 2
#	Optical fiber: F1 (M92L02)
#	Information: None
#	Laser wavelength: 405
#	Procedure version: 1.1.1
#	Step time: 0.5 s
#	Laser voltage end: 5 V
#	Laser voltage start: 0 V
#	Laser voltage step: 0.1 V
#Metadata:
#	Sensor model: S120VC
#	Start time: 1760386708.2133458
#Data:
VL (V),Power (W)
0.0,4.038491985e-09
0.1,2.4930905349999996e-07
0.2,7.597616900000001e-07
0.30000000000000004,1.2205929350000001e-06
0.4,1.776111735e-06
0.5,2.3378473800000002e-06
0.6000000000000001,2.8987751649999997e-06
0.7000000000000001,3.473704165e-06
0.8,3.996054375e-06
0.9,4.55155214e-06
1.0,5.12276597e-06
1.1,5.6928367950000005e-06
1.2000000000000002,6.2711942499999995e-06
1.3,6.83497865e-06
1.4000000000000001,7.379046335e-06
1.5,7.950546204999998e-06
1.6,8.514330599999999e-06
1.7000000000000002,9.0661124e-06
1.8,9.63618322e-06
1.9000000000000001,1.021054095e-05
2.0,1.0719174500000001e-05
2.1,1.12869593e-05
2.2,1.18547446e-05
2.3000000000000003,1.24062417e-05
2.4000000000000004,1.2956881599999999e-05
2.5,1.35203809e-05
2.6,1.400929795e-05
2.7,1.45559375e-05
2.8000000000000003,1.51171498e-05
2.9000000000000004,1.566607535e-05
3.0,1.6219572e-05
3.1,1.6765353399999998e-05
3.2,1.731742305e-05
3.3000000000000003,1.7874920550000002e-05
3.4000000000000004,1.8426417250000003e-05
3.5,1.89630564e-05
3.6,1.95105531e-05
3.7,2.001032865e-05
3.8000000000000003,2.056468295e-05
3.9000000000000004,2.10961789e-05
4.0,2.16353883e-05
4.1000000000000005,2.2183741749999998e-05
4.2,2.27372384e-05
4.3,2.323015635e-05
4.4,2.377136665e-05
4.5,2.431514895e-05
4.6000000000000005,2.483635675e-05
4.7,2.54679189e-05
4.800000000000001,2.5958530349999998e-05
4.9,2.6408975800000002e-05
5.0,2.69655775e-05
