#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.0001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 67
#	Information: Light testing - hbn
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 3.28 V
#	Laser wavelength: 455
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -0.35 V
#Metadata:
#	Start time: 1760465952.6346202
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.15489e-05,0.0,nan,nan,nan
0.08367446,1.155033e-05,0.0,nan,nan,nan
0.1672171,1.154945e-05,0.0,nan,nan,nan
0.2505992,1.155029e-05,0.0,nan,nan,nan
0.3345841,1.155118e-05,0.0,nan,nan,nan
0.4180364,1.154786e-05,0.0,nan,nan,nan
0.5016607,1.155004e-05,0.0,nan,nan,nan
0.5851002,1.155153e-05,0.0,nan,nan,nan
0.6685569,1.155047e-05,0.0,nan,nan,nan
0.7519166,1.155139e-05,0.0,nan,nan,nan
0.8353215,1.154824e-05,0.0,nan,nan,nan
0.9188716,1.154864e-05,0.0,nan,nan,nan
1.002524,1.15494e-05,0.0,nan,nan,nan
1.086005,1.154954e-05,0.0,nan,nan,nan
1.169547,1.155275e-05,0.0,nan,nan,nan
1.292753,1.15517e-05,0.0,nan,nan,nan
1.376542,1.155273e-05,0.0,nan,nan,nan
1.460265,1.155694e-05,0.0,nan,nan,nan
1.544149,1.155497e-05,0.0,nan,nan,nan
1.627488,1.155172e-05,0.0,nan,nan,nan
1.711,1.155127e-05,0.0,nan,nan,nan
1.79443,1.155353e-05,0.0,nan,nan,nan
1.877779,1.155637e-05,0.0,nan,nan,nan
1.961153,1.155486e-05,0.0,nan,nan,nan
2.044659,1.155398e-05,0.0,nan,nan,nan
2.128102,1.155304e-05,0.0,nan,nan,nan
2.211558,1.15541e-05,0.0,nan,nan,nan
2.294931,1.155483e-05,0.0,nan,nan,nan
2.378525,1.155541e-05,0.0,nan,nan,nan
2.461908,1.15589e-05,0.0,nan,nan,nan
2.545247,1.155833e-05,0.0,nan,nan,nan
2.628677,1.15581e-05,0.0,nan,nan,nan
2.712117,1.155732e-05,0.0,nan,nan,nan
2.79568,1.155082e-05,0.0,nan,nan,nan
2.879016,1.154984e-05,0.0,nan,nan,nan
2.962351,1.154994e-05,0.0,nan,nan,nan
3.045657,1.154702e-05,0.0,nan,nan,nan
3.129129,1.15519e-05,0.0,nan,nan,nan
3.212653,1.1547e-05,0.0,nan,nan,nan
3.295978,1.154839e-05,0.0,nan,nan,nan
3.379397,1.154619e-05,0.0,nan,nan,nan
3.462738,1.154875e-05,0.0,nan,nan,nan
3.546619,1.155256e-05,0.0,nan,nan,nan
3.629997,1.154642e-05,0.0,nan,nan,nan
3.713753,1.155547e-05,0.0,nan,nan,nan
3.797248,1.154932e-05,0.0,nan,nan,nan
3.881259,1.155415e-05,0.0,nan,nan,nan
3.964672,1.155731e-05,0.0,nan,nan,nan
4.048647,1.155592e-05,0.0,nan,nan,nan
4.132293,1.155405e-05,0.0,nan,nan,nan
4.215947,1.155378e-05,0.0,nan,nan,nan
4.299529,1.155433e-05,0.0,nan,nan,nan
4.383148,1.155143e-05,0.0,nan,nan,nan
4.467256,1.155115e-05,0.0,nan,nan,nan
4.550701,1.154912e-05,0.0,nan,nan,nan
4.634592,1.154743e-05,0.0,nan,nan,nan
4.717832,1.155155e-05,0.0,nan,nan,nan
4.801348,1.155455e-05,0.0,nan,nan,nan
4.884935,1.154895e-05,0.0,nan,nan,nan
4.968378,1.155075e-05,0.0,nan,nan,nan
5.051898,1.15514e-05,0.0,nan,nan,nan
5.13561,1.15513e-05,0.0,nan,nan,nan
5.21913,1.155611e-05,0.0,nan,nan,nan
5.302614,1.155535e-05,0.0,nan,nan,nan
5.535778,1.155804e-05,0.0,nan,nan,nan
5.619139,1.155916e-05,0.0,nan,nan,nan
5.702513,1.155903e-05,0.0,nan,nan,nan
5.785969,1.155883e-05,0.0,nan,nan,nan
5.869354,1.155599e-05,0.0,nan,nan,nan
5.952916,1.155622e-05,0.0,nan,nan,nan
6.036239,1.155483e-05,0.0,nan,nan,nan
6.119758,1.155783e-05,0.0,nan,nan,nan
6.203344,1.155591e-05,0.0,nan,nan,nan
6.287009,1.155658e-05,0.0,nan,nan,nan
6.37047,1.155406e-05,0.0,nan,nan,nan
6.453974,1.155811e-05,0.0,nan,nan,nan
6.537456,1.15554e-05,0.0,nan,nan,nan
6.62089,1.155855e-05,0.0,nan,nan,nan
6.704618,1.156005e-05,0.0,nan,nan,nan
6.787997,1.155651e-05,0.0,nan,nan,nan
6.871597,1.155941e-05,0.0,nan,nan,nan
