#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.0001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 67
#	Information: Light testing - hbn
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 3.28 V
#	Laser wavelength: 455
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: 0.2 V
#Metadata:
#	Start time: 1760469404.5269487
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.085295e-05,0.0,nan,nan,nan
0.0834802,1.085558e-05,0.0,nan,nan,nan
0.1670561,1.085496e-05,0.0,nan,nan,nan
0.2504897,1.085701e-05,0.0,nan,nan,nan
0.3337588,1.085735e-05,0.0,nan,nan,nan
0.41729,1.085753e-05,0.0,nan,nan,nan
0.500734,1.085362e-05,0.0,nan,nan,nan
0.5845062,1.085528e-05,0.0,nan,nan,nan
0.6681185,1.085891e-05,0.0,nan,nan,nan
0.7515127,1.085879e-05,0.0,nan,nan,nan
0.8348036,1.085719e-05,0.0,nan,nan,nan
0.9183286,1.085839e-05,0.0,nan,nan,nan
1.001697,1.085535e-05,0.0,nan,nan,nan
1.085776,1.085351e-05,0.0,nan,nan,nan
1.169244,1.084953e-05,0.0,nan,nan,nan
1.252966,1.085349e-05,0.0,nan,nan,nan
1.336401,1.085306e-05,0.0,nan,nan,nan
1.419972,1.085179e-05,0.0,nan,nan,nan
1.503717,1.085256e-05,0.0,nan,nan,nan
1.587503,1.084896e-05,0.0,nan,nan,nan
1.671015,1.085078e-05,0.0,nan,nan,nan
1.754529,1.084878e-05,0.0,nan,nan,nan
1.838012,1.085695e-05,0.0,nan,nan,nan
1.921585,1.08544e-05,0.0,nan,nan,nan
2.005013,1.085799e-05,0.0,nan,nan,nan
2.088367,1.085557e-05,0.0,nan,nan,nan
2.171769,1.0858e-05,0.0,nan,nan,nan
2.255221,1.08545e-05,0.0,nan,nan,nan
