#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.0001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 80
#	Information: Light testing
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 3.5 V
#	Laser wavelength: 365
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -1 V
#Metadata:
#	Start time: 1760460956.475974
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,3.964001e-05,0.0,nan,nan,nan
0.0835315,3.964318e-05,0.0,nan,nan,nan
0.1669163,3.962627e-05,0.0,nan,nan,nan
0.2503346,3.963325e-05,0.0,nan,nan,nan
0.333889,3.961229e-05,0.0,nan,nan,nan
0.4174259,3.964154e-05,0.0,nan,nan,nan
0.5008961,3.962719e-05,0.0,nan,nan,nan
0.5842787,3.962806e-05,0.0,nan,nan,nan
0.6681353,3.963105e-05,0.0,nan,nan,nan
0.7521295,3.962818e-05,0.0,nan,nan,nan
0.8357477,3.965289e-05,0.0,nan,nan,nan
0.9191136,3.963405e-05,0.0,nan,nan,nan
1.002619,3.964121e-05,0.0,nan,nan,nan
1.08612,3.964334e-05,0.0,nan,nan,nan
1.16952,3.963257e-05,0.0,nan,nan,nan
1.252928,3.964422e-05,0.0,nan,nan,nan
1.336408,3.964826e-05,0.0,nan,nan,nan
1.419943,3.964183e-05,0.0,nan,nan,nan
1.503458,3.961931e-05,0.0,nan,nan,nan
1.588099,3.962049e-05,0.0,nan,nan,nan
1.671658,3.963259e-05,0.0,nan,nan,nan
1.75532,3.962003e-05,0.0,nan,nan,nan
1.838763,3.963897e-05,0.0,nan,nan,nan
1.922543,3.964562e-05,0.0,nan,nan,nan
2.005937,3.9651e-05,0.0,nan,nan,nan
2.08955,3.967715e-05,0.0,nan,nan,nan
2.173133,3.965725e-05,0.0,nan,nan,nan
2.256611,3.966069e-05,0.0,nan,nan,nan
2.340203,3.964346e-05,0.0,nan,nan,nan
2.4238,3.96601e-05,0.0,nan,nan,nan
2.507131,3.962415e-05,0.0,nan,nan,nan
2.590468,3.962465e-05,0.0,nan,nan,nan
2.674255,3.962133e-05,0.0,nan,nan,nan
2.758104,3.961996e-05,0.0,nan,nan,nan
2.841659,3.964388e-05,0.0,nan,nan,nan
2.92517,3.96211e-05,0.0,nan,nan,nan
3.008596,3.963815e-05,0.0,nan,nan,nan
3.091973,3.962736e-05,0.0,nan,nan,nan
3.175418,3.964009e-05,0.0,nan,nan,nan
3.259004,3.965088e-05,0.0,nan,nan,nan
3.342399,3.964653e-05,0.0,nan,nan,nan
