#Procedure: <laser_setup.procedures.LaserCalibration.LaserCalibration>
#Parameters:
#	N_avg: 2
#	Optical fiber: F1 (M92L02)
#	Information: hbn
#	Laser wavelength: 385
#	Procedure version: 1.1.1
#	Step time: 0.5 s
#	Laser voltage end: 5 V
#	Laser voltage start: 0 V
#	Laser voltage step: 0.1 V
#Metadata:
#	Sensor model: S120VC
#	Start time: 1760476135.437649
#Data:
VL (V),Power (W)
0.0,3.5488323399999997e-09
0.1,3.050785865e-07
0.2,1.012897315e-06
0.30000000000000004,1.624541595e-06
0.4,2.3678287599999997e-06
0.5,3.1083259250000003e-06
0.6000000000000001,3.83097085e-06
0.7000000000000001,4.56134194e-06
0.8,5.23538165e-06
0.9,5.9525550600000004e-06
1.0,6.67519998e-06
1.1,7.37692244e-06
1.2000000000000002,8.0908776e-06
1.3,8.775217340000001e-06
1.4000000000000001,9.445393515e-06
1.5,1.01496917e-05
1.6,1.08424015e-05
1.7000000000000002,1.15122557e-05
1.8,1.2191124800000001e-05
1.9000000000000001,1.286773885e-05
2.0,1.3463237800000001e-05
2.1,1.4131484e-05
2.2,1.48013378e-05
2.3000000000000003,1.545992745e-05
2.4000000000000004,1.610789335e-05
2.5,1.677002365e-05
2.6,1.73455655e-05
2.7,1.7979368750000002e-05
2.8000000000000003,1.8628622450000002e-05
2.9000000000000004,1.92566322e-05
3.0,1.9899448499999997e-05
3.1,2.05242395e-05
3.2,2.11532151e-05
3.3000000000000003,2.17783263e-05
3.4000000000000004,2.24108417e-05
3.5,2.300666165e-05
3.6,2.36263022e-05
3.7,2.418510575e-05
3.8000000000000003,2.48041015e-05
3.9000000000000004,2.54018532e-05
4.0,2.60025017e-05
4.1000000000000005,2.661184045e-05
4.2,2.7223433799999997e-05
4.3,2.776582095e-05
4.4,2.8368723199999998e-05
4.5,2.905750805e-05
4.6000000000000005,2.959077935e-05
4.7,3.01628379e-05
4.800000000000001,3.0760749749999996e-05
4.9,3.12358461e-05
5.0,3.18531511e-05
