#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.0001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 67
#	Information: Light testing - hbn
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 7200 s
#	Laser voltage: 0 V
#	Laser wavelength: 365
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -0.4 V
#Metadata:
#	Start time: 1760983193.565669
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.442385e-05,0.0,nan,nan,nan
0.0834577,1.540271e-05,0.0,nan,nan,nan
0.1667795,1.541081e-05,0.0,nan,nan,nan
0.2501507,1.540314e-05,0.0,nan,nan,nan
0.333778,1.540431e-05,0.0,nan,nan,nan
0.417118,1.54093e-05,0.0,nan,nan,nan
0.5005391,1.541555e-05,0.0,nan,nan,nan
0.5839141,1.541678e-05,0.0,nan,nan,nan
0.6674498,1.541353e-05,0.0,nan,nan,nan
0.7509379,1.541752e-05,0.0,nan,nan,nan
0.834355,1.54163e-05,0.0,nan,nan,nan
0.9178328,1.542485e-05,0.0,nan,nan,nan
1.001519,1.541628e-05,0.0,nan,nan,nan
1.085205,1.541052e-05,0.0,nan,nan,nan
1.168682,1.541407e-05,0.0,nan,nan,nan
1.251956,1.540758e-05,0.0,nan,nan,nan
1.33596,1.540547e-05,0.0,nan,nan,nan
1.419326,1.54137e-05,0.0,nan,nan,nan
1.502658,1.540918e-05,0.0,nan,nan,nan
1.585948,1.54106e-05,0.0,nan,nan,nan
1.669529,1.541019e-05,0.0,nan,nan,nan
1.752924,1.541141e-05,0.0,nan,nan,nan
1.836779,1.541541e-05,0.0,nan,nan,nan
1.920191,1.541282e-05,0.0,nan,nan,nan
2.003638,1.542267e-05,0.0,nan,nan,nan
2.087082,1.542035e-05,0.0,nan,nan,nan
2.170523,1.541571e-05,0.0,nan,nan,nan
2.25397,1.541564e-05,0.0,nan,nan,nan
2.337584,1.542292e-05,0.0,nan,nan,nan
2.420922,1.54179e-05,0.0,nan,nan,nan
2.504395,1.541784e-05,0.0,nan,nan,nan
2.587844,1.541996e-05,0.0,nan,nan,nan
2.671348,1.542514e-05,0.0,nan,nan,nan
2.754689,1.541963e-05,0.0,nan,nan,nan
2.838211,1.542701e-05,0.0,nan,nan,nan
2.921588,1.542281e-05,0.0,nan,nan,nan
3.005442,1.541819e-05,0.0,nan,nan,nan
3.08895,1.54184e-05,0.0,nan,nan,nan
3.18243,1.541265e-05,0.0,nan,nan,nan
3.265928,1.541221e-05,0.0,nan,nan,nan
3.34932,1.541332e-05,0.0,nan,nan,nan
3.432662,1.540694e-05,0.0,nan,nan,nan
3.516049,1.54111e-05,0.0,nan,nan,nan
3.599411,1.541409e-05,0.0,nan,nan,nan
3.683295,1.541869e-05,0.0,nan,nan,nan
3.766668,1.54142e-05,0.0,nan,nan,nan
3.850039,1.541715e-05,0.0,nan,nan,nan
3.933529,1.541557e-05,0.0,nan,nan,nan
4.016934,1.541449e-05,0.0,nan,nan,nan
4.100282,1.540892e-05,0.0,nan,nan,nan
4.183622,1.541218e-05,0.0,nan,nan,nan
4.267893,1.541636e-05,0.0,nan,nan,nan
4.351177,1.541349e-05,0.0,nan,nan,nan
4.434918,1.541835e-05,0.0,nan,nan,nan
4.518444,1.542006e-05,0.0,nan,nan,nan
4.602183,1.541636e-05,0.0,nan,nan,nan
4.685816,1.541781e-05,0.0,nan,nan,nan
4.76928,1.541764e-05,0.0,nan,nan,nan
4.852661,1.541853e-05,0.0,nan,nan,nan
4.93639,1.541232e-05,0.0,nan,nan,nan
5.019963,1.542832e-05,0.0,nan,nan,nan
5.103427,1.541234e-05,0.0,nan,nan,nan
5.186805,1.541162e-05,0.0,nan,nan,nan
5.270381,1.541662e-05,0.0,nan,nan,nan
5.353842,1.541729e-05,0.0,nan,nan,nan
5.437268,1.541713e-05,0.0,nan,nan,nan
5.520682,1.541781e-05,0.0,nan,nan,nan
5.604246,1.541505e-05,0.0,nan,nan,nan
5.68757,1.541679e-05,0.0,nan,nan,nan
5.771141,1.54124e-05,0.0,nan,nan,nan
5.854492,1.540781e-05,0.0,nan,nan,nan
5.938173,1.541129e-05,0.0,nan,nan,nan
6.021466,1.541149e-05,0.0,nan,nan,nan
6.105538,1.541763e-05,0.0,nan,nan,nan
6.188824,1.541958e-05,0.0,nan,nan,nan
6.272211,1.5419e-05,0.0,nan,nan,nan
6.355529,1.542365e-05,0.0,nan,nan,nan
