#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.0001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 81
#	Information: Light testing - biotite
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 2.39 V
#	Laser wavelength: 455
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -0.3 V
#Metadata:
#	Start time: 1761077547.2335052
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.583654e-05,0.0,nan,nan,nan
0.08356406,1.583602e-05,0.0,nan,nan,nan
0.1668848,1.58353e-05,0.0,nan,nan,nan
0.250331,1.583751e-05,0.0,nan,nan,nan
0.3335618,1.583566e-05,0.0,nan,nan,nan
0.4170352,1.583857e-05,0.0,nan,nan,nan
0.5004221,1.58367e-05,0.0,nan,nan,nan
0.6048175,1.583573e-05,0.0,nan,nan,nan
0.6882891,1.583589e-05,0.0,nan,nan,nan
0.7717819,1.583649e-05,0.0,nan,nan,nan
0.8552069,1.583732e-05,0.0,nan,nan,nan
0.9389033,1.583898e-05,0.0,nan,nan,nan
1.022642,1.583643e-05,0.0,nan,nan,nan
1.106517,1.583854e-05,0.0,nan,nan,nan
1.190571,1.583461e-05,0.0,nan,nan,nan
1.273935,1.584283e-05,0.0,nan,nan,nan
1.357662,1.583631e-05,0.0,nan,nan,nan
1.441219,1.583727e-05,0.0,nan,nan,nan
1.524962,1.583621e-05,0.0,nan,nan,nan
1.609377,1.583583e-05,0.0,nan,nan,nan
1.692834,1.583754e-05,0.0,nan,nan,nan
1.7762,1.5839e-05,0.0,nan,nan,nan
1.859606,1.583973e-05,0.0,nan,nan,nan
1.94296,1.583898e-05,0.0,nan,nan,nan
2.026544,1.583647e-05,0.0,nan,nan,nan
2.109882,1.583853e-05,0.0,nan,nan,nan
2.193225,1.583948e-05,0.0,nan,nan,nan
2.276686,1.583805e-05,0.0,nan,nan,nan
2.360005,1.583894e-05,0.0,nan,nan,nan
2.443391,1.583703e-05,0.0,nan,nan,nan
2.52701,1.583676e-05,0.0,nan,nan,nan
2.654865,1.583632e-05,0.0,nan,nan,nan
2.738192,1.584057e-05,0.0,nan,nan,nan
2.821506,1.583573e-05,0.0,nan,nan,nan
2.904888,1.58387e-05,0.0,nan,nan,nan
2.988393,1.583633e-05,0.0,nan,nan,nan
3.072004,1.58402e-05,0.0,nan,nan,nan
3.155385,1.583832e-05,0.0,nan,nan,nan
3.238896,1.584186e-05,0.0,nan,nan,nan
3.322292,1.583869e-05,0.0,nan,nan,nan
3.405865,1.584031e-05,0.0,nan,nan,nan
3.489243,1.583764e-05,0.0,nan,nan,nan
3.572821,1.583929e-05,0.0,nan,nan,nan
3.656438,1.583973e-05,0.0,nan,nan,nan
3.739881,1.58406e-05,0.0,nan,nan,nan
3.823568,1.58402e-05,0.0,nan,nan,nan
3.907012,1.583773e-05,0.0,nan,nan,nan
3.990558,1.58375e-05,0.0,nan,nan,nan
4.074073,1.583952e-05,0.0,nan,nan,nan
4.15756,1.583766e-05,0.0,nan,nan,nan
4.241511,1.583498e-05,0.0,nan,nan,nan
4.324999,1.583585e-05,0.0,nan,nan,nan
4.40843,1.583877e-05,0.0,nan,nan,nan
4.491722,1.583933e-05,0.0,nan,nan,nan
4.575191,1.58376e-05,0.0,nan,nan,nan
4.658666,1.583795e-05,0.0,nan,nan,nan
4.74218,1.583801e-05,0.0,nan,nan,nan
4.825583,1.583966e-05,0.0,nan,nan,nan
4.90899,1.583862e-05,0.0,nan,nan,nan
4.992482,1.583811e-05,0.0,nan,nan,nan
5.075931,1.583764e-05,0.0,nan,nan,nan
5.159357,1.5841e-05,0.0,nan,nan,nan
5.242752,1.583683e-05,0.0,nan,nan,nan
5.326046,1.58354e-05,0.0,nan,nan,nan
5.40952,1.584e-05,0.0,nan,nan,nan
5.4931,1.584219e-05,0.0,nan,nan,nan
5.576671,1.584159e-05,0.0,nan,nan,nan
5.660004,1.584093e-05,0.0,nan,nan,nan
5.743377,1.584216e-05,0.0,nan,nan,nan
5.826966,1.584558e-05,0.0,nan,nan,nan
5.910376,1.58385e-05,0.0,nan,nan,nan
5.993845,1.584203e-05,0.0,nan,nan,nan
6.077135,1.58421e-05,0.0,nan,nan,nan
6.160637,1.583734e-05,0.0,nan,nan,nan
6.244358,1.584366e-05,0.0,nan,nan,nan
6.327827,1.584245e-05,0.0,nan,nan,nan
6.411244,1.584108e-05,0.0,nan,nan,nan
6.494528,1.584131e-05,0.0,nan,nan,nan
6.577972,1.584181e-05,0.0,nan,nan,nan
6.661446,1.583528e-05,0.0,nan,nan,nan
6.774653,1.584224e-05,0.0,nan,nan,nan
6.858106,1.584337e-05,0.0,nan,nan,nan
6.94166,1.584052e-05,0.0,nan,nan,nan
7.024988,1.584186e-05,0.0,nan,nan,nan
7.108383,1.58393e-05,0.0,nan,nan,nan
7.1919,1.58399e-05,0.0,nan,nan,nan
7.275355,1.583995e-05,0.0,nan,nan,nan
7.358723,1.584218e-05,0.0,nan,nan,nan
7.442224,1.584019e-05,0.0,nan,nan,nan
7.525576,1.584072e-05,0.0,nan,nan,nan
7.609005,1.583939e-05,0.0,nan,nan,nan
7.692391,1.58429e-05,0.0,nan,nan,nan
7.775912,1.584248e-05,0.0,nan,nan,nan
7.859411,1.583989e-05,0.0,nan,nan,nan
7.942988,1.583771e-05,0.0,nan,nan,nan
8.02668,1.58384e-05,0.0,nan,nan,nan
8.110046,1.583861e-05,0.0,nan,nan,nan
8.193656,1.583976e-05,0.0,nan,nan,nan
8.276983,1.583653e-05,0.0,nan,nan,nan
8.360356,1.58375e-05,0.0,nan,nan,nan
8.443887,1.584158e-05,0.0,nan,nan,nan
8.527444,1.583882e-05,0.0,nan,nan,nan
8.610917,1.583882e-05,0.0,nan,nan,nan
8.694343,1.583796e-05,0.0,nan,nan,nan
8.805644,1.584024e-05,0.0,nan,nan,nan
8.889042,1.584299e-05,0.0,nan,nan,nan
8.972593,1.584008e-05,0.0,nan,nan,nan
9.056131,1.583638e-05,0.0,nan,nan,nan
9.140153,1.584173e-05,0.0,nan,nan,nan
9.223727,1.583424e-05,0.0,nan,nan,nan
9.307305,1.583895e-05,0.0,nan,nan,nan
9.390913,1.583894e-05,0.0,nan,nan,nan
9.474488,1.583569e-05,0.0,nan,nan,nan
9.558491,1.583947e-05,0.0,nan,nan,nan
9.641782,1.584024e-05,0.0,nan,nan,nan
9.725298,1.584139e-05,0.0,nan,nan,nan
9.808894,1.583593e-05,0.0,nan,nan,nan
9.892518,1.583746e-05,0.0,nan,nan,nan
9.975855,1.584209e-05,0.0,nan,nan,nan
10.05932,1.584172e-05,0.0,nan,nan,nan
10.14272,1.583989e-05,0.0,nan,nan,nan
10.22618,1.584229e-05,0.0,nan,nan,nan
