#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.0001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 81
#	Information: Light testing - biotite
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 4500 s
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -0.7 V
#Metadata:
#	Start time: 1761251707.4762187
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.606691e-05,0.0,nan,nan,nan
0.08343394,1.634289e-05,0.0,nan,nan,nan
0.1670196,1.634219e-05,0.0,nan,nan,nan
0.2503883,1.634572e-05,0.0,nan,nan,nan
0.3337653,1.634346e-05,0.0,nan,nan,nan
0.4176941,1.634971e-05,0.0,nan,nan,nan
0.5013283,1.634051e-05,0.0,nan,nan,nan
0.5848005,1.634382e-05,0.0,nan,nan,nan
0.6684566,1.634364e-05,0.0,nan,nan,nan
0.7534909,1.634483e-05,0.0,nan,nan,nan
0.8369324,1.634423e-05,0.0,nan,nan,nan
0.9203571,1.63425e-05,0.0,nan,nan,nan
1.004117,1.63477e-05,0.0,nan,nan,nan
1.087664,1.635002e-05,0.0,nan,nan,nan
1.172871,1.634862e-05,0.0,nan,nan,nan
1.256453,1.634624e-05,0.0,nan,nan,nan
1.339938,1.634548e-05,0.0,nan,nan,nan
1.423359,1.634712e-05,0.0,nan,nan,nan
1.506801,1.63491e-05,0.0,nan,nan,nan
1.590127,1.635126e-05,0.0,nan,nan,nan
1.673576,1.634773e-05,0.0,nan,nan,nan
1.7571,1.634837e-05,0.0,nan,nan,nan
1.840449,1.634202e-05,0.0,nan,nan,nan
1.923971,1.634153e-05,0.0,nan,nan,nan
2.007297,1.634704e-05,0.0,nan,nan,nan
2.09068,1.634687e-05,0.0,nan,nan,nan
2.174142,1.634307e-05,0.0,nan,nan,nan
2.257545,1.634449e-05,0.0,nan,nan,nan
2.340945,1.634448e-05,0.0,nan,nan,nan
2.42444,1.63466e-05,0.0,nan,nan,nan
2.507855,1.634728e-05,0.0,nan,nan,nan
2.591312,1.634376e-05,0.0,nan,nan,nan
2.674822,1.634207e-05,0.0,nan,nan,nan
2.7583,1.634581e-05,0.0,nan,nan,nan
2.841838,1.634612e-05,0.0,nan,nan,nan
2.92644,1.634337e-05,0.0,nan,nan,nan
3.009835,1.633805e-05,0.0,nan,nan,nan
3.093424,1.634422e-05,0.0,nan,nan,nan
3.176806,1.634294e-05,0.0,nan,nan,nan
3.260225,1.634423e-05,0.0,nan,nan,nan
3.343687,1.634612e-05,0.0,nan,nan,nan
3.427085,1.634357e-05,0.0,nan,nan,nan
3.510503,1.634307e-05,0.0,nan,nan,nan
3.594561,1.633969e-05,0.0,nan,nan,nan
3.677892,1.634378e-05,0.0,nan,nan,nan
3.761333,1.635121e-05,0.0,nan,nan,nan
3.844945,1.634954e-05,0.0,nan,nan,nan
3.928363,1.634357e-05,0.0,nan,nan,nan
4.01194,1.63483e-05,0.0,nan,nan,nan
4.095431,1.634528e-05,0.0,nan,nan,nan
4.178752,1.634875e-05,0.0,nan,nan,nan
4.262305,1.635157e-05,0.0,nan,nan,nan
4.345728,1.635016e-05,0.0,nan,nan,nan
4.429187,1.634979e-05,0.0,nan,nan,nan
4.512689,1.634831e-05,0.0,nan,nan,nan
4.596329,1.634854e-05,0.0,nan,nan,nan
4.680789,1.634827e-05,0.0,nan,nan,nan
4.764216,1.635219e-05,0.0,nan,nan,nan
4.847602,1.635045e-05,0.0,nan,nan,nan
4.930997,1.635269e-05,0.0,nan,nan,nan
5.014784,1.634551e-05,0.0,nan,nan,nan
5.098246,1.634653e-05,0.0,nan,nan,nan
5.181881,1.634985e-05,0.0,nan,nan,nan
5.265344,1.635607e-05,0.0,nan,nan,nan
5.348668,1.634724e-05,0.0,nan,nan,nan
5.432815,1.634502e-05,0.0,nan,nan,nan
5.516203,1.634578e-05,0.0,nan,nan,nan
5.599671,1.634562e-05,0.0,nan,nan,nan
5.683098,1.634473e-05,0.0,nan,nan,nan
5.766456,1.634358e-05,0.0,nan,nan,nan
5.849924,1.634672e-05,0.0,nan,nan,nan
5.933512,1.634651e-05,0.0,nan,nan,nan
6.016861,1.634126e-05,0.0,nan,nan,nan
6.123267,1.634382e-05,0.0,nan,nan,nan
6.206716,1.634285e-05,0.0,nan,nan,nan
6.290107,1.634495e-05,0.0,nan,nan,nan
6.373615,1.634897e-05,0.0,nan,nan,nan
6.459259,1.635396e-05,0.0,nan,nan,nan
6.542776,1.635144e-05,0.0,nan,nan,nan
6.626165,1.634756e-05,0.0,nan,nan,nan
6.7095,1.635287e-05,0.0,nan,nan,nan
6.792946,1.635323e-05,0.0,nan,nan,nan
6.876484,1.634694e-05,0.0,nan,nan,nan
6.959871,1.634222e-05,0.0,nan,nan,nan
7.043438,1.634843e-05,0.0,nan,nan,nan
7.126941,1.634894e-05,0.0,nan,nan,nan
7.210373,1.635158e-05,0.0,nan,nan,nan
7.293832,1.634798e-05,0.0,nan,nan,nan
7.377258,1.634779e-05,0.0,nan,nan,nan
7.460733,1.634922e-05,0.0,nan,nan,nan
7.544165,1.634729e-05,0.0,nan,nan,nan
7.627709,1.634976e-05,0.0,nan,nan,nan
7.711195,1.63495e-05,0.0,nan,nan,nan
7.794861,1.635026e-05,0.0,nan,nan,nan
7.878305,1.63477e-05,0.0,nan,nan,nan
7.961897,1.634994e-05,0.0,nan,nan,nan
8.04525,1.635134e-05,0.0,nan,nan,nan
8.128798,1.6348e-05,0.0,nan,nan,nan
8.212365,1.635099e-05,0.0,nan,nan,nan
8.295665,1.634855e-05,0.0,nan,nan,nan
8.379249,1.634963e-05,0.0,nan,nan,nan
8.46365,1.634856e-05,0.0,nan,nan,nan
8.547148,1.63504e-05,0.0,nan,nan,nan
8.630585,1.634894e-05,0.0,nan,nan,nan
8.714194,1.635645e-05,0.0,nan,nan,nan
8.797622,1.635148e-05,0.0,nan,nan,nan
8.881993,1.635114e-05,0.0,nan,nan,nan
8.965524,1.635455e-05,0.0,nan,nan,nan
9.048922,1.635556e-05,0.0,nan,nan,nan
9.132443,1.635391e-05,0.0,nan,nan,nan
9.215932,1.634652e-05,0.0,nan,nan,nan
9.299549,1.634869e-05,0.0,nan,nan,nan
9.386293,1.635425e-05,0.0,nan,nan,nan
9.469664,1.635284e-05,0.0,nan,nan,nan
9.553089,1.6351e-05,0.0,nan,nan,nan
9.636535,1.63501e-05,0.0,nan,nan,nan
9.720275,1.634695e-05,0.0,nan,nan,nan
9.803854,1.635072e-05,0.0,nan,nan,nan
9.887585,1.635468e-05,0.0,nan,nan,nan
9.97124,1.634822e-05,0.0,nan,nan,nan
10.05472,1.635121e-05,0.0,nan,nan,nan
10.13815,1.635182e-05,0.0,nan,nan,nan
10.24173,1.635206e-05,0.0,nan,nan,nan
10.32513,1.635114e-05,0.0,nan,nan,nan
10.40874,1.634751e-05,0.0,nan,nan,nan
10.49226,1.634638e-05,0.0,nan,nan,nan
10.57582,1.634715e-05,0.0,nan,nan,nan
10.65922,1.634866e-05,0.0,nan,nan,nan
10.7426,1.634733e-05,0.0,nan,nan,nan
10.82597,1.635291e-05,0.0,nan,nan,nan
10.90939,1.635556e-05,0.0,nan,nan,nan
10.99291,1.635214e-05,0.0,nan,nan,nan
11.07633,1.634631e-05,0.0,nan,nan,nan
11.15975,1.63559e-05,0.0,nan,nan,nan
11.24313,1.634757e-05,0.0,nan,nan,nan
11.32658,1.635359e-05,0.0,nan,nan,nan
11.41003,1.635367e-05,0.0,nan,nan,nan
11.49348,1.635494e-05,0.0,nan,nan,nan
11.57685,1.635545e-05,0.0,nan,nan,nan
11.66025,1.635503e-05,0.0,nan,nan,nan
11.74363,1.6351e-05,0.0,nan,nan,nan
11.82716,1.635328e-05,0.0,nan,nan,nan
11.91065,1.635172e-05,0.0,nan,nan,nan
11.99417,1.634321e-05,0.0,nan,nan,nan
12.07755,1.634883e-05,0.0,nan,nan,nan
12.16112,1.635318e-05,0.0,nan,nan,nan
12.2446,1.635307e-05,0.0,nan,nan,nan
12.3284,1.63517e-05,0.0,nan,nan,nan
12.41178,1.635506e-05,0.0,nan,nan,nan
