#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 79
#	Information: after light
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: D
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 20 V
#	VG start: -20 V
#	VG step: 0.1 V
#Metadata:
#	Start time: 1757018144.19423
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,7.165534e-05,nan,nan,nan
-0.1,7.306987e-05,nan,nan,nan
-0.2,7.682462e-05,nan,nan,nan
-0.30000000000000004,8.046837e-05,nan,nan,nan
-0.4,8.406533e-05,nan,nan,nan
-0.5,8.728171e-05,nan,nan,nan
-0.6000000000000001,9.02701e-05,nan,nan,nan
-0.7000000000000001,9.315481e-05,nan,nan,nan
-0.8,9.607407e-05,nan,nan,nan
-0.9,9.87541e-05,nan,nan,nan
-1.0,0.0001009614,nan,nan,nan
-1.1,0.0001032023,nan,nan,nan
-1.2000000000000002,0.0001053257,nan,nan,nan
-1.3,0.0001073742,nan,nan,nan
-1.4000000000000001,0.0001092574,nan,nan,nan
-1.5,0.0001110368,nan,nan,nan
-1.6,0.0001128215,nan,nan,nan
-1.7000000000000002,0.0001144587,nan,nan,nan
-1.8,0.0001160553,nan,nan,nan
-1.9000000000000001,0.0001176008,nan,nan,nan
-2.0,0.0001190008,nan,nan,nan
-2.1,0.0001203796,nan,nan,nan
-2.2,0.0001217037,nan,nan,nan
-2.3000000000000003,0.0001231007,nan,nan,nan
-2.4000000000000004,0.0001243875,nan,nan,nan
-2.5,0.0001257721,nan,nan,nan
-2.6,0.0001269042,nan,nan,nan
-2.7,0.000128054,nan,nan,nan
-2.8000000000000003,0.0001293307,nan,nan,nan
-2.9000000000000004,0.0001304382,nan,nan,nan
-3.0,0.0001316516,nan,nan,nan
-3.1,0.0001326857,nan,nan,nan
-3.2,0.0001337304,nan,nan,nan
-3.3000000000000003,0.0001347358,nan,nan,nan
-3.4000000000000004,0.0001357538,nan,nan,nan
-3.5,0.0001367053,nan,nan,nan
-3.6,0.0001377236,nan,nan,nan
-3.7,0.000138723,nan,nan,nan
-3.8000000000000003,0.0001396437,nan,nan,nan
-3.9000000000000004,0.000140546,nan,nan,nan
-4.0,0.0001415159,nan,nan,nan
-4.1000000000000005,0.0001423188,nan,nan,nan
-4.2,0.000143724,nan,nan,nan
-4.3,0.000144048,nan,nan,nan
-4.4,0.000144919,nan,nan,nan
-4.5,0.000145763,nan,nan,nan
-4.6000000000000005,0.0001465717,nan,nan,nan
-4.7,0.0001474084,nan,nan,nan
-4.800000000000001,0.0001482396,nan,nan,nan
-4.9,0.0001491164,nan,nan,nan
-5.0,0.00014986,nan,nan,nan
-5.1000000000000005,0.0001506572,nan,nan,nan
-5.2,0.0001514627,nan,nan,nan
-5.300000000000001,0.00015222,nan,nan,nan
-5.4,0.0001531341,nan,nan,nan
-5.5,0.0001536963,nan,nan,nan
-5.6000000000000005,0.0001549018,nan,nan,nan
-5.7,0.000155812,nan,nan,nan
-5.800000000000001,0.0001563162,nan,nan,nan
-5.9,0.0001572192,nan,nan,nan
-6.0,0.0001575167,nan,nan,nan
-6.1000000000000005,0.0001587309,nan,nan,nan
-6.2,0.0001589199,nan,nan,nan
-6.300000000000001,0.0001600871,nan,nan,nan
-6.4,0.0001594298,nan,nan,nan
-6.5,0.0001600536,nan,nan,nan
-6.6000000000000005,0.0001611395,nan,nan,nan
-6.7,0.0001618701,nan,nan,nan
-6.800000000000001,0.0001626126,nan,nan,nan
-6.9,0.0001634094,nan,nan,nan
-7.0,0.0001640222,nan,nan,nan
-7.1000000000000005,0.0001646107,nan,nan,nan
-7.2,0.0001651916,nan,nan,nan
-7.300000000000001,0.0001656193,nan,nan,nan
-7.4,0.0001655437,nan,nan,nan
-7.5,0.0001660752,nan,nan,nan
-7.6000000000000005,0.0001666485,nan,nan,nan
-7.7,0.0001672419,nan,nan,nan
-7.800000000000001,0.0001677542,nan,nan,nan
-7.9,0.0001682396,nan,nan,nan
-8.0,0.0001687863,nan,nan,nan
-8.1,0.0001693669,nan,nan,nan
-8.200000000000001,0.0001698716,nan,nan,nan
-8.3,0.0001703843,nan,nan,nan
-8.4,0.0001709441,nan,nan,nan
-8.5,0.000171492,nan,nan,nan
-8.6,0.0001719663,nan,nan,nan
-8.700000000000001,0.0001725017,nan,nan,nan
-8.8,0.0001730579,nan,nan,nan
-8.9,0.0001734832,nan,nan,nan
-9.0,0.0001741252,nan,nan,nan
-9.1,0.0001743977,nan,nan,nan
-9.200000000000001,0.0001749425,nan,nan,nan
-9.3,0.0001753695,nan,nan,nan
-9.4,0.0001757882,nan,nan,nan
-9.5,0.0001762076,nan,nan,nan
-9.600000000000001,0.000176684,nan,nan,nan
-9.700000000000001,0.0001771898,nan,nan,nan
-9.8,0.0001776299,nan,nan,nan
-9.9,0.0001780459,nan,nan,nan
-10.0,0.0001784761,nan,nan,nan
-10.100000000000001,0.000178919,nan,nan,nan
-10.200000000000001,0.0001793411,nan,nan,nan
-10.3,0.0001797971,nan,nan,nan
-10.4,0.0001803925,nan,nan,nan
-10.5,0.0001806662,nan,nan,nan
-10.600000000000001,0.0001811122,nan,nan,nan
-10.700000000000001,0.0001816404,nan,nan,nan
-10.8,0.0001820801,nan,nan,nan
-10.9,0.0001820659,nan,nan,nan
-11.0,0.0001817145,nan,nan,nan
-11.100000000000001,0.0001819374,nan,nan,nan
-11.200000000000001,0.0001821934,nan,nan,nan
-11.3,0.0001825078,nan,nan,nan
-11.4,0.0001824143,nan,nan,nan
-11.5,0.000182398,nan,nan,nan
-11.600000000000001,0.0001826045,nan,nan,nan
-11.700000000000001,0.0001829149,nan,nan,nan
-11.8,0.0001833224,nan,nan,nan
-11.9,0.0001835752,nan,nan,nan
-12.0,0.0001837923,nan,nan,nan
-12.100000000000001,0.0001841337,nan,nan,nan
-12.200000000000001,0.0001845223,nan,nan,nan
-12.3,0.0001850671,nan,nan,nan
-12.4,0.00018536,nan,nan,nan
-12.5,0.0001855808,nan,nan,nan
-12.600000000000001,0.0001860235,nan,nan,nan
-12.700000000000001,0.0001864326,nan,nan,nan
-12.8,0.0001868961,nan,nan,nan
-12.9,0.0001873888,nan,nan,nan
-13.0,0.000187918,nan,nan,nan
-13.100000000000001,0.000188237,nan,nan,nan
-13.200000000000001,0.000171231,nan,nan,nan
-13.3,0.0001675959,nan,nan,nan
-13.4,0.0001681849,nan,nan,nan
-13.5,0.0001686486,nan,nan,nan
-13.600000000000001,0.0001690155,nan,nan,nan
-13.700000000000001,0.0001694322,nan,nan,nan
-13.8,0.0001698463,nan,nan,nan
-13.9,0.0001701697,nan,nan,nan
-14.0,0.0001705313,nan,nan,nan
-14.100000000000001,0.0001709038,nan,nan,nan
-14.200000000000001,0.0001711722,nan,nan,nan
-14.3,0.0001715537,nan,nan,nan
-14.4,0.0001718814,nan,nan,nan
-14.5,0.000172191,nan,nan,nan
-14.600000000000001,0.0001724795,nan,nan,nan
-14.700000000000001,0.0001727702,nan,nan,nan
-14.8,0.00017308,nan,nan,nan
-14.9,0.0001734098,nan,nan,nan
-15.0,0.0001738873,nan,nan,nan
-15.100000000000001,0.0001746034,nan,nan,nan
-15.200000000000001,0.0001750073,nan,nan,nan
-15.3,0.0001754707,nan,nan,nan
-15.4,0.0001758979,nan,nan,nan
-15.5,0.0001762439,nan,nan,nan
-15.600000000000001,0.0001767129,nan,nan,nan
-15.700000000000001,0.0001771071,nan,nan,nan
-15.8,0.0001774492,nan,nan,nan
-15.9,0.0001776505,nan,nan,nan
-16.0,0.0001780164,nan,nan,nan
-16.1,0.0001785081,nan,nan,nan
-16.2,0.0001790816,nan,nan,nan
-16.3,0.000179188,nan,nan,nan
-16.400000000000002,0.0001795171,nan,nan,nan
-16.5,0.0001798231,nan,nan,nan
-16.6,0.0001801269,nan,nan,nan
-16.7,0.0001803877,nan,nan,nan
-16.8,0.0001808645,nan,nan,nan
-16.900000000000002,0.0001812721,nan,nan,nan
-17.0,0.0001818373,nan,nan,nan
-17.1,0.0001823637,nan,nan,nan
-17.2,0.0001822759,nan,nan,nan
-17.3,0.000182513,nan,nan,nan
-17.400000000000002,0.0001832002,nan,nan,nan
-17.5,0.0001835869,nan,nan,nan
-17.6,0.0001838453,nan,nan,nan
-17.7,0.0001840975,nan,nan,nan
-17.8,0.0001843161,nan,nan,nan
-17.900000000000002,0.0001846525,nan,nan,nan
-18.0,0.0001849433,nan,nan,nan
-18.1,0.0001851647,nan,nan,nan
-18.2,0.0001859732,nan,nan,nan
-18.3,0.0001863376,nan,nan,nan
-18.400000000000002,0.0001864613,nan,nan,nan
-18.5,0.0001865252,nan,nan,nan
-18.6,0.0001874186,nan,nan,nan
-18.7,0.0001874691,nan,nan,nan
-18.8,0.0001876669,nan,nan,nan
-18.900000000000002,0.000188322,nan,nan,nan
-19.0,0.0001887639,nan,nan,nan
-19.1,0.0001890834,nan,nan,nan
-19.200000000000003,0.00018918,nan,nan,nan
-19.3,0.0001914748,nan,nan,nan
-19.400000000000002,0.0001917688,nan,nan,nan
-19.5,0.0001922146,nan,nan,nan
-19.6,0.0001924786,nan,nan,nan
