#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.0001 A
#	NPLC: 1
#	Burn-in time: 60 s
#	Chip group name: Alisson
#	Chip number: 79
#	Information: after repositioning needles
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.1.0
#	Sample: D
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.1 V
#Metadata:
#	Start time: 1757018896.3540137
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,6.749071e-06,nan,nan,nan
-0.1,6.849481e-06,nan,nan,nan
-0.2,7.03059e-06,nan,nan,nan
-0.30000000000000004,7.218771e-06,nan,nan,nan
-0.4,7.398164e-06,nan,nan,nan
-0.5,7.575044e-06,nan,nan,nan
-0.6000000000000001,7.766089e-06,nan,nan,nan
-0.7000000000000001,7.899736e-06,nan,nan,nan
-0.8,8.062315e-06,nan,nan,nan
-0.9,8.18772e-06,nan,nan,nan
-1.0,8.330405e-06,nan,nan,nan
-1.1,8.490022e-06,nan,nan,nan
-1.2000000000000002,8.599663e-06,nan,nan,nan
-1.3,8.729547e-06,nan,nan,nan
-1.4000000000000001,8.865065e-06,nan,nan,nan
-1.5,8.963025e-06,nan,nan,nan
-1.6,9.130585e-06,nan,nan,nan
-1.7000000000000002,9.183229e-06,nan,nan,nan
-1.8,9.320835e-06,nan,nan,nan
-1.9000000000000001,9.426308e-06,nan,nan,nan
-2.0,9.555039e-06,nan,nan,nan
-2.1,9.645008e-06,nan,nan,nan
-2.2,9.759993e-06,nan,nan,nan
-2.3000000000000003,9.945131e-06,nan,nan,nan
-2.4000000000000004,9.969042e-06,nan,nan,nan
-2.5,1.002953e-05,nan,nan,nan
-2.6,1.010618e-05,nan,nan,nan
-2.7,1.018842e-05,nan,nan,nan
-2.8000000000000003,1.02431e-05,nan,nan,nan
-2.9000000000000004,1.025286e-05,nan,nan,nan
-3.0,1.039604e-05,nan,nan,nan
-3.1,1.05089e-05,nan,nan,nan
-3.2,1.051923e-05,nan,nan,nan
-3.3000000000000003,1.064427e-05,nan,nan,nan
-3.4000000000000004,1.064527e-05,nan,nan,nan
-3.5,1.070875e-05,nan,nan,nan
-3.6,1.08645e-05,nan,nan,nan
-3.7,1.095327e-05,nan,nan,nan
-3.8000000000000003,1.1055e-05,nan,nan,nan
-3.9000000000000004,1.102379e-05,nan,nan,nan
-4.0,1.128919e-05,nan,nan,nan
-4.1000000000000005,1.130204e-05,nan,nan,nan
-4.2,1.102434e-05,nan,nan,nan
-4.3,1.109304e-05,nan,nan,nan
-4.4,1.106311e-05,nan,nan,nan
-4.5,1.106252e-05,nan,nan,nan
-4.6000000000000005,1.105178e-05,nan,nan,nan
-4.7,1.106957e-05,nan,nan,nan
-4.800000000000001,1.097939e-05,nan,nan,nan
-4.9,1.105435e-05,nan,nan,nan
-5.0,1.107042e-05,nan,nan,nan
-4.9,1.108433e-05,nan,nan,nan
-4.800000000000001,1.109276e-05,nan,nan,nan
-4.700000000000001,1.089806e-05,nan,nan,nan
-4.600000000000001,1.077994e-05,nan,nan,nan
-4.500000000000002,1.054566e-05,nan,nan,nan
-4.400000000000002,1.013509e-05,nan,nan,nan
-4.3000000000000025,9.824814e-06,nan,nan,nan
-4.200000000000003,1.110541e-05,nan,nan,nan
-4.100000000000003,1.108324e-05,nan,nan,nan
-4.0000000000000036,1.087519e-05,nan,nan,nan
-3.900000000000004,1.083077e-05,nan,nan,nan
-3.8000000000000043,1.040786e-05,nan,nan,nan
-3.7000000000000046,9.653519e-06,nan,nan,nan
-3.600000000000005,9.539196e-06,nan,nan,nan
-3.5000000000000053,9.532913e-06,nan,nan,nan
-3.4000000000000057,9.51831e-06,nan,nan,nan
-3.300000000000006,9.408661e-06,nan,nan,nan
