#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: test biotite
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757023757.505903
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.341461e-05,nan,nan,nan
-0.05,1.306887e-05,nan,nan,nan
-0.1,1.226452e-05,nan,nan,nan
-0.15000000000000002,1.153132e-05,nan,nan,nan
-0.2,1.082791e-05,nan,nan,nan
-0.25,1.023455e-05,nan,nan,nan
-0.30000000000000004,9.813056e-06,nan,nan,nan
-0.35000000000000003,9.470368e-06,nan,nan,nan
-0.4,9.336075e-06,nan,nan,nan
-0.45,9.384917e-06,nan,nan,nan
-0.5,9.719715e-06,nan,nan,nan
-0.55,1.040861e-05,nan,nan,nan
-0.6000000000000001,1.145925e-05,nan,nan,nan
-0.65,1.275936e-05,nan,nan,nan
-0.7000000000000001,1.417793e-05,nan,nan,nan
-0.75,1.579787e-05,nan,nan,nan
-0.8,1.738662e-05,nan,nan,nan
-0.8500000000000001,1.887207e-05,nan,nan,nan
-0.9,2.038963e-05,nan,nan,nan
-0.9500000000000001,2.172926e-05,nan,nan,nan
-1.0,2.308274e-05,nan,nan,nan
-1.05,2.430288e-05,nan,nan,nan
-1.1,2.548268e-05,nan,nan,nan
-1.1500000000000001,2.660882e-05,nan,nan,nan
-1.2000000000000002,2.767899e-05,nan,nan,nan
-1.25,2.875008e-05,nan,nan,nan
-1.3,2.965284e-05,nan,nan,nan
-1.35,3.05133e-05,nan,nan,nan
-1.4000000000000001,3.13838e-05,nan,nan,nan
-1.4500000000000002,3.220305e-05,nan,nan,nan
-1.5,3.305776e-05,nan,nan,nan
-1.55,3.38708e-05,nan,nan,nan
-1.6,3.460273e-05,nan,nan,nan
-1.6500000000000001,3.531313e-05,nan,nan,nan
-1.7000000000000002,3.598147e-05,nan,nan,nan
-1.75,3.66234e-05,nan,nan,nan
-1.8,3.719801e-05,nan,nan,nan
-1.85,3.783084e-05,nan,nan,nan
-1.9000000000000001,3.839453e-05,nan,nan,nan
-1.9500000000000002,3.895206e-05,nan,nan,nan
-2.0,3.949686e-05,nan,nan,nan
-2.0500000000000003,4.005532e-05,nan,nan,nan
-2.1,4.05415e-05,nan,nan,nan
-2.15,4.105047e-05,nan,nan,nan
-2.2,4.151618e-05,nan,nan,nan
-2.25,4.198732e-05,nan,nan,nan
-2.3000000000000003,4.24778e-05,nan,nan,nan
-2.35,4.283651e-05,nan,nan,nan
-2.4000000000000004,4.327316e-05,nan,nan,nan
-2.45,4.368395e-05,nan,nan,nan
-2.5,4.409378e-05,nan,nan,nan
-2.5500000000000003,4.450489e-05,nan,nan,nan
-2.6,4.492512e-05,nan,nan,nan
-2.6500000000000004,4.522726e-05,nan,nan,nan
-2.7,4.559714e-05,nan,nan,nan
-2.75,4.593145e-05,nan,nan,nan
-2.8000000000000003,4.647828e-05,nan,nan,nan
-2.85,4.66078e-05,nan,nan,nan
-2.9000000000000004,4.691885e-05,nan,nan,nan
-2.95,4.720472e-05,nan,nan,nan
-3.0,4.756597e-05,nan,nan,nan
-3.0500000000000003,4.790651e-05,nan,nan,nan
-3.1,4.813256e-05,nan,nan,nan
-3.1500000000000004,4.843565e-05,nan,nan,nan
-3.2,4.868828e-05,nan,nan,nan
-3.25,4.894234e-05,nan,nan,nan
-3.3000000000000003,4.923545e-05,nan,nan,nan
-3.35,4.951877e-05,nan,nan,nan
-3.4000000000000004,4.971185e-05,nan,nan,nan
-3.45,4.997739e-05,nan,nan,nan
-3.5,5.017621e-05,nan,nan,nan
-3.5500000000000003,5.039151e-05,nan,nan,nan
-3.6,5.063705e-05,nan,nan,nan
-3.6500000000000004,5.085644e-05,nan,nan,nan
-3.7,5.106396e-05,nan,nan,nan
-3.75,5.134931e-05,nan,nan,nan
-3.8000000000000003,5.157386e-05,nan,nan,nan
-3.85,5.177199e-05,nan,nan,nan
-3.9000000000000004,5.199266e-05,nan,nan,nan
-3.95,5.219668e-05,nan,nan,nan
-4.0,5.23655e-05,nan,nan,nan
-4.05,5.254623e-05,nan,nan,nan
-4.1000000000000005,5.271901e-05,nan,nan,nan
-4.15,5.294682e-05,nan,nan,nan
-4.2,5.308018e-05,nan,nan,nan
-4.25,5.327721e-05,nan,nan,nan
-4.3,5.348448e-05,nan,nan,nan
-4.3500000000000005,5.3618e-05,nan,nan,nan
-4.4,5.380157e-05,nan,nan,nan
-4.45,5.397689e-05,nan,nan,nan
-4.5,5.413559e-05,nan,nan,nan
-4.55,5.429508e-05,nan,nan,nan
-4.6000000000000005,5.447363e-05,nan,nan,nan
-4.65,5.462005e-05,nan,nan,nan
-4.7,5.47393e-05,nan,nan,nan
-4.75,5.491616e-05,nan,nan,nan
-4.800000000000001,5.50787e-05,nan,nan,nan
-4.8500000000000005,5.52463e-05,nan,nan,nan
-4.9,5.536428e-05,nan,nan,nan
-4.95,5.550838e-05,nan,nan,nan
-5.0,5.56463e-05,nan,nan,nan
-4.95,5.557036e-05,nan,nan,nan
-4.9,5.520734e-05,nan,nan,nan
-4.8500000000000005,5.491088e-05,nan,nan,nan
-4.800000000000001,5.456147e-05,nan,nan,nan
-4.750000000000001,5.424862e-05,nan,nan,nan
-4.700000000000001,5.393138e-05,nan,nan,nan
-4.650000000000001,5.368275e-05,nan,nan,nan
-4.600000000000001,5.344256e-05,nan,nan,nan
-4.550000000000002,5.317928e-05,nan,nan,nan
-4.500000000000002,5.292717e-05,nan,nan,nan
-4.450000000000002,5.267413e-05,nan,nan,nan
-4.400000000000002,5.238934e-05,nan,nan,nan
-4.350000000000002,5.214502e-05,nan,nan,nan
-4.3000000000000025,5.191736e-05,nan,nan,nan
-4.250000000000003,5.164416e-05,nan,nan,nan
-4.200000000000003,5.142403e-05,nan,nan,nan
-4.150000000000003,5.116286e-05,nan,nan,nan
-4.100000000000003,5.095443e-05,nan,nan,nan
-4.050000000000003,5.069403e-05,nan,nan,nan
-4.0000000000000036,5.043495e-05,nan,nan,nan
-3.9500000000000037,5.01916e-05,nan,nan,nan
-3.900000000000004,4.997025e-05,nan,nan,nan
-3.850000000000004,4.96839e-05,nan,nan,nan
-3.8000000000000043,4.942888e-05,nan,nan,nan
-3.7500000000000044,4.916309e-05,nan,nan,nan
-3.7000000000000046,4.88794e-05,nan,nan,nan
-3.650000000000005,4.852981e-05,nan,nan,nan
-3.600000000000005,4.830675e-05,nan,nan,nan
-3.550000000000005,4.80426e-05,nan,nan,nan
-3.5000000000000053,4.775481e-05,nan,nan,nan
-3.4500000000000055,4.746989e-05,nan,nan,nan
-3.4000000000000057,4.71805e-05,nan,nan,nan
-3.350000000000006,4.691479e-05,nan,nan,nan
-3.300000000000006,4.663704e-05,nan,nan,nan
-3.250000000000006,4.633777e-05,nan,nan,nan
-3.2000000000000064,4.601916e-05,nan,nan,nan
-3.1500000000000066,4.572086e-05,nan,nan,nan
-3.1000000000000068,4.542173e-05,nan,nan,nan
-3.050000000000007,4.508109e-05,nan,nan,nan
-3.000000000000007,4.48304e-05,nan,nan,nan
-2.9500000000000073,4.445101e-05,nan,nan,nan
-2.9000000000000075,4.407541e-05,nan,nan,nan
-2.8500000000000076,4.373903e-05,nan,nan,nan
-2.800000000000008,4.339434e-05,nan,nan,nan
-2.750000000000008,4.298198e-05,nan,nan,nan
-2.700000000000008,4.266238e-05,nan,nan,nan
-2.6500000000000083,4.226779e-05,nan,nan,nan
-2.6000000000000085,4.189914e-05,nan,nan,nan
-2.5500000000000087,4.148922e-05,nan,nan,nan
-2.500000000000009,4.107986e-05,nan,nan,nan
-2.450000000000009,4.060224e-05,nan,nan,nan
-2.4000000000000092,4.024968e-05,nan,nan,nan
-2.3500000000000094,3.986585e-05,nan,nan,nan
-2.3000000000000096,3.937139e-05,nan,nan,nan
-2.2500000000000098,3.890909e-05,nan,nan,nan
-2.20000000000001,3.842532e-05,nan,nan,nan
-2.15000000000001,3.792582e-05,nan,nan,nan
-2.1000000000000103,3.744558e-05,nan,nan,nan
-2.0500000000000105,3.693138e-05,nan,nan,nan
-2.0000000000000107,3.638398e-05,nan,nan,nan
-1.9500000000000108,3.586771e-05,nan,nan,nan
-1.900000000000011,3.530084e-05,nan,nan,nan
-1.8500000000000112,3.476729e-05,nan,nan,nan
-1.8000000000000114,3.405294e-05,nan,nan,nan
-1.7500000000000115,3.343504e-05,nan,nan,nan
-1.7000000000000117,3.276086e-05,nan,nan,nan
-1.650000000000012,3.212135e-05,nan,nan,nan
-1.600000000000012,3.13475e-05,nan,nan,nan
-1.5500000000000123,3.062294e-05,nan,nan,nan
-1.5000000000000124,2.981301e-05,nan,nan,nan
-1.4500000000000126,2.902849e-05,nan,nan,nan
-1.4000000000000128,2.806409e-05,nan,nan,nan
-1.350000000000013,2.723929e-05,nan,nan,nan
-1.3000000000000131,2.640366e-05,nan,nan,nan
-1.2500000000000133,2.547388e-05,nan,nan,nan
-1.2000000000000135,2.451477e-05,nan,nan,nan
-1.1500000000000137,2.342144e-05,nan,nan,nan
-1.1000000000000139,2.236334e-05,nan,nan,nan
-1.050000000000014,2.129366e-05,nan,nan,nan
-1.0000000000000142,2.015226e-05,nan,nan,nan
-0.9500000000000144,1.903536e-05,nan,nan,nan
-0.9000000000000146,1.795482e-05,nan,nan,nan
-0.8500000000000147,1.695659e-05,nan,nan,nan
-0.8000000000000149,1.610922e-05,nan,nan,nan
-0.7500000000000151,1.540356e-05,nan,nan,nan
-0.7000000000000153,1.473996e-05,nan,nan,nan
-0.6500000000000155,1.429161e-05,nan,nan,nan
-0.6000000000000156,1.402768e-05,nan,nan,nan
-0.5500000000000158,1.391262e-05,nan,nan,nan
-0.500000000000016,1.387389e-05,nan,nan,nan
-0.45000000000001616,1.393873e-05,nan,nan,nan
-0.40000000000001634,1.406427e-05,nan,nan,nan
-0.3500000000000165,1.422869e-05,nan,nan,nan
-0.3000000000000167,1.440972e-05,nan,nan,nan
-0.2500000000000169,1.463153e-05,nan,nan,nan
-0.20000000000001705,1.482177e-05,nan,nan,nan
-0.15000000000001723,1.498816e-05,nan,nan,nan
-0.10000000000001741,1.521384e-05,nan,nan,nan
-0.050000000000017586,1.541427e-05,nan,nan,nan
-1.7763568394002505e-14,1.559668e-05,nan,nan,nan
0.04999999999998206,1.581285e-05,nan,nan,nan
0.09999999999998188,1.594617e-05,nan,nan,nan
0.1499999999999817,1.606577e-05,nan,nan,nan
0.19999999999998153,1.614038e-05,nan,nan,nan
0.24999999999998135,1.618342e-05,nan,nan,nan
0.29999999999998117,1.62453e-05,nan,nan,nan
0.349999999999981,1.632151e-05,nan,nan,nan
0.3999999999999808,1.640955e-05,nan,nan,nan
0.44999999999998064,1.661943e-05,nan,nan,nan
0.49999999999998046,1.69283e-05,nan,nan,nan
0.5499999999999803,1.740616e-05,nan,nan,nan
0.5999999999999801,1.802487e-05,nan,nan,nan
0.6499999999999799,1.873632e-05,nan,nan,nan
0.6999999999999797,1.963679e-05,nan,nan,nan
0.7499999999999796,2.056548e-05,nan,nan,nan
