#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 60 s
#	Chip group name: Alisson
#	Chip number: 79
#	Information: first measurement
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.1.0
#	Sample: D
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 15 V
#	VG start: -15 V
#	VG step: 0.1 V
#Metadata:
#	Start time: 1757017148.2920744
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,4.926711e-05,nan,nan,nan
-0.1,5.114549e-05,nan,nan,nan
-0.2,5.608176e-05,nan,nan,nan
-0.30000000000000004,6.13558e-05,nan,nan,nan
-0.4,6.606714e-05,nan,nan,nan
-0.5,7.033008e-05,nan,nan,nan
-0.6000000000000001,7.426488e-05,nan,nan,nan
-0.7000000000000001,7.767104e-05,nan,nan,nan
-0.8,8.104099e-05,nan,nan,nan
-0.9,8.412177e-05,nan,nan,nan
-1.0,8.696261e-05,nan,nan,nan
-1.1,8.94203e-05,nan,nan,nan
-1.2000000000000002,9.186433e-05,nan,nan,nan
-1.3,9.410751e-05,nan,nan,nan
-1.4000000000000001,9.607465e-05,nan,nan,nan
-1.5,9.815689e-05,nan,nan,nan
-1.6,0.0001000778,nan,nan,nan
-1.7000000000000002,0.0001019123,nan,nan,nan
-1.8,0.0001035241,nan,nan,nan
-1.9000000000000001,0.0001052969,nan,nan,nan
-2.0,0.0001067232,nan,nan,nan
-2.1,0.0001082579,nan,nan,nan
-2.2,0.0001096392,nan,nan,nan
-2.3000000000000003,0.0001110852,nan,nan,nan
-2.4000000000000004,0.0001124713,nan,nan,nan
-2.5,0.0001138862,nan,nan,nan
-2.6,0.0001152025,nan,nan,nan
-2.7,0.0001164415,nan,nan,nan
-2.8000000000000003,0.000117756,nan,nan,nan
-2.9000000000000004,0.0001189746,nan,nan,nan
-3.0,0.0001202054,nan,nan,nan
-3.1,0.000121452,nan,nan,nan
-3.2,0.0001227485,nan,nan,nan
-3.3000000000000003,0.0001237591,nan,nan,nan
-3.4000000000000004,0.0001249227,nan,nan,nan
-3.5,0.0001260453,nan,nan,nan
-3.6,0.0001271156,nan,nan,nan
-3.7,0.0001283282,nan,nan,nan
-3.8000000000000003,0.0001294255,nan,nan,nan
-3.9000000000000004,0.0001304963,nan,nan,nan
-4.0,0.0001316317,nan,nan,nan
-4.1000000000000005,0.0001326289,nan,nan,nan
-4.2,0.0001336849,nan,nan,nan
-4.3,0.0001346898,nan,nan,nan
-4.4,0.0001357908,nan,nan,nan
-4.5,0.000136814,nan,nan,nan
-4.6000000000000005,0.0001379364,nan,nan,nan
