#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 79
#	Information: with light
#	Laser voltage: 0.2 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: D
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 20 V
#	VG start: -20 V
#	VG step: 0.1 V
#Metadata:
#	Start time: 1757018036.509018
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,7.974549e-05,nan,nan,nan
-0.1,8.108716e-05,nan,nan,nan
-0.2,8.449404e-05,nan,nan,nan
-0.30000000000000004,8.780005e-05,nan,nan,nan
-0.4,9.080955e-05,nan,nan,nan
-0.5,9.397974e-05,nan,nan,nan
-0.6000000000000001,9.636638e-05,nan,nan,nan
-0.7000000000000001,9.886101e-05,nan,nan,nan
-0.8,0.0001011889,nan,nan,nan
-0.9,0.0001034055,nan,nan,nan
-1.0,0.0001054775,nan,nan,nan
-1.1,0.0001073502,nan,nan,nan
-1.2000000000000002,0.000109152,nan,nan,nan
-1.3,0.0001109035,nan,nan,nan
-1.4000000000000001,0.0001124995,nan,nan,nan
-1.5,0.0001140541,nan,nan,nan
-1.6,0.0001155799,nan,nan,nan
-1.7000000000000002,0.0001170357,nan,nan,nan
-1.8,0.0001183557,nan,nan,nan
-1.9000000000000001,0.0001196531,nan,nan,nan
-2.0,0.0001209479,nan,nan,nan
-2.1,0.0001222311,nan,nan,nan
-2.2,0.0001233918,nan,nan,nan
-2.3000000000000003,0.000124587,nan,nan,nan
-2.4000000000000004,0.0001257343,nan,nan,nan
-2.5,0.0001269395,nan,nan,nan
-2.6,0.0001279835,nan,nan,nan
-2.7,0.0001290183,nan,nan,nan
-2.8000000000000003,0.0001300405,nan,nan,nan
-2.9000000000000004,0.0001315364,nan,nan,nan
-3.0,0.0001320503,nan,nan,nan
-3.1,0.0001329768,nan,nan,nan
-3.2,0.0001338266,nan,nan,nan
-3.3000000000000003,0.0001347868,nan,nan,nan
-3.4000000000000004,0.0001357425,nan,nan,nan
-3.5,0.0001366264,nan,nan,nan
-3.6,0.0001374398,nan,nan,nan
-3.7,0.0001383767,nan,nan,nan
-3.8000000000000003,0.0001393128,nan,nan,nan
-3.9000000000000004,0.0001400339,nan,nan,nan
-4.0,0.0001408011,nan,nan,nan
-4.1000000000000005,0.0001415717,nan,nan,nan
-4.2,0.0001423238,nan,nan,nan
-4.3,0.0001431195,nan,nan,nan
-4.4,0.0001439876,nan,nan,nan
-4.5,0.0001448042,nan,nan,nan
-4.6000000000000005,0.0001456253,nan,nan,nan
-4.7,0.0001463955,nan,nan,nan
-4.800000000000001,0.0001472111,nan,nan,nan
-4.9,0.000147948,nan,nan,nan
-5.0,0.0001486911,nan,nan,nan
-5.1000000000000005,0.0001493971,nan,nan,nan
-5.2,0.0001500825,nan,nan,nan
-5.300000000000001,0.0001511312,nan,nan,nan
