#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.0001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 79
#	Information: first it alisson
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 0.2 V
#	Laser wavelength: 455
#	Procedure version: 2.2.0
#	Sample: D
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -1 V
#Metadata:
#	Start time: 1757019355.7333555
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,7.23624e-06,0.0,nan,nan,nan
0.08356092,7.230252e-06,0.0,nan,nan,nan
0.1683651,7.284446e-06,0.0,nan,nan,nan
0.2519376,7.298104e-06,0.0,nan,nan,nan
0.3355197,7.293051e-06,0.0,nan,nan,nan
0.4189513,7.347922e-06,0.0,nan,nan,nan
0.5024924,7.318123e-06,0.0,nan,nan,nan
0.5859998,7.286107e-06,0.0,nan,nan,nan
0.6694671,7.260292e-06,0.0,nan,nan,nan
0.7529015,7.280024e-06,0.0,nan,nan,nan
0.8363535,7.242003e-06,0.0,nan,nan,nan
0.9199058,7.251978e-06,0.0,nan,nan,nan
1.003929,7.276267e-06,0.0,nan,nan,nan
1.087489,7.233072e-06,0.0,nan,nan,nan
1.173125,7.165921e-06,0.0,nan,nan,nan
1.256644,7.259608e-06,0.0,nan,nan,nan
1.340113,7.297097e-06,0.0,nan,nan,nan
1.423738,7.300834e-06,0.0,nan,nan,nan
1.507229,7.255686e-06,0.0,nan,nan,nan
1.590737,7.261215e-06,0.0,nan,nan,nan
1.674361,7.180531e-06,0.0,nan,nan,nan
1.757843,7.198144e-06,0.0,nan,nan,nan
1.841493,7.257452e-06,0.0,nan,nan,nan
1.924958,7.243501e-06,0.0,nan,nan,nan
2.00848,7.230702e-06,0.0,nan,nan,nan
2.092217,7.201716e-06,0.0,nan,nan,nan
2.175676,7.221729e-06,0.0,nan,nan,nan
2.259251,7.252156e-06,0.0,nan,nan,nan
2.342948,7.278094e-06,0.0,nan,nan,nan
2.426559,7.264867e-06,0.0,nan,nan,nan
2.510174,7.246761e-06,0.0,nan,nan,nan
2.593474,7.23987e-06,0.0,nan,nan,nan
2.677105,7.222871e-06,0.0,nan,nan,nan
2.760635,7.211298e-06,0.0,nan,nan,nan
2.844312,7.237541e-06,0.0,nan,nan,nan
2.927983,7.224588e-06,0.0,nan,nan,nan
3.011874,7.244209e-06,0.0,nan,nan,nan
3.095399,7.263365e-06,0.0,nan,nan,nan
3.179027,7.292584e-06,0.0,nan,nan,nan
3.262594,7.182551e-06,0.0,nan,nan,nan
3.34611,7.212201e-06,0.0,nan,nan,nan
3.429594,7.197361e-06,0.0,nan,nan,nan
3.513341,7.252175e-06,0.0,nan,nan,nan
