#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: test biotite
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 1 V
#	Laser wavelength: 455
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -2 V
#Metadata:
#	Start time: 1757024819.2769458
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,4.336142e-05,0.0,nan,nan,nan
0.08346006,4.388022e-05,0.0,nan,nan,nan
0.1667835,4.387078e-05,0.0,nan,nan,nan
0.2503364,4.386192e-05,0.0,nan,nan,nan
0.3364314,4.385293e-05,0.0,nan,nan,nan
0.4205149,4.383446e-05,0.0,nan,nan,nan
0.503855,4.383117e-05,0.0,nan,nan,nan
0.5873238,4.380899e-05,0.0,nan,nan,nan
0.6707498,4.380673e-05,0.0,nan,nan,nan
0.7542186,4.37821e-05,0.0,nan,nan,nan
0.8376125,4.378119e-05,0.0,nan,nan,nan
0.9209399,4.376206e-05,0.0,nan,nan,nan
1.005191,4.378678e-05,0.0,nan,nan,nan
1.088556,4.378271e-05,0.0,nan,nan,nan
1.171975,4.375739e-05,0.0,nan,nan,nan
1.255355,4.374305e-05,0.0,nan,nan,nan
1.338623,4.378534e-05,0.0,nan,nan,nan
1.422224,4.377151e-05,0.0,nan,nan,nan
1.505613,4.375978e-05,0.0,nan,nan,nan
1.589111,4.374408e-05,0.0,nan,nan,nan
1.672477,4.376938e-05,0.0,nan,nan,nan
1.755995,4.375285e-05,0.0,nan,nan,nan
1.839477,4.375723e-05,0.0,nan,nan,nan
1.922806,4.375516e-05,0.0,nan,nan,nan
2.006381,4.372452e-05,0.0,nan,nan,nan
2.090062,4.375252e-05,0.0,nan,nan,nan
2.173464,4.3698e-05,0.0,nan,nan,nan
2.257007,4.374495e-05,0.0,nan,nan,nan
2.340586,4.375417e-05,0.0,nan,nan,nan
2.424457,4.372993e-05,0.0,nan,nan,nan
2.508011,4.374274e-05,0.0,nan,nan,nan
2.591595,4.37485e-05,0.0,nan,nan,nan
2.675106,4.377019e-05,0.0,nan,nan,nan
2.758699,4.376468e-05,0.0,nan,nan,nan
2.842125,4.376328e-05,0.0,nan,nan,nan
2.925794,4.379046e-05,0.0,nan,nan,nan
3.009247,4.373144e-05,0.0,nan,nan,nan
3.092873,4.371281e-05,0.0,nan,nan,nan
3.176349,4.372521e-05,0.0,nan,nan,nan
3.260053,4.373926e-05,0.0,nan,nan,nan
3.343543,4.373045e-05,0.0,nan,nan,nan
3.427189,4.3765e-05,0.0,nan,nan,nan
3.51105,4.372045e-05,0.0,nan,nan,nan
3.594711,4.374808e-05,0.0,nan,nan,nan
3.678236,4.375073e-05,0.0,nan,nan,nan
