#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: test biotite
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 2 V
#	Laser wavelength: 455
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: 1 V
#Metadata:
#	Start time: 1757026221.9717975
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,3.636406e-05,0.0,nan,nan,nan
0.08362226,3.644138e-05,0.0,nan,nan,nan
0.1671479,3.648035e-05,0.0,nan,nan,nan
0.2507292,3.643546e-05,0.0,nan,nan,nan
0.3345391,3.642423e-05,0.0,nan,nan,nan
0.4179528,3.645303e-05,0.0,nan,nan,nan
0.5014691,3.644614e-05,0.0,nan,nan,nan
0.5850043,3.648375e-05,0.0,nan,nan,nan
0.6684757,3.652646e-05,0.0,nan,nan,nan
0.7520626,3.652689e-05,0.0,nan,nan,nan
0.835606,3.656476e-05,0.0,nan,nan,nan
0.9193683,3.657837e-05,0.0,nan,nan,nan
1.003149,3.66093e-05,0.0,nan,nan,nan
1.086798,3.663511e-05,0.0,nan,nan,nan
1.170281,3.659019e-05,0.0,nan,nan,nan
1.253699,3.65631e-05,0.0,nan,nan,nan
1.337193,3.658228e-05,0.0,nan,nan,nan
1.420559,3.664859e-05,0.0,nan,nan,nan
1.503993,3.665423e-05,0.0,nan,nan,nan
1.587491,3.66045e-05,0.0,nan,nan,nan
1.67142,3.660461e-05,0.0,nan,nan,nan
1.754933,3.66056e-05,0.0,nan,nan,nan
1.838379,3.660451e-05,0.0,nan,nan,nan
1.9218,3.659999e-05,0.0,nan,nan,nan
2.005272,3.659426e-05,0.0,nan,nan,nan
2.088754,3.661356e-05,0.0,nan,nan,nan
2.172265,3.66491e-05,0.0,nan,nan,nan
2.255639,3.664556e-05,0.0,nan,nan,nan
2.339043,3.664146e-05,0.0,nan,nan,nan
2.422553,3.660878e-05,0.0,nan,nan,nan
2.506141,3.671058e-05,0.0,nan,nan,nan
2.589595,3.671708e-05,0.0,nan,nan,nan
2.67302,3.662402e-05,0.0,nan,nan,nan
2.756508,3.662935e-05,0.0,nan,nan,nan
2.839963,3.663234e-05,0.0,nan,nan,nan
2.923324,3.664076e-05,0.0,nan,nan,nan
3.006806,3.666524e-05,0.0,nan,nan,nan
3.090254,3.668776e-05,0.0,nan,nan,nan
3.173879,3.665942e-05,0.0,nan,nan,nan
3.257518,3.667578e-05,0.0,nan,nan,nan
3.34112,3.664531e-05,0.0,nan,nan,nan
3.424562,3.670276e-05,0.0,nan,nan,nan
3.507947,3.669986e-05,0.0,nan,nan,nan
3.591308,3.674696e-05,0.0,nan,nan,nan
3.674772,3.668303e-05,0.0,nan,nan,nan
3.758412,3.665901e-05,0.0,nan,nan,nan
3.841942,3.667205e-05,0.0,nan,nan,nan
3.925371,3.661941e-05,0.0,nan,nan,nan
4.008686,3.663043e-05,0.0,nan,nan,nan
4.092045,3.663361e-05,0.0,nan,nan,nan
4.17562,3.661575e-05,0.0,nan,nan,nan
4.259054,3.671512e-05,0.0,nan,nan,nan
4.342541,3.666329e-05,0.0,nan,nan,nan
4.426047,3.669547e-05,0.0,nan,nan,nan
4.509547,3.666186e-05,0.0,nan,nan,nan
4.592905,3.66267e-05,0.0,nan,nan,nan
4.67626,3.666155e-05,0.0,nan,nan,nan
4.759867,3.668045e-05,0.0,nan,nan,nan
4.843246,3.671945e-05,0.0,nan,nan,nan
4.926693,3.668194e-05,0.0,nan,nan,nan
5.010346,3.668921e-05,0.0,nan,nan,nan
5.09392,3.667509e-05,0.0,nan,nan,nan
5.17743,3.668902e-05,0.0,nan,nan,nan
5.260769,3.667636e-05,0.0,nan,nan,nan
5.344006,3.666335e-05,0.0,nan,nan,nan
5.427407,3.66977e-05,0.0,nan,nan,nan
5.510937,3.666958e-05,0.0,nan,nan,nan
5.594397,3.670069e-05,0.0,nan,nan,nan
5.677856,3.675254e-05,0.0,nan,nan,nan
5.761201,3.675748e-05,0.0,nan,nan,nan
5.844743,3.67065e-05,0.0,nan,nan,nan
5.928172,3.674104e-05,0.0,nan,nan,nan
6.011546,3.67232e-05,0.0,nan,nan,nan
6.095363,3.670473e-05,0.0,nan,nan,nan
6.179002,3.667303e-05,0.0,nan,nan,nan
6.262376,3.674279e-05,0.0,nan,nan,nan
6.345948,3.673306e-05,0.0,nan,nan,nan
6.429631,3.675778e-05,0.0,nan,nan,nan
6.513323,3.669786e-05,0.0,nan,nan,nan
6.596865,3.665666e-05,0.0,nan,nan,nan
6.680371,3.664184e-05,0.0,nan,nan,nan
6.763786,3.669088e-05,0.0,nan,nan,nan
6.847163,3.676981e-05,0.0,nan,nan,nan
6.930511,3.673548e-05,0.0,nan,nan,nan
7.014062,3.680524e-05,0.0,nan,nan,nan
7.097839,3.678573e-05,0.0,nan,nan,nan
7.181427,3.681735e-05,0.0,nan,nan,nan
7.265121,3.682952e-05,0.0,nan,nan,nan
7.348767,3.680151e-05,0.0,nan,nan,nan
7.432321,3.673266e-05,0.0,nan,nan,nan
