#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: after illumination - biotite
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757096657.8735113
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.342633e-05,nan,nan,nan
-0.05,1.310169e-05,nan,nan,nan
-0.1,1.245549e-05,nan,nan,nan
-0.15000000000000002,1.196669e-05,nan,nan,nan
-0.2,1.138589e-05,nan,nan,nan
-0.25,1.088119e-05,nan,nan,nan
-0.30000000000000004,1.040634e-05,nan,nan,nan
-0.35000000000000003,9.92066e-06,nan,nan,nan
-0.4,9.547323e-06,nan,nan,nan
-0.45,9.214719e-06,nan,nan,nan
-0.5,9.008747e-06,nan,nan,nan
-0.55,8.892422e-06,nan,nan,nan
-0.6000000000000001,8.929467e-06,nan,nan,nan
-0.65,9.136355e-06,nan,nan,nan
-0.7000000000000001,9.497312e-06,nan,nan,nan
-0.75,1.01166e-05,nan,nan,nan
-0.8,1.090913e-05,nan,nan,nan
-0.8500000000000001,1.186812e-05,nan,nan,nan
-0.9,1.292441e-05,nan,nan,nan
-0.9500000000000001,1.40518e-05,nan,nan,nan
-1.0,1.506246e-05,nan,nan,nan
-1.05,1.611644e-05,nan,nan,nan
-1.1,1.712398e-05,nan,nan,nan
-1.1500000000000001,1.804356e-05,nan,nan,nan
-1.2000000000000002,1.896164e-05,nan,nan,nan
-1.25,1.984043e-05,nan,nan,nan
-1.3,2.060727e-05,nan,nan,nan
-1.35,2.133008e-05,nan,nan,nan
-1.4000000000000001,2.204766e-05,nan,nan,nan
-1.4500000000000002,2.283259e-05,nan,nan,nan
-1.5,2.355005e-05,nan,nan,nan
-1.55,2.425403e-05,nan,nan,nan
-1.6,2.477774e-05,nan,nan,nan
-1.6500000000000001,2.546505e-05,nan,nan,nan
-1.7000000000000002,2.602576e-05,nan,nan,nan
-1.75,2.658328e-05,nan,nan,nan
-1.8,2.711717e-05,nan,nan,nan
