#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: after uv illumination - biotite
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757101852.7355077
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.475464e-05,nan,nan,nan
-0.05,1.45455e-05,nan,nan,nan
-0.1,1.400341e-05,nan,nan,nan
-0.15000000000000002,1.351259e-05,nan,nan,nan
-0.2,1.300704e-05,nan,nan,nan
-0.25,1.252821e-05,nan,nan,nan
-0.30000000000000004,1.206044e-05,nan,nan,nan
-0.35000000000000003,1.161878e-05,nan,nan,nan
-0.4,1.122706e-05,nan,nan,nan
-0.45,1.080129e-05,nan,nan,nan
-0.5,1.043026e-05,nan,nan,nan
-0.55,1.010307e-05,nan,nan,nan
-0.6000000000000001,9.814546e-06,nan,nan,nan
-0.65,9.617899e-06,nan,nan,nan
-0.7000000000000001,9.503484e-06,nan,nan,nan
-0.75,9.480037e-06,nan,nan,nan
-0.8,9.599928e-06,nan,nan,nan
-0.8500000000000001,9.852803e-06,nan,nan,nan
-0.9,1.025293e-05,nan,nan,nan
-0.9500000000000001,1.088967e-05,nan,nan,nan
-1.0,1.165657e-05,nan,nan,nan
-1.05,1.259976e-05,nan,nan,nan
-1.1,1.363174e-05,nan,nan,nan
-1.1500000000000001,1.468716e-05,nan,nan,nan
-1.2000000000000002,1.578356e-05,nan,nan,nan
-1.25,1.680835e-05,nan,nan,nan
-1.3,1.774878e-05,nan,nan,nan
-1.35,1.857669e-05,nan,nan,nan
-1.4000000000000001,1.948368e-05,nan,nan,nan
-1.4500000000000002,2.027436e-05,nan,nan,nan
-1.5,2.105258e-05,nan,nan,nan
-1.55,2.185733e-05,nan,nan,nan
-1.6,2.248671e-05,nan,nan,nan
-1.6500000000000001,2.32218e-05,nan,nan,nan
-1.7000000000000002,2.377529e-05,nan,nan,nan
-1.75,2.44546e-05,nan,nan,nan
-1.8,2.49736e-05,nan,nan,nan
-1.85,2.557268e-05,nan,nan,nan
-1.9000000000000001,2.610204e-05,nan,nan,nan
-1.9500000000000002,2.6644e-05,nan,nan,nan
-2.0,2.716085e-05,nan,nan,nan
-2.0500000000000003,2.762539e-05,nan,nan,nan
-2.1,2.807315e-05,nan,nan,nan
-2.15,2.860765e-05,nan,nan,nan
-2.2,2.892257e-05,nan,nan,nan
-2.25,2.933035e-05,nan,nan,nan
-2.3000000000000003,2.97661e-05,nan,nan,nan
-2.35,3.015707e-05,nan,nan,nan
-2.4000000000000004,3.053397e-05,nan,nan,nan
-2.45,3.092313e-05,nan,nan,nan
-2.5,3.128922e-05,nan,nan,nan
-2.5500000000000003,3.163663e-05,nan,nan,nan
-2.6,3.193226e-05,nan,nan,nan
-2.6500000000000004,3.229798e-05,nan,nan,nan
-2.7,3.25708e-05,nan,nan,nan
-2.75,3.284498e-05,nan,nan,nan
-2.8000000000000003,3.314567e-05,nan,nan,nan
-2.85,3.342474e-05,nan,nan,nan
-2.9000000000000004,3.367956e-05,nan,nan,nan
-2.95,3.393676e-05,nan,nan,nan
-3.0,3.427661e-05,nan,nan,nan
-3.0500000000000003,3.454262e-05,nan,nan,nan
-3.1,3.47508e-05,nan,nan,nan
-3.1500000000000004,3.503728e-05,nan,nan,nan
-3.2,3.524948e-05,nan,nan,nan
-3.25,3.566421e-05,nan,nan,nan
-3.3000000000000003,3.566912e-05,nan,nan,nan
-3.35,3.596325e-05,nan,nan,nan
-3.4000000000000004,3.615189e-05,nan,nan,nan
-3.45,3.638153e-05,nan,nan,nan
-3.5,3.665922e-05,nan,nan,nan
-3.5500000000000003,3.685556e-05,nan,nan,nan
-3.6,3.703836e-05,nan,nan,nan
-3.6500000000000004,3.7298e-05,nan,nan,nan
-3.7,3.749175e-05,nan,nan,nan
-3.75,3.779039e-05,nan,nan,nan
-3.8000000000000003,3.797755e-05,nan,nan,nan
-3.85,3.818225e-05,nan,nan,nan
-3.9000000000000004,3.840636e-05,nan,nan,nan
-3.95,3.858368e-05,nan,nan,nan
-4.0,3.876326e-05,nan,nan,nan
-4.05,3.897703e-05,nan,nan,nan
-4.1000000000000005,3.91504e-05,nan,nan,nan
-4.15,3.933118e-05,nan,nan,nan
-4.2,3.958173e-05,nan,nan,nan
-4.25,3.98025e-05,nan,nan,nan
-4.3,3.99034e-05,nan,nan,nan
-4.3500000000000005,4.017724e-05,nan,nan,nan
-4.4,4.033513e-05,nan,nan,nan
-4.45,4.056212e-05,nan,nan,nan
-4.5,4.071126e-05,nan,nan,nan
-4.55,4.101994e-05,nan,nan,nan
-4.6000000000000005,4.115099e-05,nan,nan,nan
-4.65,4.126644e-05,nan,nan,nan
-4.7,4.140751e-05,nan,nan,nan
-4.75,4.165458e-05,nan,nan,nan
-4.800000000000001,4.182956e-05,nan,nan,nan
-4.8500000000000005,4.200445e-05,nan,nan,nan
-4.9,4.212194e-05,nan,nan,nan
-4.95,4.230376e-05,nan,nan,nan
-5.0,4.248404e-05,nan,nan,nan
-4.95,4.235491e-05,nan,nan,nan
-4.9,4.188855e-05,nan,nan,nan
-4.8500000000000005,4.147366e-05,nan,nan,nan
-4.800000000000001,4.10617e-05,nan,nan,nan
-4.750000000000001,4.06768e-05,nan,nan,nan
-4.700000000000001,4.031154e-05,nan,nan,nan
-4.650000000000001,3.994799e-05,nan,nan,nan
-4.600000000000001,3.963681e-05,nan,nan,nan
-4.550000000000002,3.927541e-05,nan,nan,nan
-4.500000000000002,3.899708e-05,nan,nan,nan
-4.450000000000002,3.862537e-05,nan,nan,nan
-4.400000000000002,3.823261e-05,nan,nan,nan
-4.350000000000002,3.79991e-05,nan,nan,nan
-4.3000000000000025,3.762785e-05,nan,nan,nan
-4.250000000000003,3.733665e-05,nan,nan,nan
-4.200000000000003,3.702112e-05,nan,nan,nan
-4.150000000000003,3.66666e-05,nan,nan,nan
-4.100000000000003,3.630074e-05,nan,nan,nan
-4.050000000000003,3.597088e-05,nan,nan,nan
-4.0000000000000036,3.563368e-05,nan,nan,nan
-3.9500000000000037,3.5328e-05,nan,nan,nan
-3.900000000000004,3.498571e-05,nan,nan,nan
-3.850000000000004,3.465071e-05,nan,nan,nan
-3.8000000000000043,3.4291e-05,nan,nan,nan
-3.7500000000000044,3.389964e-05,nan,nan,nan
-3.7000000000000046,3.35819e-05,nan,nan,nan
-3.650000000000005,3.305269e-05,nan,nan,nan
-3.600000000000005,3.261267e-05,nan,nan,nan
-3.550000000000005,3.225073e-05,nan,nan,nan
-3.5000000000000053,3.187982e-05,nan,nan,nan
-3.4500000000000055,3.142255e-05,nan,nan,nan
-3.4000000000000057,3.097275e-05,nan,nan,nan
-3.350000000000006,3.058754e-05,nan,nan,nan
-3.300000000000006,3.011693e-05,nan,nan,nan
-3.250000000000006,2.963759e-05,nan,nan,nan
-3.2000000000000064,2.912099e-05,nan,nan,nan
-3.1500000000000066,2.865662e-05,nan,nan,nan
-3.1000000000000068,2.812836e-05,nan,nan,nan
-3.050000000000007,2.757147e-05,nan,nan,nan
-3.000000000000007,2.704758e-05,nan,nan,nan
-2.9500000000000073,2.646288e-05,nan,nan,nan
-2.9000000000000075,2.57948e-05,nan,nan,nan
-2.8500000000000076,2.510408e-05,nan,nan,nan
-2.800000000000008,2.443444e-05,nan,nan,nan
-2.750000000000008,2.377074e-05,nan,nan,nan
-2.700000000000008,2.303565e-05,nan,nan,nan
-2.6500000000000083,2.234923e-05,nan,nan,nan
-2.6000000000000085,2.157576e-05,nan,nan,nan
-2.5500000000000087,2.08346e-05,nan,nan,nan
-2.500000000000009,2.008207e-05,nan,nan,nan
-2.450000000000009,1.929927e-05,nan,nan,nan
-2.4000000000000092,1.857367e-05,nan,nan,nan
-2.3500000000000094,1.788271e-05,nan,nan,nan
-2.3000000000000096,1.730531e-05,nan,nan,nan
-2.2500000000000098,1.676374e-05,nan,nan,nan
-2.20000000000001,1.635163e-05,nan,nan,nan
-2.15000000000001,1.601182e-05,nan,nan,nan
-2.1000000000000103,1.579219e-05,nan,nan,nan
-2.0500000000000105,1.564839e-05,nan,nan,nan
-2.0000000000000107,1.555921e-05,nan,nan,nan
-1.9500000000000108,1.554239e-05,nan,nan,nan
-1.900000000000011,1.554687e-05,nan,nan,nan
-1.8500000000000112,1.559919e-05,nan,nan,nan
-1.8000000000000114,1.567513e-05,nan,nan,nan
-1.7500000000000115,1.576407e-05,nan,nan,nan
-1.7000000000000117,1.58271e-05,nan,nan,nan
-1.650000000000012,1.595368e-05,nan,nan,nan
-1.600000000000012,1.605077e-05,nan,nan,nan
-1.5500000000000123,1.612348e-05,nan,nan,nan
-1.5000000000000124,1.620033e-05,nan,nan,nan
-1.4500000000000126,1.631816e-05,nan,nan,nan
-1.4000000000000128,1.640073e-05,nan,nan,nan
-1.350000000000013,1.644421e-05,nan,nan,nan
-1.3000000000000131,1.648973e-05,nan,nan,nan
-1.2500000000000133,1.653301e-05,nan,nan,nan
-1.2000000000000135,1.65826e-05,nan,nan,nan
-1.1500000000000137,1.662006e-05,nan,nan,nan
-1.1000000000000139,1.661995e-05,nan,nan,nan
-1.050000000000014,1.66427e-05,nan,nan,nan
-1.0000000000000142,1.667479e-05,nan,nan,nan
-0.9500000000000144,1.669766e-05,nan,nan,nan
-0.9000000000000146,1.678063e-05,nan,nan,nan
-0.8500000000000147,1.680056e-05,nan,nan,nan
-0.8000000000000149,1.679439e-05,nan,nan,nan
-0.7500000000000151,1.685921e-05,nan,nan,nan
-0.7000000000000153,1.684572e-05,nan,nan,nan
-0.6500000000000155,1.694805e-05,nan,nan,nan
-0.6000000000000156,1.698303e-05,nan,nan,nan
-0.5500000000000158,1.706426e-05,nan,nan,nan
-0.500000000000016,1.709173e-05,nan,nan,nan
-0.45000000000001616,1.713472e-05,nan,nan,nan
-0.40000000000001634,1.712498e-05,nan,nan,nan
-0.3500000000000165,1.716548e-05,nan,nan,nan
-0.3000000000000167,1.714567e-05,nan,nan,nan
-0.2500000000000169,1.717931e-05,nan,nan,nan
-0.20000000000001705,1.710574e-05,nan,nan,nan
-0.15000000000001723,1.705814e-05,nan,nan,nan
-0.10000000000001741,1.704894e-05,nan,nan,nan
-0.050000000000017586,1.695173e-05,nan,nan,nan
-1.7763568394002505e-14,1.683681e-05,nan,nan,nan
0.04999999999998206,1.680274e-05,nan,nan,nan
0.09999999999998188,1.670913e-05,nan,nan,nan
0.1499999999999817,1.672883e-05,nan,nan,nan
0.19999999999998153,1.683496e-05,nan,nan,nan
0.24999999999998135,1.694471e-05,nan,nan,nan
0.29999999999998117,1.714872e-05,nan,nan,nan
0.349999999999981,1.740453e-05,nan,nan,nan
0.3999999999999808,1.772388e-05,nan,nan,nan
0.44999999999998064,1.810131e-05,nan,nan,nan
0.49999999999998046,1.850467e-05,nan,nan,nan
0.5499999999999803,1.898401e-05,nan,nan,nan
0.5999999999999801,1.950063e-05,nan,nan,nan
0.6499999999999799,1.999495e-05,nan,nan,nan
0.6999999999999797,2.055778e-05,nan,nan,nan
0.7499999999999796,2.11012e-05,nan,nan,nan
0.7999999999999794,2.170614e-05,nan,nan,nan
0.8499999999999792,2.234422e-05,nan,nan,nan
0.899999999999979,2.294928e-05,nan,nan,nan
0.9499999999999789,2.366611e-05,nan,nan,nan
0.9999999999999787,2.444552e-05,nan,nan,nan
1.0499999999999785,2.517271e-05,nan,nan,nan
1.0999999999999783,2.590429e-05,nan,nan,nan
1.1499999999999782,2.674735e-05,nan,nan,nan
1.199999999999978,2.748239e-05,nan,nan,nan
1.2499999999999778,2.825164e-05,nan,nan,nan
1.2999999999999776,2.899745e-05,nan,nan,nan
1.3499999999999774,2.978819e-05,nan,nan,nan
