#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: 455 -  biotite
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 2 V
#	Laser wavelength: 455
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: 5 V
#Metadata:
#	Start time: 1757095167.016689
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,5.468365e-05,0.0,nan,nan,nan
0.08356538,5.454928e-05,0.0,nan,nan,nan
0.167077,5.439345e-05,0.0,nan,nan,nan
0.2507024,5.428386e-05,0.0,nan,nan,nan
0.3344526,5.419671e-05,0.0,nan,nan,nan
0.4179368,5.415426e-05,0.0,nan,nan,nan
0.5015596,5.408499e-05,0.0,nan,nan,nan
0.5850045,5.403831e-05,0.0,nan,nan,nan
0.668811,5.406157e-05,0.0,nan,nan,nan
0.7524395,5.395323e-05,0.0,nan,nan,nan
0.8361178,5.398193e-05,0.0,nan,nan,nan
0.9195741,5.395261e-05,0.0,nan,nan,nan
1.003155,5.384845e-05,0.0,nan,nan,nan
1.086762,5.382081e-05,0.0,nan,nan,nan
1.170489,5.3852e-05,0.0,nan,nan,nan
1.25394,5.382036e-05,0.0,nan,nan,nan
1.33769,5.38156e-05,0.0,nan,nan,nan
1.42123,5.383927e-05,0.0,nan,nan,nan
1.504877,5.379087e-05,0.0,nan,nan,nan
1.588385,5.381345e-05,0.0,nan,nan,nan
1.671853,5.381047e-05,0.0,nan,nan,nan
1.755509,5.378938e-05,0.0,nan,nan,nan
1.838976,5.377494e-05,0.0,nan,nan,nan
1.922425,5.378564e-05,0.0,nan,nan,nan
2.006096,5.379091e-05,0.0,nan,nan,nan
2.089795,5.374356e-05,0.0,nan,nan,nan
2.173624,5.376393e-05,0.0,nan,nan,nan
2.257234,5.373598e-05,0.0,nan,nan,nan
2.340842,5.375861e-05,0.0,nan,nan,nan
2.424431,5.380875e-05,0.0,nan,nan,nan
2.507863,5.381637e-05,0.0,nan,nan,nan
2.591339,5.383532e-05,0.0,nan,nan,nan
2.674827,5.37982e-05,0.0,nan,nan,nan
2.758702,5.381386e-05,0.0,nan,nan,nan
2.842461,5.388057e-05,0.0,nan,nan,nan
2.92592,5.38591e-05,0.0,nan,nan,nan
3.009251,5.383519e-05,0.0,nan,nan,nan
3.092948,5.386042e-05,0.0,nan,nan,nan
3.17659,5.386933e-05,0.0,nan,nan,nan
3.260193,5.384447e-05,0.0,nan,nan,nan
3.343694,5.382386e-05,0.0,nan,nan,nan
3.427372,5.386143e-05,0.0,nan,nan,nan
3.510879,5.385033e-05,0.0,nan,nan,nan
3.594378,5.387735e-05,0.0,nan,nan,nan
3.677954,5.386479e-05,0.0,nan,nan,nan
3.76135,5.385901e-05,0.0,nan,nan,nan
3.844965,5.388923e-05,0.0,nan,nan,nan
3.928329,5.390941e-05,0.0,nan,nan,nan
4.012806,5.38796e-05,0.0,nan,nan,nan
4.096212,5.389529e-05,0.0,nan,nan,nan
4.179799,5.385687e-05,0.0,nan,nan,nan
4.263918,5.388554e-05,0.0,nan,nan,nan
4.34746,5.38882e-05,0.0,nan,nan,nan
4.431055,5.390938e-05,0.0,nan,nan,nan
4.514441,5.393197e-05,0.0,nan,nan,nan
4.597964,5.398533e-05,0.0,nan,nan,nan
4.681599,5.404041e-05,0.0,nan,nan,nan
4.765056,5.402234e-05,0.0,nan,nan,nan
4.848583,5.398269e-05,0.0,nan,nan,nan
4.931936,5.398358e-05,0.0,nan,nan,nan
5.015427,5.398558e-05,0.0,nan,nan,nan
5.099094,5.397566e-05,0.0,nan,nan,nan
5.182654,5.397337e-05,0.0,nan,nan,nan
5.266218,5.397171e-05,0.0,nan,nan,nan
5.349602,5.396784e-05,0.0,nan,nan,nan
5.43325,5.393834e-05,0.0,nan,nan,nan
5.516737,5.39037e-05,0.0,nan,nan,nan
5.600243,5.394307e-05,0.0,nan,nan,nan
5.683694,5.397426e-05,0.0,nan,nan,nan
5.767277,5.396116e-05,0.0,nan,nan,nan
5.850716,5.398855e-05,0.0,nan,nan,nan
5.934203,5.388074e-05,0.0,nan,nan,nan
6.017845,5.390132e-05,0.0,nan,nan,nan
6.101343,5.388934e-05,0.0,nan,nan,nan
6.184852,5.392261e-05,0.0,nan,nan,nan
6.26835,5.394812e-05,0.0,nan,nan,nan
6.351861,5.39223e-05,0.0,nan,nan,nan
6.435433,5.38798e-05,0.0,nan,nan,nan
6.518983,5.391011e-05,0.0,nan,nan,nan
6.602211,5.39301e-05,0.0,nan,nan,nan
6.685659,5.385093e-05,0.0,nan,nan,nan
6.769082,5.382485e-05,0.0,nan,nan,nan
6.853655,5.386685e-05,0.0,nan,nan,nan
6.937311,5.388244e-05,0.0,nan,nan,nan
7.020949,5.389589e-05,0.0,nan,nan,nan
7.104329,5.383516e-05,0.0,nan,nan,nan
7.187924,5.383257e-05,0.0,nan,nan,nan
7.271583,5.37837e-05,0.0,nan,nan,nan
7.355269,5.381449e-05,0.0,nan,nan,nan
7.438825,5.378926e-05,0.0,nan,nan,nan
7.522428,5.379943e-05,0.0,nan,nan,nan
7.606082,5.386917e-05,0.0,nan,nan,nan
7.689844,5.386287e-05,0.0,nan,nan,nan
7.773466,5.390507e-05,0.0,nan,nan,nan
7.856903,5.384465e-05,0.0,nan,nan,nan
7.940411,5.384893e-05,0.0,nan,nan,nan
8.024133,5.384352e-05,0.0,nan,nan,nan
8.107651,5.385855e-05,0.0,nan,nan,nan
8.19106,5.390847e-05,0.0,nan,nan,nan
8.2745,5.386537e-05,0.0,nan,nan,nan
8.358314,5.384799e-05,0.0,nan,nan,nan
8.441855,5.38025e-05,0.0,nan,nan,nan
8.525401,5.38144e-05,0.0,nan,nan,nan
8.609009,5.389702e-05,0.0,nan,nan,nan
8.693954,5.389879e-05,0.0,nan,nan,nan
8.777567,5.388471e-05,0.0,nan,nan,nan
8.861078,5.39106e-05,0.0,nan,nan,nan
8.944536,5.392007e-05,0.0,nan,nan,nan
9.028048,5.389165e-05,0.0,nan,nan,nan
9.111569,5.386777e-05,0.0,nan,nan,nan
9.195152,5.388471e-05,0.0,nan,nan,nan
9.278807,5.391737e-05,0.0,nan,nan,nan
9.362328,5.390578e-05,0.0,nan,nan,nan
9.445811,5.401398e-05,0.0,nan,nan,nan
9.529543,5.398355e-05,0.0,nan,nan,nan
9.613383,5.395074e-05,0.0,nan,nan,nan
9.696857,5.393207e-05,0.0,nan,nan,nan
9.780291,5.397194e-05,0.0,nan,nan,nan
9.863841,5.394074e-05,0.0,nan,nan,nan
9.947278,5.39369e-05,0.0,nan,nan,nan
10.03096,5.396604e-05,0.0,nan,nan,nan
10.1176,5.400116e-05,0.0,nan,nan,nan
10.20131,5.393558e-05,0.0,nan,nan,nan
10.28474,5.396969e-05,0.0,nan,nan,nan
10.3682,5.393865e-05,0.0,nan,nan,nan
10.45198,5.394172e-05,0.0,nan,nan,nan
10.53534,5.396009e-05,0.0,nan,nan,nan
10.6189,5.396368e-05,0.0,nan,nan,nan
10.70248,5.395228e-05,0.0,nan,nan,nan
10.7864,5.392293e-05,0.0,nan,nan,nan
10.87114,5.395107e-05,0.0,nan,nan,nan
10.95478,5.397676e-05,0.0,nan,nan,nan
11.03851,5.395842e-05,0.0,nan,nan,nan
11.12229,5.399294e-05,0.0,nan,nan,nan
11.20607,5.398279e-05,0.0,nan,nan,nan
11.28954,5.400469e-05,0.0,nan,nan,nan
11.37308,5.406666e-05,0.0,nan,nan,nan
11.45684,5.401926e-05,0.0,nan,nan,nan
11.54035,5.407096e-05,0.0,nan,nan,nan
11.62402,5.404951e-05,0.0,nan,nan,nan
11.70768,5.399516e-05,0.0,nan,nan,nan
11.79108,5.401305e-05,0.0,nan,nan,nan
11.87604,5.40106e-05,0.0,nan,nan,nan
11.95942,5.400841e-05,0.0,nan,nan,nan
12.04306,5.396864e-05,0.0,nan,nan,nan
12.12652,5.398612e-05,0.0,nan,nan,nan
12.21001,5.399894e-05,0.0,nan,nan,nan
12.2948,5.4039e-05,0.0,nan,nan,nan
12.37839,5.403053e-05,0.0,nan,nan,nan
12.46194,5.401858e-05,0.0,nan,nan,nan
12.54843,5.402946e-05,0.0,nan,nan,nan
12.63215,5.399567e-05,0.0,nan,nan,nan
12.71582,5.400662e-05,0.0,nan,nan,nan
12.7993,5.401705e-05,0.0,nan,nan,nan
12.88276,5.399662e-05,0.0,nan,nan,nan
12.96631,5.396983e-05,0.0,nan,nan,nan
13.04989,5.40067e-05,0.0,nan,nan,nan
13.13361,5.399591e-05,0.0,nan,nan,nan
13.21725,5.403513e-05,0.0,nan,nan,nan
13.30185,5.396624e-05,0.0,nan,nan,nan
13.38529,5.399252e-05,0.0,nan,nan,nan
13.46903,5.402975e-05,0.0,nan,nan,nan
13.55247,5.40007e-05,0.0,nan,nan,nan
13.63614,5.39719e-05,0.0,nan,nan,nan
13.71958,5.39976e-05,0.0,nan,nan,nan
13.80342,5.401963e-05,0.0,nan,nan,nan
13.88699,5.406659e-05,0.0,nan,nan,nan
13.97045,5.403769e-05,0.0,nan,nan,nan
14.05396,5.403364e-05,0.0,nan,nan,nan
14.13769,5.403645e-05,0.0,nan,nan,nan
14.22122,5.403148e-05,0.0,nan,nan,nan
14.3051,5.403182e-05,0.0,nan,nan,nan
14.38883,5.405111e-05,0.0,nan,nan,nan
14.4728,5.403794e-05,0.0,nan,nan,nan
14.55637,5.404661e-05,0.0,nan,nan,nan
14.63985,5.406518e-05,0.0,nan,nan,nan
14.72528,5.40679e-05,0.0,nan,nan,nan
14.809,5.406961e-05,0.0,nan,nan,nan
14.89273,5.407952e-05,0.0,nan,nan,nan
14.97623,5.407088e-05,0.0,nan,nan,nan
15.05999,5.404257e-05,0.0,nan,nan,nan
15.14348,5.407131e-05,0.0,nan,nan,nan
15.22693,5.412892e-05,0.0,nan,nan,nan
15.3107,5.412e-05,0.0,nan,nan,nan
15.39536,5.410656e-05,0.0,nan,nan,nan
15.47877,5.406193e-05,0.0,nan,nan,nan
15.56236,5.406598e-05,0.0,nan,nan,nan
15.64663,5.406029e-05,0.0,nan,nan,nan
15.73035,5.402442e-05,0.0,nan,nan,nan
15.81395,5.403059e-05,0.0,nan,nan,nan
15.89774,5.404577e-05,0.0,nan,nan,nan
15.98116,5.402727e-05,0.0,nan,nan,nan
16.06462,5.405703e-05,0.0,nan,nan,nan
16.15128,5.406325e-05,0.0,nan,nan,nan
16.23495,5.408574e-05,0.0,nan,nan,nan
16.3188,5.399168e-05,0.0,nan,nan,nan
16.40255,5.404716e-05,0.0,nan,nan,nan
16.48627,5.402817e-05,0.0,nan,nan,nan
16.56987,5.402682e-05,0.0,nan,nan,nan
16.65352,5.403521e-05,0.0,nan,nan,nan
16.73738,5.3998e-05,0.0,nan,nan,nan
16.8209,5.407406e-05,0.0,nan,nan,nan
16.90426,5.39922e-05,0.0,nan,nan,nan
16.98795,5.402731e-05,0.0,nan,nan,nan
