#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: 455 -  biotite
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 5 V
#	Laser wavelength: 455
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -5 V
#Metadata:
#	Start time: 1757092919.621063
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,4.467722e-05,0.0,nan,nan,nan
0.08369044,4.458324e-05,0.0,nan,nan,nan
0.1670841,4.453728e-05,0.0,nan,nan,nan
0.2506135,4.453744e-05,0.0,nan,nan,nan
0.3341645,4.448644e-05,0.0,nan,nan,nan
0.4179154,4.442278e-05,0.0,nan,nan,nan
0.5013961,4.434458e-05,0.0,nan,nan,nan
0.5851085,4.439199e-05,0.0,nan,nan,nan
0.6688006,4.430605e-05,0.0,nan,nan,nan
0.7524996,4.427481e-05,0.0,nan,nan,nan
0.8359945,4.427737e-05,0.0,nan,nan,nan
0.9197166,4.424356e-05,0.0,nan,nan,nan
1.003565,4.419688e-05,0.0,nan,nan,nan
1.087414,4.416174e-05,0.0,nan,nan,nan
1.170989,4.416564e-05,0.0,nan,nan,nan
1.254684,4.412605e-05,0.0,nan,nan,nan
1.338285,4.414393e-05,0.0,nan,nan,nan
1.421637,4.409787e-05,0.0,nan,nan,nan
1.505197,4.414301e-05,0.0,nan,nan,nan
1.588877,4.411225e-05,0.0,nan,nan,nan
1.672473,4.41356e-05,0.0,nan,nan,nan
1.757365,4.416329e-05,0.0,nan,nan,nan
1.84085,4.41074e-05,0.0,nan,nan,nan
1.924558,4.407619e-05,0.0,nan,nan,nan
2.00836,4.403979e-05,0.0,nan,nan,nan
2.092058,4.406871e-05,0.0,nan,nan,nan
2.175683,4.4056e-05,0.0,nan,nan,nan
2.259315,4.407734e-05,0.0,nan,nan,nan
2.343134,4.411042e-05,0.0,nan,nan,nan
2.426762,4.411601e-05,0.0,nan,nan,nan
2.510587,4.406431e-05,0.0,nan,nan,nan
2.594311,4.40805e-05,0.0,nan,nan,nan
2.678152,4.413494e-05,0.0,nan,nan,nan
2.761444,4.410118e-05,0.0,nan,nan,nan
2.845226,4.410179e-05,0.0,nan,nan,nan
2.929015,4.41498e-05,0.0,nan,nan,nan
3.01298,4.412332e-05,0.0,nan,nan,nan
3.096651,4.412345e-05,0.0,nan,nan,nan
3.180162,4.40891e-05,0.0,nan,nan,nan
3.263586,4.41409e-05,0.0,nan,nan,nan
3.347238,4.408285e-05,0.0,nan,nan,nan
3.43103,4.406459e-05,0.0,nan,nan,nan
3.51487,4.404337e-05,0.0,nan,nan,nan
3.598799,4.408964e-05,0.0,nan,nan,nan
3.682333,4.407943e-05,0.0,nan,nan,nan
3.765896,4.404922e-05,0.0,nan,nan,nan
3.849733,4.410429e-05,0.0,nan,nan,nan
3.933407,4.413973e-05,0.0,nan,nan,nan
4.016905,4.406603e-05,0.0,nan,nan,nan
4.100743,4.406098e-05,0.0,nan,nan,nan
4.184465,4.41161e-05,0.0,nan,nan,nan
4.26788,4.412672e-05,0.0,nan,nan,nan
4.351468,4.408889e-05,0.0,nan,nan,nan
4.43498,4.409788e-05,0.0,nan,nan,nan
4.518464,4.406069e-05,0.0,nan,nan,nan
4.602109,4.403315e-05,0.0,nan,nan,nan
4.685604,4.408916e-05,0.0,nan,nan,nan
4.769352,4.411576e-05,0.0,nan,nan,nan
4.852895,4.411465e-05,0.0,nan,nan,nan
4.936668,4.411857e-05,0.0,nan,nan,nan
5.020331,4.409398e-05,0.0,nan,nan,nan
5.1039,4.410054e-05,0.0,nan,nan,nan
5.187418,4.414109e-05,0.0,nan,nan,nan
5.271262,4.413269e-05,0.0,nan,nan,nan
5.354807,4.412925e-05,0.0,nan,nan,nan
5.438265,4.408888e-05,0.0,nan,nan,nan
5.521738,4.408074e-05,0.0,nan,nan,nan
5.605578,4.410764e-05,0.0,nan,nan,nan
5.689107,4.409018e-05,0.0,nan,nan,nan
5.772488,4.41085e-05,0.0,nan,nan,nan
5.856126,4.410245e-05,0.0,nan,nan,nan
5.939732,4.412631e-05,0.0,nan,nan,nan
6.023343,4.414989e-05,0.0,nan,nan,nan
6.106815,4.418261e-05,0.0,nan,nan,nan
6.190521,4.418835e-05,0.0,nan,nan,nan
6.27415,4.415479e-05,0.0,nan,nan,nan
6.357838,4.413242e-05,0.0,nan,nan,nan
6.441719,4.414077e-05,0.0,nan,nan,nan
6.525362,4.415396e-05,0.0,nan,nan,nan
6.609095,4.417777e-05,0.0,nan,nan,nan
6.692911,4.415938e-05,0.0,nan,nan,nan
6.776732,4.418582e-05,0.0,nan,nan,nan
6.860208,4.417301e-05,0.0,nan,nan,nan
6.943717,4.414765e-05,0.0,nan,nan,nan
7.027604,4.41384e-05,0.0,nan,nan,nan
7.111355,4.413417e-05,0.0,nan,nan,nan
7.19497,4.408855e-05,0.0,nan,nan,nan
7.278869,4.410864e-05,0.0,nan,nan,nan
7.362959,4.411609e-05,0.0,nan,nan,nan
7.446918,4.420214e-05,0.0,nan,nan,nan
7.53053,4.424713e-05,0.0,nan,nan,nan
7.614034,4.421925e-05,0.0,nan,nan,nan
7.697632,4.422621e-05,0.0,nan,nan,nan
7.781482,4.421594e-05,0.0,nan,nan,nan
7.865003,4.418848e-05,0.0,nan,nan,nan
7.948333,4.422928e-05,0.0,nan,nan,nan
8.031829,4.421337e-05,0.0,nan,nan,nan
8.115576,4.418704e-05,0.0,nan,nan,nan
8.198969,4.415937e-05,0.0,nan,nan,nan
8.282376,4.417878e-05,0.0,nan,nan,nan
8.365915,4.421093e-05,0.0,nan,nan,nan
8.449495,4.419922e-05,0.0,nan,nan,nan
8.533009,4.419595e-05,0.0,nan,nan,nan
8.616636,4.419963e-05,0.0,nan,nan,nan
8.700442,4.417818e-05,0.0,nan,nan,nan
8.784195,4.419371e-05,0.0,nan,nan,nan
8.86761,4.42106e-05,0.0,nan,nan,nan
8.951129,4.421058e-05,0.0,nan,nan,nan
9.03448,4.423235e-05,0.0,nan,nan,nan
9.118092,4.421267e-05,0.0,nan,nan,nan
