#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 67
#	Information: hbn bit - top
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757345180.0971758
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,8.831168e-06,nan,nan,nan
-0.05,9.062152e-06,nan,nan,nan
-0.1,9.55358e-06,nan,nan,nan
-0.15000000000000002,1.029771e-05,nan,nan,nan
-0.2,1.12128e-05,nan,nan,nan
-0.25,1.216956e-05,nan,nan,nan
-0.30000000000000004,1.305751e-05,nan,nan,nan
-0.35000000000000003,1.396039e-05,nan,nan,nan
-0.4,1.479026e-05,nan,nan,nan
-0.45,1.557254e-05,nan,nan,nan
-0.5,1.625819e-05,nan,nan,nan
-0.55,1.693832e-05,nan,nan,nan
-0.6000000000000001,1.756745e-05,nan,nan,nan
-0.65,1.816679e-05,nan,nan,nan
-0.7000000000000001,1.871959e-05,nan,nan,nan
-0.75,1.929321e-05,nan,nan,nan
-0.8,1.98176e-05,nan,nan,nan
-0.8500000000000001,2.025517e-05,nan,nan,nan
-0.9,2.069359e-05,nan,nan,nan
-0.9500000000000001,2.111477e-05,nan,nan,nan
-1.0,2.151407e-05,nan,nan,nan
-1.05,2.188366e-05,nan,nan,nan
-1.1,2.225608e-05,nan,nan,nan
-1.1500000000000001,2.258731e-05,nan,nan,nan
-1.2000000000000002,2.29253e-05,nan,nan,nan
-1.25,2.323846e-05,nan,nan,nan
-1.3,2.354815e-05,nan,nan,nan
-1.35,2.382264e-05,nan,nan,nan
-1.4000000000000001,2.411027e-05,nan,nan,nan
-1.4500000000000002,2.437077e-05,nan,nan,nan
-1.5,2.466297e-05,nan,nan,nan
-1.55,2.493757e-05,nan,nan,nan
-1.6,2.517645e-05,nan,nan,nan
-1.6500000000000001,2.540847e-05,nan,nan,nan
-1.7000000000000002,2.564521e-05,nan,nan,nan
-1.75,2.587668e-05,nan,nan,nan
-1.8,2.610514e-05,nan,nan,nan
-1.85,2.63098e-05,nan,nan,nan
-1.9000000000000001,2.65246e-05,nan,nan,nan
-1.9500000000000002,2.67194e-05,nan,nan,nan
-2.0,2.691628e-05,nan,nan,nan
-2.0500000000000003,2.713655e-05,nan,nan,nan
-2.1,2.732382e-05,nan,nan,nan
-2.15,2.750416e-05,nan,nan,nan
-2.2,2.768813e-05,nan,nan,nan
-2.25,2.787168e-05,nan,nan,nan
-2.3000000000000003,2.807423e-05,nan,nan,nan
-2.35,2.824306e-05,nan,nan,nan
-2.4000000000000004,2.842086e-05,nan,nan,nan
-2.45,2.858888e-05,nan,nan,nan
-2.5,2.876481e-05,nan,nan,nan
-2.5500000000000003,2.893796e-05,nan,nan,nan
-2.6,2.909556e-05,nan,nan,nan
-2.6500000000000004,2.925229e-05,nan,nan,nan
-2.7,2.941956e-05,nan,nan,nan
-2.75,2.958555e-05,nan,nan,nan
-2.8000000000000003,2.973467e-05,nan,nan,nan
-2.85,2.98873e-05,nan,nan,nan
-2.9000000000000004,3.004021e-05,nan,nan,nan
-2.95,3.018957e-05,nan,nan,nan
-3.0,3.033874e-05,nan,nan,nan
-3.0500000000000003,3.050267e-05,nan,nan,nan
-3.1,3.063482e-05,nan,nan,nan
-3.1500000000000004,3.078676e-05,nan,nan,nan
-3.2,3.092039e-05,nan,nan,nan
-3.25,3.107416e-05,nan,nan,nan
-3.3000000000000003,3.121452e-05,nan,nan,nan
-3.35,3.136006e-05,nan,nan,nan
-3.4000000000000004,3.150117e-05,nan,nan,nan
-3.45,3.164759e-05,nan,nan,nan
-3.5,3.176993e-05,nan,nan,nan
-3.5500000000000003,3.190431e-05,nan,nan,nan
-3.6,3.205046e-05,nan,nan,nan
-3.6500000000000004,3.219149e-05,nan,nan,nan
-3.7,3.233617e-05,nan,nan,nan
-3.75,3.249354e-05,nan,nan,nan
-3.8000000000000003,3.261937e-05,nan,nan,nan
-3.85,3.274974e-05,nan,nan,nan
-3.9000000000000004,3.289133e-05,nan,nan,nan
-3.95,3.302505e-05,nan,nan,nan
-4.0,3.315381e-05,nan,nan,nan
-4.05,3.328784e-05,nan,nan,nan
-4.1000000000000005,3.342083e-05,nan,nan,nan
-4.15,3.362175e-05,nan,nan,nan
-4.2,3.367717e-05,nan,nan,nan
-4.25,3.380188e-05,nan,nan,nan
-4.3,3.393968e-05,nan,nan,nan
-4.3500000000000005,3.406491e-05,nan,nan,nan
-4.4,3.419897e-05,nan,nan,nan
-4.45,3.431727e-05,nan,nan,nan
-4.5,3.44615e-05,nan,nan,nan
-4.55,3.458749e-05,nan,nan,nan
-4.6000000000000005,3.471217e-05,nan,nan,nan
-4.65,3.484868e-05,nan,nan,nan
-4.7,3.49653e-05,nan,nan,nan
-4.75,3.508777e-05,nan,nan,nan
-4.800000000000001,3.522611e-05,nan,nan,nan
-4.8500000000000005,3.535219e-05,nan,nan,nan
