#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 76
#	Information: hbn - top - bio - bot - DS2
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757347507.4701648
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,2.401953e-05,nan,nan,nan
-0.05,2.585931e-05,nan,nan,nan
-0.1,2.988631e-05,nan,nan,nan
-0.15000000000000002,3.469468e-05,nan,nan,nan
-0.2,3.930233e-05,nan,nan,nan
-0.25,4.371037e-05,nan,nan,nan
-0.30000000000000004,4.746901e-05,nan,nan,nan
-0.35000000000000003,5.113858e-05,nan,nan,nan
-0.4,5.435533e-05,nan,nan,nan
-0.45,5.729352e-05,nan,nan,nan
-0.5,5.986375e-05,nan,nan,nan
-0.55,6.246831e-05,nan,nan,nan
-0.6000000000000001,6.468662e-05,nan,nan,nan
-0.65,6.691897e-05,nan,nan,nan
-0.7000000000000001,6.895739e-05,nan,nan,nan
-0.75,7.102599e-05,nan,nan,nan
-0.8,7.292596e-05,nan,nan,nan
-0.8500000000000001,7.465765e-05,nan,nan,nan
-0.9,7.638254e-05,nan,nan,nan
-0.9500000000000001,7.794051e-05,nan,nan,nan
-1.0,7.94142e-05,nan,nan,nan
-1.05,8.087741e-05,nan,nan,nan
-1.1,8.231141e-05,nan,nan,nan
-1.1500000000000001,8.359761e-05,nan,nan,nan
-1.2000000000000002,8.487677e-05,nan,nan,nan
-1.25,8.677212e-05,nan,nan,nan
-1.3,8.733684e-05,nan,nan,nan
-1.35,8.847614e-05,nan,nan,nan
-1.4000000000000001,8.948763e-05,nan,nan,nan
-1.4500000000000002,9.049324e-05,nan,nan,nan
-1.5,9.155864e-05,nan,nan,nan
-1.55,9.244301e-05,nan,nan,nan
-1.6,9.327596e-05,nan,nan,nan
-1.6500000000000001,9.41031e-05,nan,nan,nan
-1.7000000000000002,9.488637e-05,nan,nan,nan
-1.75,9.560179e-05,nan,nan,nan
-1.8,9.622884e-05,nan,nan,nan
-1.85,9.683274e-05,nan,nan,nan
-1.9000000000000001,9.7436e-05,nan,nan,nan
-1.9500000000000002,9.795664e-05,nan,nan,nan
-2.0,9.846374e-05,nan,nan,nan
-2.0500000000000003,9.894579e-05,nan,nan,nan
-2.1,9.944847e-05,nan,nan,nan
-2.15,9.99452e-05,nan,nan,nan
-2.2,0.0001003324,nan,nan,nan
-2.25,0.0001008016,nan,nan,nan
-2.3000000000000003,0.0001011517,nan,nan,nan
-2.35,0.0001015319,nan,nan,nan
-2.4000000000000004,0.0001019902,nan,nan,nan
-2.45,0.000102595,nan,nan,nan
-2.5,0.0001025319,nan,nan,nan
-2.5500000000000003,0.0001028717,nan,nan,nan
-2.6,0.0001031459,nan,nan,nan
-2.6500000000000004,0.0001035206,nan,nan,nan
-2.7,0.0001038172,nan,nan,nan
