#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 68
#	Information: hbn - top - bio - bot
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757345844.8101747
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.424515e-05,nan,nan,nan
-0.05,1.372735e-05,nan,nan,nan
-0.1,1.295113e-05,nan,nan,nan
-0.15000000000000002,1.336799e-05,nan,nan,nan
-0.2,1.487104e-05,nan,nan,nan
-0.25,1.716022e-05,nan,nan,nan
-0.30000000000000004,1.989167e-05,nan,nan,nan
-0.35000000000000003,2.328566e-05,nan,nan,nan
-0.4,2.638787e-05,nan,nan,nan
-0.45,2.978538e-05,nan,nan,nan
-0.5,3.29954e-05,nan,nan,nan
-0.55,3.610308e-05,nan,nan,nan
-0.6000000000000001,3.906299e-05,nan,nan,nan
-0.65,4.188967e-05,nan,nan,nan
-0.7000000000000001,4.435855e-05,nan,nan,nan
-0.75,4.699625e-05,nan,nan,nan
-0.8,4.94424e-05,nan,nan,nan
-0.8500000000000001,5.166829e-05,nan,nan,nan
-0.9,5.38592e-05,nan,nan,nan
-0.9500000000000001,5.591019e-05,nan,nan,nan
-1.0,5.773553e-05,nan,nan,nan
-1.05,5.957467e-05,nan,nan,nan
-1.1,6.12972e-05,nan,nan,nan
-1.1500000000000001,6.290735e-05,nan,nan,nan
-1.2000000000000002,6.449588e-05,nan,nan,nan
-1.25,6.598735e-05,nan,nan,nan
-1.3,6.739852e-05,nan,nan,nan
-1.35,6.879849e-05,nan,nan,nan
-1.4000000000000001,7.014746e-05,nan,nan,nan
-1.4500000000000002,7.149093e-05,nan,nan,nan
-1.5,7.280977e-05,nan,nan,nan
-1.55,7.417708e-05,nan,nan,nan
-1.6,7.525858e-05,nan,nan,nan
-1.6500000000000001,7.638165e-05,nan,nan,nan
-1.7000000000000002,7.750147e-05,nan,nan,nan
-1.75,7.862693e-05,nan,nan,nan
-1.8,7.965124e-05,nan,nan,nan
-1.85,8.067376e-05,nan,nan,nan
-1.9000000000000001,8.163224e-05,nan,nan,nan
-1.9500000000000002,8.259781e-05,nan,nan,nan
-2.0,8.351397e-05,nan,nan,nan
-2.0500000000000003,8.449938e-05,nan,nan,nan
-2.1,8.541781e-05,nan,nan,nan
-2.15,8.634399e-05,nan,nan,nan
-2.2,8.711358e-05,nan,nan,nan
-2.25,8.801632e-05,nan,nan,nan
-2.3000000000000003,8.885163e-05,nan,nan,nan
-2.35,8.966555e-05,nan,nan,nan
-2.4000000000000004,9.049012e-05,nan,nan,nan
-2.45,9.130769e-05,nan,nan,nan
-2.5,9.206179e-05,nan,nan,nan
-2.5500000000000003,9.292698e-05,nan,nan,nan
-2.6,9.353804e-05,nan,nan,nan
-2.6500000000000004,9.425757e-05,nan,nan,nan
-2.7,9.504479e-05,nan,nan,nan
