#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 300 s
#	Chip group name: Alisson
#	Chip number: 80
#	Information: monitoring
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1760024521.2595136
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,2.718277e-05,nan,nan,nan
-0.05,2.683179e-05,nan,nan,nan
-0.1,2.638207e-05,nan,nan,nan
-0.15000000000000002,2.62087e-05,nan,nan,nan
-0.2,2.653001e-05,nan,nan,nan
-0.25,2.736676e-05,nan,nan,nan
-0.30000000000000004,2.85734e-05,nan,nan,nan
-0.35000000000000003,3.030357e-05,nan,nan,nan
-0.4,3.21884e-05,nan,nan,nan
-0.45,3.440408e-05,nan,nan,nan
-0.5,3.66832e-05,nan,nan,nan
-0.55,3.916038e-05,nan,nan,nan
-0.6000000000000001,4.166277e-05,nan,nan,nan
-0.65,4.431499e-05,nan,nan,nan
-0.7000000000000001,4.668167e-05,nan,nan,nan
-0.75,4.916566e-05,nan,nan,nan
-0.8,5.164771e-05,nan,nan,nan
-0.8500000000000001,5.385611e-05,nan,nan,nan
-0.9,5.596295e-05,nan,nan,nan
-0.9500000000000001,5.806182e-05,nan,nan,nan
-1.0,5.996645e-05,nan,nan,nan
-1.05,6.179488e-05,nan,nan,nan
-1.1,6.367397e-05,nan,nan,nan
-1.1500000000000001,6.529413e-05,nan,nan,nan
-1.2000000000000002,6.784614e-05,nan,nan,nan
-1.25,6.861116e-05,nan,nan,nan
-1.3,7.002032e-05,nan,nan,nan
-1.35,7.139121e-05,nan,nan,nan
-1.4000000000000001,7.267108e-05,nan,nan,nan
-1.4500000000000002,7.396573e-05,nan,nan,nan
-1.5,7.531358e-05,nan,nan,nan
-1.55,7.661542e-05,nan,nan,nan
-1.6,7.777825e-05,nan,nan,nan
-1.6500000000000001,7.89271e-05,nan,nan,nan
-1.7000000000000002,7.998106e-05,nan,nan,nan
-1.75,8.11695e-05,nan,nan,nan
-1.8,8.218508e-05,nan,nan,nan
-1.85,8.318957e-05,nan,nan,nan
-1.9000000000000001,8.419604e-05,nan,nan,nan
-1.9500000000000002,8.510736e-05,nan,nan,nan
-2.0,8.597143e-05,nan,nan,nan
-2.0500000000000003,8.697292e-05,nan,nan,nan
-2.1,8.779061e-05,nan,nan,nan
-2.15,8.873251e-05,nan,nan,nan
-2.2,8.951113e-05,nan,nan,nan
-2.25,9.036191e-05,nan,nan,nan
-2.3000000000000003,9.123162e-05,nan,nan,nan
