#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.0001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 80
#	Information: Light testing
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 240 s
#	Laser voltage: 2.09 V
#	Laser wavelength: 385
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -0.6 V
#Metadata:
#	Start time: 1760025466.0202382
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,3.640362e-05,0.0,nan,nan,nan
0.08365526,3.940133e-05,0.0,nan,nan,nan
0.1670546,3.942814e-05,0.0,nan,nan,nan
0.2505619,3.942723e-05,0.0,nan,nan,nan
0.3345317,3.942216e-05,0.0,nan,nan,nan
0.4178329,3.94305e-05,0.0,nan,nan,nan
0.5012608,3.943045e-05,0.0,nan,nan,nan
0.5848393,3.943028e-05,0.0,nan,nan,nan
0.6681936,3.942798e-05,0.0,nan,nan,nan
0.7515994,3.942168e-05,0.0,nan,nan,nan
0.8351543,3.942881e-05,0.0,nan,nan,nan
0.9190213,3.941741e-05,0.0,nan,nan,nan
1.002668,3.943418e-05,0.0,nan,nan,nan
1.086201,3.943686e-05,0.0,nan,nan,nan
1.169877,3.943938e-05,0.0,nan,nan,nan
1.253421,3.943329e-05,0.0,nan,nan,nan
1.336828,3.944394e-05,0.0,nan,nan,nan
1.420241,3.944433e-05,0.0,nan,nan,nan
1.532714,3.942465e-05,0.0,nan,nan,nan
1.61606,3.942993e-05,0.0,nan,nan,nan
1.699569,3.943868e-05,0.0,nan,nan,nan
1.783157,3.945388e-05,0.0,nan,nan,nan
1.866438,3.944045e-05,0.0,nan,nan,nan
1.95003,3.94302e-05,0.0,nan,nan,nan
2.033757,3.942064e-05,0.0,nan,nan,nan
2.117243,3.942231e-05,0.0,nan,nan,nan
2.200751,3.942474e-05,0.0,nan,nan,nan
2.284661,3.942812e-05,0.0,nan,nan,nan
2.368035,3.941403e-05,0.0,nan,nan,nan
2.451883,3.941768e-05,0.0,nan,nan,nan
2.535445,3.943456e-05,0.0,nan,nan,nan
2.619186,3.94312e-05,0.0,nan,nan,nan
2.702934,3.943401e-05,0.0,nan,nan,nan
2.786485,3.940752e-05,0.0,nan,nan,nan
2.87004,3.940918e-05,0.0,nan,nan,nan
2.953535,3.940711e-05,0.0,nan,nan,nan
3.036955,3.94237e-05,0.0,nan,nan,nan
3.12038,3.939694e-05,0.0,nan,nan,nan
3.204044,3.942884e-05,0.0,nan,nan,nan
3.287467,3.943222e-05,0.0,nan,nan,nan
3.370999,3.941569e-05,0.0,nan,nan,nan
3.454396,3.9424e-05,0.0,nan,nan,nan
3.566849,3.940799e-05,0.0,nan,nan,nan
3.650373,3.94136e-05,0.0,nan,nan,nan
3.733891,3.941442e-05,0.0,nan,nan,nan
3.817413,3.940853e-05,0.0,nan,nan,nan
3.901052,3.939697e-05,0.0,nan,nan,nan
3.984774,3.942372e-05,0.0,nan,nan,nan
4.068305,3.944417e-05,0.0,nan,nan,nan
4.151733,3.943123e-05,0.0,nan,nan,nan
4.235031,3.94374e-05,0.0,nan,nan,nan
4.318364,3.943518e-05,0.0,nan,nan,nan
4.401754,3.943809e-05,0.0,nan,nan,nan
