#Procedure: <laser_setup.procedures.LaserCalibration.LaserCalibration>
#Parameters:
#	N_avg: 2
#	Optical fiber: F1 (M92L02)
#	Information: None
#	Laser wavelength: 385
#	Procedure version: 1.1.1
#	Step time: 0.5 s
#	Laser voltage end: 5 V
#	Laser voltage start: 0 V
#	Laser voltage step: 0.1 V
#Metadata:
#	Sensor model: S120VC
#	Start time: 1760024794.5077834
#Data:
VL (V),Power (W)
0.0,3.2583679099999998e-09
0.1,1.8383192149999998e-09
0.2,2.543449115e-07
0.30000000000000004,5.267963844999999e-07
0.4,8.455601235e-07
0.5,1.157094685e-06
0.6000000000000001,1.42586697e-06
0.7000000000000001,1.726557625e-06
0.8,2.020535365e-06
0.9,2.331779455e-06
1.0,2.64931691e-06
1.1,2.96669384e-06
1.2000000000000002,3.279893465e-06
1.3,3.5847241399999996e-06
1.4000000000000001,3.8866585300000005e-06
1.5,4.20372089e-06
1.6,4.507907985e-06
1.7000000000000002,4.809197435000001e-06
1.8,5.123685465e-06
1.9000000000000001,5.43720716e-06
2.0,5.71017108e-06
2.1,6.019507735e-06
2.2,6.3246607200000004e-06
2.3000000000000003,6.62562888e-06
2.4000000000000004,6.92434378e-06
2.5,7.226599565e-06
2.6,7.49119363e-06
2.7,7.784436095e-06
2.8000000000000003,8.08669256e-06
2.9000000000000004,8.383153725e-06
3.0,8.68186817e-06
3.1,8.976720890000001e-06
3.2,9.27607925e-06
3.3000000000000003,9.57833481e-06
3.4000000000000004,9.8770488e-06
3.5,1.01599917e-05
3.6,1.0459351e-05
3.7,1.073070465e-05
3.8000000000000003,1.1024269e-05
3.9000000000000004,1.1316546549999999e-05
4.0,1.16039955e-05
4.1000000000000005,1.1894984249999999e-05
4.2,1.21885496e-05
4.3,1.24499256e-05
4.4,1.274381065e-05
4.5,1.30293288e-05
4.6000000000000005,1.3306798350000001e-05
4.7,1.3597466449999999e-05
4.800000000000001,1.38845926e-05
4.9,1.41321275e-05
5.0,1.44160349e-05
