#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 71
#	Information: hbn - top - bio - bot 
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1757686615.0106933
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,9.477098e-09,nan,nan,nan
-0.05,9.649929e-09,nan,nan,nan
-0.1,9.88039e-09,nan,nan,nan
-0.15000000000000002,9.419484e-09,nan,nan,nan
-0.2,9.534698e-09,nan,nan,nan
-0.25,9.649938e-09,nan,nan,nan
-0.30000000000000004,9.592325e-09,nan,nan,nan
-0.35000000000000003,9.8804e-09,nan,nan,nan
-0.4,9.477102e-09,nan,nan,nan
-0.45,9.822791e-09,nan,nan,nan
-0.5,9.304259e-09,nan,nan,nan
-0.55,9.477107e-09,nan,nan,nan
-0.6000000000000001,9.477098e-09,nan,nan,nan
-0.65,9.361864e-09,nan,nan,nan
-0.7000000000000001,9.419473e-09,nan,nan,nan
-0.75,9.534714e-09,nan,nan,nan
-0.8,9.477102e-09,nan,nan,nan
-0.8500000000000001,9.477107e-09,nan,nan,nan
-0.9,9.707565e-09,nan,nan,nan
-0.9500000000000001,9.592318e-09,nan,nan,nan
-1.0,9.707557e-09,nan,nan,nan
-1.05,9.419491e-09,nan,nan,nan
-1.1,9.88039e-09,nan,nan,nan
-1.1500000000000001,9.880397e-09,nan,nan,nan
-1.2000000000000002,9.534713e-09,nan,nan,nan
-1.25,9.534711e-09,nan,nan,nan
-1.3,9.477102e-09,nan,nan,nan
-1.35,9.822781e-09,nan,nan,nan
-1.4000000000000001,9.707563e-09,nan,nan,nan
-1.4500000000000002,9.361871e-09,nan,nan,nan
-1.5,9.707563e-09,nan,nan,nan
-1.55,9.246641e-09,nan,nan,nan
-1.6,9.64994e-09,nan,nan,nan
-1.6500000000000001,9.419489e-09,nan,nan,nan
-1.7000000000000002,9.592327e-09,nan,nan,nan
-1.75,9.822781e-09,nan,nan,nan
-1.8,9.534713e-09,nan,nan,nan
-1.85,9.649924e-09,nan,nan,nan
-1.9000000000000001,9.649931e-09,nan,nan,nan
-1.9500000000000002,9.649945e-09,nan,nan,nan
-2.0,9.419491e-09,nan,nan,nan
-2.0500000000000003,9.419477e-09,nan,nan,nan
-2.1,9.707563e-09,nan,nan,nan
-2.15,9.765166e-09,nan,nan,nan
-2.2,9.822781e-09,nan,nan,nan
-2.25,9.534702e-09,nan,nan,nan
-2.3000000000000003,9.70754e-09,nan,nan,nan
-2.35,9.477088e-09,nan,nan,nan
-2.4000000000000004,9.592325e-09,nan,nan,nan
-2.45,9.534691e-09,nan,nan,nan
-2.5,9.76515e-09,nan,nan,nan
-2.5500000000000003,9.477096e-09,nan,nan,nan
-2.6,9.246657e-09,nan,nan,nan
-2.6500000000000004,9.592332e-09,nan,nan,nan
-2.7,9.649948e-09,nan,nan,nan
-2.75,9.880381e-09,nan,nan,nan
-2.8000000000000003,9.765154e-09,nan,nan,nan
-2.85,9.534705e-09,nan,nan,nan
-2.9000000000000004,9.534716e-09,nan,nan,nan
-2.95,9.707549e-09,nan,nan,nan
-3.0,9.649925e-09,nan,nan,nan
-3.0500000000000003,9.477107e-09,nan,nan,nan
-3.1,9.477102e-09,nan,nan,nan
-3.1500000000000004,9.649943e-09,nan,nan,nan
-3.2,9.189034e-09,nan,nan,nan
-3.25,9.131421e-09,nan,nan,nan
-3.3000000000000003,9.822784e-09,nan,nan,nan
-3.35,9.53472e-09,nan,nan,nan
-3.4000000000000004,9.649948e-09,nan,nan,nan
-3.45,9.707557e-09,nan,nan,nan
-3.5,9.592325e-09,nan,nan,nan
-3.5500000000000003,1.005323e-08,nan,nan,nan
-3.6,9.361877e-09,nan,nan,nan
-3.6500000000000004,9.246643e-09,nan,nan,nan
-3.7,9.361875e-09,nan,nan,nan
-3.75,9.592311e-09,nan,nan,nan
-3.8000000000000003,9.419464e-09,nan,nan,nan
-3.85,9.36185e-09,nan,nan,nan
-3.9000000000000004,9.649924e-09,nan,nan,nan
-3.95,9.534697e-09,nan,nan,nan
-4.0,9.534707e-09,nan,nan,nan
-4.05,9.649934e-09,nan,nan,nan
-4.1000000000000005,9.131403e-09,nan,nan,nan
-4.15,9.707557e-09,nan,nan,nan
-4.2,9.361878e-09,nan,nan,nan
-4.25,9.880393e-09,nan,nan,nan
-4.3,9.534714e-09,nan,nan,nan
-4.3500000000000005,9.592334e-09,nan,nan,nan
-4.4,9.649924e-09,nan,nan,nan
-4.45,9.707534e-09,nan,nan,nan
-4.5,9.707549e-09,nan,nan,nan
-4.55,9.938006e-09,nan,nan,nan
-4.6000000000000005,9.477072e-09,nan,nan,nan
-4.65,9.59232e-09,nan,nan,nan
-4.7,9.707552e-09,nan,nan,nan
-4.75,9.534704e-09,nan,nan,nan
-4.800000000000001,9.649932e-09,nan,nan,nan
-4.8500000000000005,9.419487e-09,nan,nan,nan
-4.9,9.4771e-09,nan,nan,nan
-4.95,1.005322e-08,nan,nan,nan
-5.0,9.534688e-09,nan,nan,nan
-4.95,9.304257e-09,nan,nan,nan
-4.9,9.419493e-09,nan,nan,nan
-4.8500000000000005,1.016847e-08,nan,nan,nan
-4.800000000000001,9.534716e-09,nan,nan,nan
-4.750000000000001,9.477088e-09,nan,nan,nan
-4.700000000000001,9.477098e-09,nan,nan,nan
-4.650000000000001,9.419496e-09,nan,nan,nan
-4.600000000000001,9.938002e-09,nan,nan,nan
-4.550000000000002,9.419468e-09,nan,nan,nan
-4.500000000000002,9.765165e-09,nan,nan,nan
-4.450000000000002,9.534713e-09,nan,nan,nan
-4.400000000000002,9.649934e-09,nan,nan,nan
-4.350000000000002,9.30426e-09,nan,nan,nan
-4.3000000000000025,9.649932e-09,nan,nan,nan
-4.250000000000003,9.131426e-09,nan,nan,nan
-4.200000000000003,9.36188e-09,nan,nan,nan
-4.150000000000003,9.361861e-09,nan,nan,nan
-4.100000000000003,9.649925e-09,nan,nan,nan
-4.050000000000003,9.765161e-09,nan,nan,nan
-4.0000000000000036,9.707543e-09,nan,nan,nan
-3.9500000000000037,9.765165e-09,nan,nan,nan
-3.900000000000004,9.592306e-09,nan,nan,nan
-3.850000000000004,9.765161e-09,nan,nan,nan
-3.8000000000000043,9.534723e-09,nan,nan,nan
-3.7500000000000044,9.361875e-09,nan,nan,nan
-3.7000000000000046,9.765179e-09,nan,nan,nan
-3.650000000000005,9.765174e-09,nan,nan,nan
-3.600000000000005,9.822775e-09,nan,nan,nan
-3.550000000000005,9.189034e-09,nan,nan,nan
-3.5000000000000053,9.361859e-09,nan,nan,nan
-3.4500000000000055,9.707534e-09,nan,nan,nan
