#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 75
#	Information: Light testing 365 mn
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 3.71 V
#	Laser wavelength: 365
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -3 V
#Metadata:
#	Start time: 1757700325.0110948
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,0.0001154199,0.0,nan,nan,nan
0.0834912,0.0001166967,0.0,nan,nan,nan
0.1675207,0.0001167362,0.0,nan,nan,nan
0.2508407,0.000116718,0.0,nan,nan,nan
0.3343974,0.0001167624,0.0,nan,nan,nan
0.4181281,0.0001167758,0.0,nan,nan,nan
0.501541,0.0001167598,0.0,nan,nan,nan
0.5849407,0.000116769,0.0,nan,nan,nan
0.6685397,0.0001167902,0.0,nan,nan,nan
0.7838758,0.0001167253,0.0,nan,nan,nan
0.8674492,0.0001167401,0.0,nan,nan,nan
0.9508633,0.0001167046,0.0,nan,nan,nan
1.034405,0.0001167124,0.0,nan,nan,nan
1.117914,0.00011666,0.0,nan,nan,nan
1.201389,0.0001166756,0.0,nan,nan,nan
1.284943,0.0001166869,0.0,nan,nan,nan
1.368445,0.0001166815,0.0,nan,nan,nan
1.451861,0.0001166982,0.0,nan,nan,nan
1.535736,0.0001166548,0.0,nan,nan,nan
1.619846,0.0001166631,0.0,nan,nan,nan
1.703569,0.0001166719,0.0,nan,nan,nan
1.787267,0.0001166406,0.0,nan,nan,nan
1.871039,0.0001166418,0.0,nan,nan,nan
1.954888,0.0001166335,0.0,nan,nan,nan
2.038346,0.0001166495,0.0,nan,nan,nan
2.121782,0.0001166088,0.0,nan,nan,nan
2.205619,0.0001166463,0.0,nan,nan,nan
2.289341,0.0001166355,0.0,nan,nan,nan
2.372875,0.0001166509,0.0,nan,nan,nan
2.456644,0.000116645,0.0,nan,nan,nan
2.540687,0.0001166237,0.0,nan,nan,nan
2.624638,0.0001166018,0.0,nan,nan,nan
2.708075,0.0001166203,0.0,nan,nan,nan
2.823078,0.0001166133,0.0,nan,nan,nan
2.90704,0.0001166781,0.0,nan,nan,nan
2.990374,0.0001166425,0.0,nan,nan,nan
3.07386,0.0001166452,0.0,nan,nan,nan
3.157942,0.0001166511,0.0,nan,nan,nan
3.241705,0.0001166837,0.0,nan,nan,nan
3.325198,0.0001167236,0.0,nan,nan,nan
3.409035,0.0001166903,0.0,nan,nan,nan
3.492943,0.0001167123,0.0,nan,nan,nan
3.5767,0.0001167154,0.0,nan,nan,nan
3.660372,0.0001167335,0.0,nan,nan,nan
3.74419,0.0001167394,0.0,nan,nan,nan
3.827626,0.0001167057,0.0,nan,nan,nan
3.911882,0.0001167382,0.0,nan,nan,nan
3.995619,0.0001167069,0.0,nan,nan,nan
4.079262,0.0001167405,0.0,nan,nan,nan
4.16275,0.0001167303,0.0,nan,nan,nan
4.246407,0.0001167158,0.0,nan,nan,nan
4.329905,0.0001167335,0.0,nan,nan,nan
4.413872,0.0001167342,0.0,nan,nan,nan
4.497909,0.0001167356,0.0,nan,nan,nan
4.581629,0.0001167677,0.0,nan,nan,nan
4.665388,0.0001168042,0.0,nan,nan,nan
4.749377,0.0001167705,0.0,nan,nan,nan
4.832962,0.0001167954,0.0,nan,nan,nan
4.917154,0.0001167992,0.0,nan,nan,nan
5.000848,0.0001168321,0.0,nan,nan,nan
5.084614,0.0001168224,0.0,nan,nan,nan
5.168609,0.0001168268,0.0,nan,nan,nan
5.252395,0.0001168121,0.0,nan,nan,nan
5.336031,0.0001168673,0.0,nan,nan,nan
5.419986,0.0001168525,0.0,nan,nan,nan
5.50376,0.0001168576,0.0,nan,nan,nan
5.587301,0.0001168465,0.0,nan,nan,nan
5.672165,0.0001168757,0.0,nan,nan,nan
5.756027,0.0001168743,0.0,nan,nan,nan
5.839698,0.0001168658,0.0,nan,nan,nan
5.923523,0.0001168852,0.0,nan,nan,nan
6.007384,0.0001169133,0.0,nan,nan,nan
6.091021,0.0001168922,0.0,nan,nan,nan
6.174975,0.0001169354,0.0,nan,nan,nan
6.258668,0.0001169326,0.0,nan,nan,nan
6.342527,0.000116944,0.0,nan,nan,nan
6.426302,0.000116944,0.0,nan,nan,nan
6.510054,0.0001169631,0.0,nan,nan,nan
6.593833,0.0001169529,0.0,nan,nan,nan
6.677486,0.0001169361,0.0,nan,nan,nan
6.761369,0.000116955,0.0,nan,nan,nan
6.844912,0.0001169811,0.0,nan,nan,nan
