#Procedure: <laser_setup.procedures.LaserCalibration.LaserCalibration>
#Parameters:
#	N_avg: 2
#	Optical fiber: F1 (M92L02)
#	Information: 365 max current calib
#	Laser wavelength: 365
#	Procedure version: 1.1.1
#	Step time: 2 s
#	Laser voltage end: 5 V
#	Laser voltage start: 0 V
#	Laser voltage step: 0.1 V
#Metadata:
#	Sensor model: S120VC
#	Start time: 1757694629.4063692
#Data:
VL (V),Power (W)
0.0,3.6454070899999998e-09
0.1,5.214191675e-07
0.2,1.284586575e-06
0.30000000000000004,2.005414445e-06
0.4,2.8129272749999997e-06
0.5,3.5956258e-06
0.6000000000000001,4.364912459999999e-06
0.7000000000000001,5.143292355e-06
0.8,5.84419786e-06
0.9,6.597480935e-06
1.0,7.361675445e-06
1.1,8.106955650000001e-06
1.2000000000000002,8.85369172e-06
1.3,9.5796936e-06
1.4000000000000001,1.029078475e-05
1.5,1.10255164e-05
1.6,1.1751155849999999e-05
1.7000000000000002,1.245606335e-05
1.8,1.31864299e-05
1.9000000000000001,1.39102508e-05
2.0,1.4553324e-05
2.1,1.52753255e-05
2.2,1.59955089e-05
2.3000000000000003,1.670296115e-05
2.4000000000000004,1.74016841e-05
2.5,1.81247779e-05
2.6,1.87511196e-05
2.7,1.94494787e-05
2.8000000000000003,2.016311465e-05
2.9000000000000004,2.08651127e-05
3.0,2.1578020100000002e-05
3.1,2.22760173e-05
3.2,2.29860161e-05
3.3000000000000003,2.3699288249999998e-05
3.4000000000000004,2.44067405e-05
3.5,2.50901876e-05
3.6,2.5799821700000002e-05
3.7,2.64578075e-05
3.8000000000000003,2.71630797e-05
3.9000000000000004,2.78472517e-05
4.0,2.8547795399999997e-05
4.1000000000000005,2.9252336400000003e-05
4.2,2.996415515e-05
4.3,3.0593040699999994e-05
4.4,3.12975844e-05
4.5,3.1989397049999997e-05
4.6000000000000005,3.26954942e-05
4.7,3.338207535e-05
4.800000000000001,3.4065004000000004e-05
4.9,3.468950675e-05
5.0,3.533591005e-05
