#Procedure: <laser_setup.procedures.LaserCalibration.LaserCalibration>
#Parameters:
#	N_avg: 2
#	Optical fiber: F1 (M92L02)
#	Information: Pa medir luz
#	Laser wavelength: 455
#	Procedure version: 1.1.1
#	Step time: 2 s
#	Laser voltage end: 5 V
#	Laser voltage start: 0 V
#	Laser voltage step: 0.1 V
#Metadata:
#	Sensor model: S120VC
#	Start time: 1757705130.7832413
#Data:
VL (V),Power (W)
0.0,5.84215143e-09
0.1,1.361978265e-07
0.2,8.303387065e-07
0.30000000000000004,1.52205325e-06
0.4,2.2418597600000002e-06
0.5,3.00244415e-06
0.6000000000000001,3.7704364799999997e-06
0.7000000000000001,4.5416391e-06
0.8,5.25456335e-06
0.9,6.00922158e-06
1.0,6.778941954999999e-06
1.1,7.53014251e-06
1.2000000000000002,8.289244759999999e-06
1.3,9.02217198e-06
1.4000000000000001,9.729169505e-06
1.5,1.0467528699999999e-05
1.6,1.119280025e-05
1.7000000000000002,1.189806925e-05
1.8,1.2617907450000001e-05
1.9000000000000001,1.33508338e-05
2.0,1.39936269e-05
2.1,1.47085261e-05
2.2,1.54172521e-05
2.3000000000000003,1.610745765e-05
2.4000000000000004,1.67850694e-05
2.5,1.747552145e-05
2.6,1.8086952e-05
2.7,1.8760119e-05
2.8000000000000003,1.944587805e-05
2.9000000000000004,2.01163293e-05
3.0,2.080727515e-05
3.1,2.14727861e-05
3.2,2.21877108e-05
3.3000000000000003,2.285964095e-05
3.4000000000000004,2.35042953e-05
3.5,2.4178701999999998e-05
3.6,2.48134393e-05
3.7,2.542089985e-05
3.8000000000000003,2.608291015e-05
3.9000000000000004,2.671020865e-05
4.0,2.7335027e-05
4.1000000000000005,2.799455705e-05
4.2,2.865408805e-05
4.3,2.9219400850000002e-05
4.4,2.98541372e-05
4.5,3.04938312e-05
4.6000000000000005,3.11062504e-05
4.7,3.17087579e-05
4.800000000000001,3.2360847400000005e-05
4.9,3.288401235e-05
5.0,3.35237037e-05
