#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 68
#	Information: Light testing 850 mn
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 1.93 V
#	Laser wavelength: 850
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -5.04 V
#Metadata:
#	Start time: 1757950455.4362183
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,0.0001012005,0.0,nan,nan,nan
0.08383874,0.0001010755,0.0,nan,nan,nan
0.1673789,0.000100774,0.0,nan,nan,nan
0.2512599,0.0001004548,0.0,nan,nan,nan
0.3347824,0.0001000481,0.0,nan,nan,nan
0.4184576,9.978825e-05,0.0,nan,nan,nan
0.5021211,9.949528e-05,0.0,nan,nan,nan
0.5856191,9.929095e-05,0.0,nan,nan,nan
0.6691826,9.908304e-05,0.0,nan,nan,nan
0.7531586,9.891249e-05,0.0,nan,nan,nan
0.8374141,9.865918e-05,0.0,nan,nan,nan
0.921061,9.846888e-05,0.0,nan,nan,nan
1.004693,9.834919e-05,0.0,nan,nan,nan
1.088336,9.813227e-05,0.0,nan,nan,nan
1.17179,9.794157e-05,0.0,nan,nan,nan
1.25523,9.781899e-05,0.0,nan,nan,nan
1.338699,9.764013e-05,0.0,nan,nan,nan
1.422117,9.754008e-05,0.0,nan,nan,nan
1.505575,9.734641e-05,0.0,nan,nan,nan
1.589093,9.724605e-05,0.0,nan,nan,nan
1.672627,9.715858e-05,0.0,nan,nan,nan
1.756126,9.70223e-05,0.0,nan,nan,nan
1.839695,9.685574e-05,0.0,nan,nan,nan
1.923276,9.669346e-05,0.0,nan,nan,nan
2.006719,9.660389e-05,0.0,nan,nan,nan
2.090101,9.653539e-05,0.0,nan,nan,nan
2.17393,9.634214e-05,0.0,nan,nan,nan
2.257485,9.631603e-05,0.0,nan,nan,nan
2.341078,9.61988e-05,0.0,nan,nan,nan
2.424926,9.611917e-05,0.0,nan,nan,nan
2.508532,9.605559e-05,0.0,nan,nan,nan
2.592193,9.593993e-05,0.0,nan,nan,nan
2.675672,9.579481e-05,0.0,nan,nan,nan
2.759219,9.569126e-05,0.0,nan,nan,nan
2.842691,9.563461e-05,0.0,nan,nan,nan
2.926136,9.553647e-05,0.0,nan,nan,nan
3.00972,9.554853e-05,0.0,nan,nan,nan
3.093327,9.546891e-05,0.0,nan,nan,nan
3.17683,9.534934e-05,0.0,nan,nan,nan
