#Procedure: <laser_setup.procedures.LaserCalibration.LaserCalibration>
#Parameters:
#	N_avg: 2
#	Optical fiber: F1 (M92L02)
#	Information: max current
#	Laser wavelength: 385
#	Procedure version: 1.1.1
#	Step time: 2 s
#	Laser voltage end: 5 V
#	Laser voltage start: 0 V
#	Laser voltage step: 0.1 V
#Metadata:
#	Sensor model: S120VC
#	Start time: 1757960090.4217587
#Data:
VL (V),Power (W)
0.0,4.82864387e-10
0.1,-7.435181930000001e-10
0.2,2.38498686e-07
0.30000000000000004,5.01849115e-07
0.4,7.992478575e-07
0.5,1.096485335e-06
0.6000000000000001,1.351702795e-06
0.7000000000000001,1.633158605e-06
0.8,1.91028971e-06
0.9,2.2082371049999997e-06
1.0,2.507604565e-06
1.1,2.80280892e-06
1.2000000000000002,3.09834672e-06
1.3,3.3928771499999996e-06
1.4000000000000001,3.67066957e-06
1.5,3.96970586e-06
1.6,4.261660935e-06
1.7000000000000002,4.543637485e-06
1.8,4.842030875000001e-06
1.9000000000000001,5.1355953e-06
2.0,5.392786534999999e-06
2.1,5.687638575e-06
2.2,5.968970755e-06
2.3000000000000003,6.258994745e-06
2.4000000000000004,6.535499325e-06
2.5,6.8181198e-06
2.6,7.0630785550000004e-06
2.7,7.3395831349999995e-06
2.8000000000000003,7.618662495e-06
2.9000000000000004,7.906111474999999e-06
3.0,8.18164972e-06
3.1,8.457510375e-06
3.2,8.73272711e-06
3.3000000000000003,9.016956935e-06
3.4000000000000004,9.29507041e-06
3.5,9.566747395e-06
3.6,9.84453936e-06
3.7,1.01068804e-05
3.8000000000000003,1.03775906e-05
3.9000000000000004,1.06460466e-05
4.0,1.09161142e-05
4.1000000000000005,1.11868239e-05
4.2,1.146622525e-05
4.3,1.17063564e-05
4.4,1.1977066600000001e-05
4.5,1.22474553e-05
4.6000000000000005,1.2504968250000001e-05
4.7,1.276988405e-05
4.800000000000001,1.3045100800000001e-05
4.9,1.3272355749999999e-05
5.0,1.353920425e-05
