#Procedure: <laser_setup.procedures.LaserCalibration.LaserCalibration>
#Parameters:
#	N_avg: 2
#	Optical fiber: F1 (M92L02)
#	Information: pa la otra muestra
#	Laser wavelength: 365
#	Procedure version: 1.1.1
#	Step time: 2 s
#	Laser voltage end: 5 V
#	Laser voltage start: 0 V
#	Laser voltage step: 0.1 V
#Metadata:
#	Sensor model: S120VC
#	Start time: 1757963256.2235758
#Data:
VL (V),Power (W)
0.0,1.250715575e-08
0.1,4.934116475e-07
0.2,1.22357551e-06
0.30000000000000004,1.913697245e-06
0.4,2.679818635e-06
0.5,3.422127065e-06
0.6000000000000001,4.146311085e-06
0.7000000000000001,4.892319565e-06
0.8,5.5575797e-06
0.9,6.26248607e-06
1.0,6.982305875e-06
1.1,7.685030140000001e-06
1.2000000000000002,8.386663014999999e-06
1.3,9.062471235e-06
1.4000000000000001,9.719728950000001e-06
1.5,1.041226915e-05
1.6,1.10855317e-05
1.7000000000000002,1.173733425e-05
1.8,1.24138696e-05
1.9000000000000001,1.30776757e-05
2.0,1.367128015e-05
2.1,1.43329034e-05
2.2,1.49890711e-05
2.3000000000000003,1.564014565e-05
2.4000000000000004,1.627994515e-05
2.5,1.69361119e-05
2.6,1.75024379e-05
2.7,1.81404175e-05
2.8000000000000003,1.87816722e-05
2.9000000000000004,1.94185614e-05
3.0,2.0060907449999998e-05
3.1,2.068943105e-05
3.2,2.13314124e-05
3.3000000000000003,2.1963574e-05
3.4000000000000004,2.26051916e-05
3.5,2.32075263e-05
3.6,2.38487792e-05
3.7,2.4433657e-05
3.8000000000000003,2.5059269300000002e-05
3.9000000000000004,2.5678336899999997e-05
4.0,2.62912199e-05
4.1000000000000005,2.692811085e-05
4.2,2.7548630900000002e-05
4.3,2.8113502600000003e-05
4.4,2.87274752e-05
4.5,2.9348362700000002e-05
4.6000000000000005,2.99456051e-05
4.7,3.0555213e-05
4.800000000000001,3.117137385e-05
4.9,3.16893202e-05
5.0,3.23266395e-05
