#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 72
#	Information: monitoring
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1758570679.4699981
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,2.792136e-05,nan,nan,nan
-0.05,2.865162e-05,nan,nan,nan
-0.1,2.892661e-05,nan,nan,nan
-0.15000000000000002,2.959407e-05,nan,nan,nan
-0.2,3.060314e-05,nan,nan,nan
-0.25,3.080728e-05,nan,nan,nan
-0.30000000000000004,3.134926e-05,nan,nan,nan
-0.35000000000000003,3.184064e-05,nan,nan,nan
-0.4,3.230732e-05,nan,nan,nan
-0.45,3.268462e-05,nan,nan,nan
-0.5,3.306954e-05,nan,nan,nan
-0.55,3.344879e-05,nan,nan,nan
-0.6000000000000001,3.375408e-05,nan,nan,nan
-0.65,3.409099e-05,nan,nan,nan
-0.7000000000000001,3.452574e-05,nan,nan,nan
-0.75,3.4646e-05,nan,nan,nan
-0.8,3.487272e-05,nan,nan,nan
-0.8500000000000001,3.508606e-05,nan,nan,nan
-0.9,3.528971e-05,nan,nan,nan
-0.9500000000000001,3.555556e-05,nan,nan,nan
-1.0,3.562769e-05,nan,nan,nan
-1.05,3.577087e-05,nan,nan,nan
-1.1,3.590412e-05,nan,nan,nan
-1.1500000000000001,3.601283e-05,nan,nan,nan
-1.2000000000000002,3.618183e-05,nan,nan,nan
-1.25,3.622509e-05,nan,nan,nan
-1.3,3.629022e-05,nan,nan,nan
-1.35,3.63772e-05,nan,nan,nan
-1.4000000000000001,3.643521e-05,nan,nan,nan
-1.4500000000000002,3.649816e-05,nan,nan,nan
-1.5,3.654422e-05,nan,nan,nan
-1.55,3.659363e-05,nan,nan,nan
-1.6,3.661842e-05,nan,nan,nan
-1.6500000000000001,3.665204e-05,nan,nan,nan
-1.7000000000000002,3.666272e-05,nan,nan,nan
-1.75,3.66739e-05,nan,nan,nan
-1.8,3.667183e-05,nan,nan,nan
-1.85,3.668356e-05,nan,nan,nan
-1.9000000000000001,3.667187e-05,nan,nan,nan
-1.9500000000000002,3.66619e-05,nan,nan,nan
-2.0,3.662048e-05,nan,nan,nan
-2.0500000000000003,3.662559e-05,nan,nan,nan
-2.1,3.660446e-05,nan,nan,nan
-2.15,3.654431e-05,nan,nan,nan
-2.2,3.654002e-05,nan,nan,nan
-2.25,3.649645e-05,nan,nan,nan
-2.3000000000000003,3.644354e-05,nan,nan,nan
-2.35,3.640327e-05,nan,nan,nan
-2.4000000000000004,3.633046e-05,nan,nan,nan
-2.45,3.6293e-05,nan,nan,nan
-2.5,3.623986e-05,nan,nan,nan
-2.5500000000000003,3.617819e-05,nan,nan,nan
-2.6,3.61218e-05,nan,nan,nan
-2.6500000000000004,3.605766e-05,nan,nan,nan
-2.7,3.59896e-05,nan,nan,nan
-2.75,3.591046e-05,nan,nan,nan
-2.8000000000000003,3.578807e-05,nan,nan,nan
-2.85,3.575397e-05,nan,nan,nan
-2.9000000000000004,3.567482e-05,nan,nan,nan
-2.95,3.559178e-05,nan,nan,nan
-3.0,3.549369e-05,nan,nan,nan
-3.0500000000000003,3.538348e-05,nan,nan,nan
-3.1,3.530005e-05,nan,nan,nan
