#Procedure: <laser_setup.procedures.LaserCalibration.LaserCalibration>
#Parameters:
#	N_avg: 2
#	Optical fiber: F1 (M92L02)
#	Information: 365
#	Laser wavelength: 365
#	Procedure version: 1.1.1
#	Step time: 2 s
#	Laser voltage end: 5 V
#	Laser voltage start: 0 V
#	Laser voltage step: 0.1 V
#Metadata:
#	Sensor model: S120VC
#	Start time: 1758551710.681514
#Data:
VL (V),Power (W)
0.0,3.463063835e-09
0.1,4.6062686449999997e-07
0.2,1.170988525e-06
0.30000000000000004,1.83850022e-06
0.4,2.5844912e-06
0.5,3.30427861e-06
0.6000000000000001,4.011731565e-06
0.7000000000000001,4.72973238e-06
0.8,5.375714635e-06
0.9,6.06061667e-06
1.0,6.755338745e-06
1.1,7.442422885e-06
1.2000000000000002,8.12004964e-06
1.3,8.776216415e-06
1.4000000000000001,9.430202225e-06
1.5,1.0092915550000001e-05
1.6,1.074981035e-05
1.7000000000000002,1.13812439e-05
1.8,1.203086275e-05
1.9000000000000001,1.26772102e-05
2.0,1.32537207e-05
2.1,1.3898975349999999e-05
2.2,1.4535500249999999e-05
2.3000000000000003,1.516257e-05
2.4000000000000004,1.57856375e-05
2.5,1.6416342999999998e-05
2.6,1.69764862e-05
2.7,1.7590095e-05
2.8000000000000003,1.821680235e-05
2.9000000000000004,1.8833685300000003e-05
3.0,1.9453844300000002e-05
3.1,2.006309025e-05
3.2,2.06821551e-05
3.3000000000000003,2.130195115e-05
3.4000000000000004,2.1913379000000002e-05
3.5,2.2510255799999997e-05
3.6,2.3118776e-05
3.7,2.37185641e-05
3.8000000000000003,2.432817565e-05
3.9000000000000004,2.49236e-05
4.0,2.552702515e-05
4.1000000000000005,2.6131179749999998e-05
4.2,2.67382429e-05
4.3,2.728565505e-05
4.4,2.788835355e-05
4.5,2.8485596e-05
4.6000000000000005,2.90581065e-05
4.7,2.965389465e-05
4.800000000000001,3.0248227600000003e-05
4.9,3.075817585e-05
5.0,3.13510518e-05
