#Procedure: <laser_setup.procedures.LaserCalibration.LaserCalibration>
#Parameters:
#	N_avg: 2
#	Optical fiber: F1 (M92L02)
#	Information: None
#	Laser wavelength: 850
#	Procedure version: 1.1.1
#	Step time: 2 s
#	Laser voltage end: 5 V
#	Laser voltage start: 0 V
#	Laser voltage step: 0.1 V
#Metadata:
#	Sensor model: S120VC
#	Start time: 1758571560.5293427
#Data:
VL (V),Power (W)
0.0,3.2995447500000002e-09
0.1,2.7663207900000003e-07
0.2,7.026727075e-07
0.30000000000000004,1.124096175e-06
0.4,1.59991487e-06
0.5,2.06958134e-06
0.6000000000000001,2.540871495e-06
0.7000000000000001,3.01880357e-06
0.8,3.4592452500000003e-06
0.9,3.933339715e-06
1.0,4.4182093e-06
1.1,4.895551e-06
1.2000000000000002,5.374516375e-06
1.3,5.8450687e-06
1.4000000000000001,6.30735531e-06
1.5,6.782925995e-06
1.6,7.260267465e-06
1.7000000000000002,7.720635495e-06
1.8,8.195762805000001e-06
1.9000000000000001,8.670742775e-06
2.0,9.090668300000002e-06
2.1,9.56579606e-06
2.2,1.00382672e-05
2.3000000000000003,1.0502029e-05
2.4000000000000004,1.0958854549999999e-05
2.5,1.14252739e-05
2.6,1.18347193e-05
2.7,1.229051125e-05
2.8000000000000003,1.2751322200000001e-05
2.9000000000000004,1.322187565e-05
3.0,1.36798108e-05
3.1,1.412441e-05
3.2,1.45867916e-05
3.3000000000000003,1.5029908349999999e-05
3.4000000000000004,1.548487945e-05
3.5,1.592058565e-05
3.6,1.63651839e-05
3.7,1.678014175e-05
3.8000000000000003,1.7223258499999998e-05
3.9000000000000004,1.7663409400000002e-05
4.0,1.809466995e-05
4.1000000000000005,1.85318568e-05
4.2,1.8970526999999998e-05
4.3,1.93573278e-05
4.4,1.97974796e-05
4.5,2.02213305e-05
4.6000000000000005,2.063036025e-05
4.7,2.104976465e-05
4.800000000000001,2.14750962e-05
4.9,2.18263285e-05
5.0,2.22442504e-05
