#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 72
#	Information: after 405 nm
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1758637680.3593848
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.989715e-05,nan,nan,nan
-0.05,2.05094e-05,nan,nan,nan
-0.1,2.211501e-05,nan,nan,nan
-0.15000000000000002,2.369513e-05,nan,nan,nan
-0.2,2.502899e-05,nan,nan,nan
-0.25,2.63046e-05,nan,nan,nan
-0.30000000000000004,2.745002e-05,nan,nan,nan
-0.35000000000000003,2.848776e-05,nan,nan,nan
-0.4,2.938559e-05,nan,nan,nan
-0.45,3.023891e-05,nan,nan,nan
-0.5,3.091048e-05,nan,nan,nan
-0.55,3.159567e-05,nan,nan,nan
-0.6000000000000001,3.220355e-05,nan,nan,nan
-0.65,3.271694e-05,nan,nan,nan
-0.7000000000000001,3.31952e-05,nan,nan,nan
-0.75,3.363195e-05,nan,nan,nan
-0.8,3.40448e-05,nan,nan,nan
-0.8500000000000001,3.43727e-05,nan,nan,nan
-0.9,3.467809e-05,nan,nan,nan
-0.9500000000000001,3.497714e-05,nan,nan,nan
-1.0,3.525472e-05,nan,nan,nan
-1.05,3.54902e-05,nan,nan,nan
-1.1,3.569511e-05,nan,nan,nan
-1.1500000000000001,3.588875e-05,nan,nan,nan
-1.2000000000000002,3.60675e-05,nan,nan,nan
-1.25,3.625024e-05,nan,nan,nan
-1.3,3.638653e-05,nan,nan,nan
-1.35,3.651582e-05,nan,nan,nan
-1.4000000000000001,3.663567e-05,nan,nan,nan
-1.4500000000000002,3.673634e-05,nan,nan,nan
-1.5,3.683535e-05,nan,nan,nan
-1.55,3.692273e-05,nan,nan,nan
-1.6,3.700922e-05,nan,nan,nan
-1.6500000000000001,3.706587e-05,nan,nan,nan
-1.7000000000000002,3.712831e-05,nan,nan,nan
-1.75,3.717757e-05,nan,nan,nan
-1.8,3.722506e-05,nan,nan,nan
-1.85,3.725772e-05,nan,nan,nan
-1.9000000000000001,3.729084e-05,nan,nan,nan
-1.9500000000000002,3.731265e-05,nan,nan,nan
-2.0,3.732984e-05,nan,nan,nan
-2.0500000000000003,3.732121e-05,nan,nan,nan
-2.1,3.732462e-05,nan,nan,nan
-2.15,3.732023e-05,nan,nan,nan
-2.2,3.731423e-05,nan,nan,nan
-2.25,3.730307e-05,nan,nan,nan
-2.3000000000000003,3.729279e-05,nan,nan,nan
-2.35,3.725145e-05,nan,nan,nan
-2.4000000000000004,3.723582e-05,nan,nan,nan
-2.45,3.720298e-05,nan,nan,nan
-2.5,3.716223e-05,nan,nan,nan
-2.5500000000000003,3.712883e-05,nan,nan,nan
-2.6,3.707964e-05,nan,nan,nan
-2.6500000000000004,3.704154e-05,nan,nan,nan
-2.7,3.698556e-05,nan,nan,nan
-2.75,3.693283e-05,nan,nan,nan
-2.8000000000000003,3.686263e-05,nan,nan,nan
-2.85,3.68029e-05,nan,nan,nan
-2.9000000000000004,3.675097e-05,nan,nan,nan
-2.95,3.667502e-05,nan,nan,nan
-3.0,3.659998e-05,nan,nan,nan
-3.0500000000000003,3.652798e-05,nan,nan,nan
-3.1,3.64488e-05,nan,nan,nan
-3.1500000000000004,3.636685e-05,nan,nan,nan
-3.2,3.628906e-05,nan,nan,nan
-3.25,3.620168e-05,nan,nan,nan
-3.3000000000000003,3.611998e-05,nan,nan,nan
