#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 72
#	Information: after calibration
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1758632087.7965221
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,2.340502e-05,nan,nan,nan
-0.05,2.388991e-05,nan,nan,nan
-0.1,2.523067e-05,nan,nan,nan
-0.15000000000000002,2.643014e-05,nan,nan,nan
-0.2,2.75449e-05,nan,nan,nan
-0.25,2.852013e-05,nan,nan,nan
-0.30000000000000004,2.94246e-05,nan,nan,nan
-0.35000000000000003,3.025538e-05,nan,nan,nan
-0.4,3.097576e-05,nan,nan,nan
-0.45,3.156339e-05,nan,nan,nan
-0.5,3.211175e-05,nan,nan,nan
-0.55,3.263879e-05,nan,nan,nan
-0.6000000000000001,3.31258e-05,nan,nan,nan
-0.65,3.354616e-05,nan,nan,nan
-0.7000000000000001,3.391579e-05,nan,nan,nan
-0.75,3.428063e-05,nan,nan,nan
-0.8,3.46051e-05,nan,nan,nan
-0.8500000000000001,3.490365e-05,nan,nan,nan
-0.9,3.514043e-05,nan,nan,nan
-0.9500000000000001,3.539802e-05,nan,nan,nan
-1.0,3.562187e-05,nan,nan,nan
-1.05,3.581931e-05,nan,nan,nan
-1.1,3.598244e-05,nan,nan,nan
-1.1500000000000001,3.613662e-05,nan,nan,nan
-1.2000000000000002,3.629474e-05,nan,nan,nan
-1.25,3.642937e-05,nan,nan,nan
-1.3,3.654171e-05,nan,nan,nan
-1.35,3.663448e-05,nan,nan,nan
-1.4000000000000001,3.674117e-05,nan,nan,nan
-1.4500000000000002,3.682745e-05,nan,nan,nan
-1.5,3.690294e-05,nan,nan,nan
-1.55,3.697738e-05,nan,nan,nan
-1.6,3.702537e-05,nan,nan,nan
-1.6500000000000001,3.708225e-05,nan,nan,nan
-1.7000000000000002,3.712081e-05,nan,nan,nan
-1.75,3.714909e-05,nan,nan,nan
-1.8,3.717536e-05,nan,nan,nan
-1.85,3.71943e-05,nan,nan,nan
-1.9000000000000001,3.720563e-05,nan,nan,nan
-1.9500000000000002,3.721555e-05,nan,nan,nan
-2.0,3.723417e-05,nan,nan,nan
-2.0500000000000003,3.723473e-05,nan,nan,nan
-2.1,3.722566e-05,nan,nan,nan
-2.15,3.719725e-05,nan,nan,nan
-2.2,3.71802e-05,nan,nan,nan
-2.25,3.715301e-05,nan,nan,nan
-2.3000000000000003,3.712321e-05,nan,nan,nan
-2.35,3.708915e-05,nan,nan,nan
-2.4000000000000004,3.70542e-05,nan,nan,nan
-2.45,3.702111e-05,nan,nan,nan
-2.5,3.697728e-05,nan,nan,nan
-2.5500000000000003,3.692289e-05,nan,nan,nan
-2.6,3.686607e-05,nan,nan,nan
-2.6500000000000004,3.68088e-05,nan,nan,nan
-2.7,3.675546e-05,nan,nan,nan
-2.75,3.670026e-05,nan,nan,nan
-2.8000000000000003,3.662761e-05,nan,nan,nan
-2.85,3.655456e-05,nan,nan,nan
-2.9000000000000004,3.649879e-05,nan,nan,nan
-2.95,3.642362e-05,nan,nan,nan
-3.0,3.633637e-05,nan,nan,nan
-3.0500000000000003,3.625698e-05,nan,nan,nan
-3.1,3.616869e-05,nan,nan,nan
-3.1500000000000004,3.608699e-05,nan,nan,nan
