#Procedure: <laser_setup.procedures.IVg.IVg>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 0 s
#	Chip group name: Alisson
#	Chip number: 72
#	Information: after calibration 680 nm
#	Laser voltage: 0 V
#	Laser wavelength: 455
#	Procedure version: 2.1.0
#	Sample: other
#	Step time: 0 s
#	VDS: 0.1 V
#	VG end: 5 V
#	VG start: -5 V
#	VG step: 0.05 V
#Metadata:
#	Start time: 1758633737.1495233
#Data:
Vg (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,2.341576e-05,nan,nan,nan
-0.05,2.409623e-05,nan,nan,nan
-0.1,2.528923e-05,nan,nan,nan
-0.15000000000000002,2.642477e-05,nan,nan,nan
-0.2,2.752406e-05,nan,nan,nan
-0.25,2.860928e-05,nan,nan,nan
-0.30000000000000004,2.941726e-05,nan,nan,nan
-0.35000000000000003,3.024572e-05,nan,nan,nan
-0.4,3.09149e-05,nan,nan,nan
-0.45,3.15601e-05,nan,nan,nan
-0.5,3.212535e-05,nan,nan,nan
-0.55,3.264532e-05,nan,nan,nan
-0.6000000000000001,3.31109e-05,nan,nan,nan
-0.65,3.352381e-05,nan,nan,nan
-0.7000000000000001,3.390292e-05,nan,nan,nan
-0.75,3.428565e-05,nan,nan,nan
-0.8,3.461663e-05,nan,nan,nan
-0.8500000000000001,3.488449e-05,nan,nan,nan
-0.9,3.515613e-05,nan,nan,nan
-0.9500000000000001,3.539044e-05,nan,nan,nan
-1.0,3.561467e-05,nan,nan,nan
-1.05,3.579996e-05,nan,nan,nan
-1.1,3.59823e-05,nan,nan,nan
-1.1500000000000001,3.622883e-05,nan,nan,nan
-1.2000000000000002,3.628437e-05,nan,nan,nan
-1.25,3.642671e-05,nan,nan,nan
-1.3,3.654654e-05,nan,nan,nan
-1.35,3.662358e-05,nan,nan,nan
-1.4000000000000001,3.673595e-05,nan,nan,nan
-1.4500000000000002,3.681982e-05,nan,nan,nan
-1.5,3.690846e-05,nan,nan,nan
-1.55,3.696755e-05,nan,nan,nan
-1.6,3.703144e-05,nan,nan,nan
-1.6500000000000001,3.707135e-05,nan,nan,nan
-1.7000000000000002,3.711526e-05,nan,nan,nan
-1.75,3.715638e-05,nan,nan,nan
-1.8,3.71843e-05,nan,nan,nan
-1.85,3.719717e-05,nan,nan,nan
-1.9000000000000001,3.72065e-05,nan,nan,nan
