#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 72
#	Information: Light testing
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 4.89 V
#	Laser wavelength: 365
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -3 V
#Metadata:
#	Start time: 1758642381.9670985
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,3.731369e-05,0.0,nan,nan,nan
0.08358006,3.730855e-05,0.0,nan,nan,nan
0.1673125,3.731248e-05,0.0,nan,nan,nan
0.2508559,3.731242e-05,0.0,nan,nan,nan
0.3342539,3.730562e-05,0.0,nan,nan,nan
0.440505,3.731261e-05,0.0,nan,nan,nan
0.5242101,3.731397e-05,0.0,nan,nan,nan
0.6079668,3.731784e-05,0.0,nan,nan,nan
0.6913742,3.731214e-05,0.0,nan,nan,nan
0.7749773,3.731573e-05,0.0,nan,nan,nan
0.8582613,3.730684e-05,0.0,nan,nan,nan
0.9418106,3.730753e-05,0.0,nan,nan,nan
1.025462,3.730603e-05,0.0,nan,nan,nan
1.109969,3.731207e-05,0.0,nan,nan,nan
1.193577,3.730845e-05,0.0,nan,nan,nan
1.276988,3.730309e-05,0.0,nan,nan,nan
1.36053,3.731138e-05,0.0,nan,nan,nan
1.44393,3.731091e-05,0.0,nan,nan,nan
1.527266,3.731212e-05,0.0,nan,nan,nan
1.610761,3.7307e-05,0.0,nan,nan,nan
1.694214,3.730666e-05,0.0,nan,nan,nan
1.777738,3.730125e-05,0.0,nan,nan,nan
1.861317,3.730937e-05,0.0,nan,nan,nan
1.944799,3.730992e-05,0.0,nan,nan,nan
2.028246,3.731202e-05,0.0,nan,nan,nan
2.111724,3.730878e-05,0.0,nan,nan,nan
2.195266,3.730456e-05,0.0,nan,nan,nan
2.278799,3.73103e-05,0.0,nan,nan,nan
2.362206,3.730799e-05,0.0,nan,nan,nan
2.474472,3.731766e-05,0.0,nan,nan,nan
2.558326,3.732002e-05,0.0,nan,nan,nan
2.641889,3.730417e-05,0.0,nan,nan,nan
2.725191,3.731524e-05,0.0,nan,nan,nan
2.808693,3.730083e-05,0.0,nan,nan,nan
2.8922,3.730238e-05,0.0,nan,nan,nan
2.975847,3.730314e-05,0.0,nan,nan,nan
3.05969,3.73049e-05,0.0,nan,nan,nan
3.143207,3.732835e-05,0.0,nan,nan,nan
3.226694,3.732049e-05,0.0,nan,nan,nan
3.310167,3.732095e-05,0.0,nan,nan,nan
3.393664,3.732889e-05,0.0,nan,nan,nan
3.477098,3.733022e-05,0.0,nan,nan,nan
3.560721,3.731904e-05,0.0,nan,nan,nan
3.644352,3.731792e-05,0.0,nan,nan,nan
3.727783,3.731637e-05,0.0,nan,nan,nan
3.811313,3.731425e-05,0.0,nan,nan,nan
3.894715,3.73207e-05,0.0,nan,nan,nan
3.978211,3.730798e-05,0.0,nan,nan,nan
4.061631,3.73055e-05,0.0,nan,nan,nan
4.145431,3.73076e-05,0.0,nan,nan,nan
4.228934,3.731258e-05,0.0,nan,nan,nan
4.312464,3.730947e-05,0.0,nan,nan,nan
4.395807,3.730541e-05,0.0,nan,nan,nan
4.479452,3.731173e-05,0.0,nan,nan,nan
4.563252,3.730486e-05,0.0,nan,nan,nan
4.646826,3.730966e-05,0.0,nan,nan,nan
4.73054,3.731276e-05,0.0,nan,nan,nan
4.813917,3.730314e-05,0.0,nan,nan,nan
4.897615,3.731127e-05,0.0,nan,nan,nan
4.981249,3.72955e-05,0.0,nan,nan,nan
5.064867,3.730371e-05,0.0,nan,nan,nan
5.148441,3.72993e-05,0.0,nan,nan,nan
