#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 72
#	Information: Light testing
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 2.12 V
#	Laser wavelength: 385
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: 0.3 V
#Metadata:
#	Start time: 1758654071.8091717
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,2.426388e-05,0.0,nan,nan,nan
0.08355802,2.428456e-05,0.0,nan,nan,nan
0.1675418,2.427788e-05,0.0,nan,nan,nan
0.2509294,2.42769e-05,0.0,nan,nan,nan
0.3343747,2.427424e-05,0.0,nan,nan,nan
0.4177673,2.42776e-05,0.0,nan,nan,nan
0.5013238,2.428578e-05,0.0,nan,nan,nan
0.5846815,2.429492e-05,0.0,nan,nan,nan
0.6688194,2.429965e-05,0.0,nan,nan,nan
0.7524409,2.429857e-05,0.0,nan,nan,nan
0.8371763,2.429048e-05,0.0,nan,nan,nan
0.9232169,2.428415e-05,0.0,nan,nan,nan
1.006558,2.429164e-05,0.0,nan,nan,nan
1.09039,2.428766e-05,0.0,nan,nan,nan
1.17384,2.42904e-05,0.0,nan,nan,nan
1.258416,2.428842e-05,0.0,nan,nan,nan
1.341912,2.429258e-05,0.0,nan,nan,nan
1.425779,2.429411e-05,0.0,nan,nan,nan
1.509426,2.429389e-05,0.0,nan,nan,nan
1.592792,2.428697e-05,0.0,nan,nan,nan
1.677137,2.428893e-05,0.0,nan,nan,nan
1.760654,2.427158e-05,0.0,nan,nan,nan
1.844047,2.429279e-05,0.0,nan,nan,nan
1.927459,2.429822e-05,0.0,nan,nan,nan
2.010872,2.428936e-05,0.0,nan,nan,nan
2.094331,2.42883e-05,0.0,nan,nan,nan
2.177871,2.429337e-05,0.0,nan,nan,nan
2.261184,2.43023e-05,0.0,nan,nan,nan
2.344778,2.42952e-05,0.0,nan,nan,nan
2.42834,2.429798e-05,0.0,nan,nan,nan
2.512258,2.43026e-05,0.0,nan,nan,nan
2.598315,2.43071e-05,0.0,nan,nan,nan
2.684024,2.430895e-05,0.0,nan,nan,nan
2.767426,2.430732e-05,0.0,nan,nan,nan
2.851265,2.429552e-05,0.0,nan,nan,nan
2.944432,2.42931e-05,0.0,nan,nan,nan
3.027969,2.429435e-05,0.0,nan,nan,nan
3.111386,2.429229e-05,0.0,nan,nan,nan
3.194948,2.429914e-05,0.0,nan,nan,nan
3.278351,2.429366e-05,0.0,nan,nan,nan
3.361911,2.430162e-05,0.0,nan,nan,nan
3.445384,2.430529e-05,0.0,nan,nan,nan
3.528924,2.428564e-05,0.0,nan,nan,nan
3.612244,2.429027e-05,0.0,nan,nan,nan
3.695647,2.428714e-05,0.0,nan,nan,nan
3.779195,2.428127e-05,0.0,nan,nan,nan
3.862725,2.42803e-05,0.0,nan,nan,nan
3.946591,2.429468e-05,0.0,nan,nan,nan
4.030062,2.428266e-05,0.0,nan,nan,nan
4.113514,2.428283e-05,0.0,nan,nan,nan
4.197016,2.428271e-05,0.0,nan,nan,nan
4.280926,2.42846e-05,0.0,nan,nan,nan
4.364448,2.428246e-05,0.0,nan,nan,nan
4.448434,2.428732e-05,0.0,nan,nan,nan
4.531798,2.428e-05,0.0,nan,nan,nan
4.615369,2.427719e-05,0.0,nan,nan,nan
4.698791,2.428612e-05,0.0,nan,nan,nan
4.782323,2.428923e-05,0.0,nan,nan,nan
4.865682,2.428422e-05,0.0,nan,nan,nan
4.949182,2.42837e-05,0.0,nan,nan,nan
5.032696,2.427241e-05,0.0,nan,nan,nan
5.116025,2.428381e-05,0.0,nan,nan,nan
5.199402,2.428612e-05,0.0,nan,nan,nan
5.283006,2.428761e-05,0.0,nan,nan,nan
5.366474,2.427701e-05,0.0,nan,nan,nan
5.450029,2.427316e-05,0.0,nan,nan,nan
5.533504,2.427272e-05,0.0,nan,nan,nan
5.616883,2.426634e-05,0.0,nan,nan,nan
5.700451,2.426862e-05,0.0,nan,nan,nan
5.784258,2.425421e-05,0.0,nan,nan,nan
5.868148,2.426226e-05,0.0,nan,nan,nan
5.951788,2.427897e-05,0.0,nan,nan,nan
6.035589,2.427921e-05,0.0,nan,nan,nan
6.120034,2.427437e-05,0.0,nan,nan,nan
6.203548,2.427558e-05,0.0,nan,nan,nan
6.286914,2.427855e-05,0.0,nan,nan,nan
6.370856,2.427436e-05,0.0,nan,nan,nan
6.454379,2.427332e-05,0.0,nan,nan,nan
6.538284,2.427568e-05,0.0,nan,nan,nan
6.621702,2.428029e-05,0.0,nan,nan,nan
6.705316,2.427637e-05,0.0,nan,nan,nan
6.788776,2.427222e-05,0.0,nan,nan,nan
6.872284,2.427994e-05,0.0,nan,nan,nan
6.956374,2.427283e-05,0.0,nan,nan,nan
7.067667,2.426791e-05,0.0,nan,nan,nan
7.151294,2.428075e-05,0.0,nan,nan,nan
7.234769,2.427415e-05,0.0,nan,nan,nan
7.318687,2.427177e-05,0.0,nan,nan,nan
7.40223,2.42791e-05,0.0,nan,nan,nan
7.485837,2.428509e-05,0.0,nan,nan,nan
7.569802,2.42769e-05,0.0,nan,nan,nan
7.653505,2.427063e-05,0.0,nan,nan,nan
7.73731,2.427615e-05,0.0,nan,nan,nan
7.820785,2.426693e-05,0.0,nan,nan,nan
7.904258,2.426648e-05,0.0,nan,nan,nan
7.988031,2.427852e-05,0.0,nan,nan,nan
8.071414,2.427771e-05,0.0,nan,nan,nan
8.154749,2.427984e-05,0.0,nan,nan,nan
8.238362,2.42761e-05,0.0,nan,nan,nan
8.322224,2.427558e-05,0.0,nan,nan,nan
8.405729,2.427494e-05,0.0,nan,nan,nan
8.489175,2.427806e-05,0.0,nan,nan,nan
8.572543,2.427845e-05,0.0,nan,nan,nan
8.655954,2.428071e-05,0.0,nan,nan,nan
8.739874,2.427869e-05,0.0,nan,nan,nan
8.823303,2.427937e-05,0.0,nan,nan,nan
8.906771,2.427021e-05,0.0,nan,nan,nan
8.990413,2.426728e-05,0.0,nan,nan,nan
9.114797,2.427696e-05,0.0,nan,nan,nan
9.198268,2.427268e-05,0.0,nan,nan,nan
