#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 72
#	Information: Light testing
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 3 V
#	Laser wavelength: 405
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -0.3 V
#Metadata:
#	Start time: 1758654669.2107105
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,2.184743e-05,0.0,nan,nan,nan
0.08359492,2.185206e-05,0.0,nan,nan,nan
0.1671806,2.185808e-05,0.0,nan,nan,nan
0.2504573,2.187212e-05,0.0,nan,nan,nan
0.333919,2.186528e-05,0.0,nan,nan,nan
0.4175486,2.188497e-05,0.0,nan,nan,nan
0.5009661,2.187848e-05,0.0,nan,nan,nan
0.5843293,2.187997e-05,0.0,nan,nan,nan
0.6678009,2.188038e-05,0.0,nan,nan,nan
0.7514996,2.18794e-05,0.0,nan,nan,nan
0.8352569,2.188919e-05,0.0,nan,nan,nan
0.9185558,2.188509e-05,0.0,nan,nan,nan
1.002047,2.187834e-05,0.0,nan,nan,nan
1.085566,2.187787e-05,0.0,nan,nan,nan
1.169552,2.187926e-05,0.0,nan,nan,nan
1.253041,2.189156e-05,0.0,nan,nan,nan
1.336539,2.188282e-05,0.0,nan,nan,nan
1.420065,2.187933e-05,0.0,nan,nan,nan
1.50355,2.18821e-05,0.0,nan,nan,nan
1.586997,2.188054e-05,0.0,nan,nan,nan
1.670441,2.18806e-05,0.0,nan,nan,nan
1.75381,2.188768e-05,0.0,nan,nan,nan
1.837815,2.189419e-05,0.0,nan,nan,nan
1.92165,2.189213e-05,0.0,nan,nan,nan
2.005078,2.188538e-05,0.0,nan,nan,nan
2.090847,2.187674e-05,0.0,nan,nan,nan
2.174522,2.187202e-05,0.0,nan,nan,nan
2.257953,2.187691e-05,0.0,nan,nan,nan
2.341324,2.187806e-05,0.0,nan,nan,nan
2.424936,2.18738e-05,0.0,nan,nan,nan
2.508161,2.188555e-05,0.0,nan,nan,nan
2.59157,2.188354e-05,0.0,nan,nan,nan
2.675059,2.188572e-05,0.0,nan,nan,nan
2.758535,2.188232e-05,0.0,nan,nan,nan
2.841827,2.188038e-05,0.0,nan,nan,nan
2.925869,2.188573e-05,0.0,nan,nan,nan
3.009731,2.187548e-05,0.0,nan,nan,nan
