#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 72
#	Information: Light testing
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 3 V
#	Laser wavelength: 405
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: 0.3 V
#Metadata:
#	Start time: 1758654849.5928066
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,2.227888e-05,0.0,nan,nan,nan
0.08352396,2.425661e-05,0.0,nan,nan,nan
0.1669583,2.428449e-05,0.0,nan,nan,nan
0.2505156,2.428587e-05,0.0,nan,nan,nan
0.3340855,2.429427e-05,0.0,nan,nan,nan
0.4174958,2.429276e-05,0.0,nan,nan,nan
0.5011378,2.429906e-05,0.0,nan,nan,nan
0.5852552,2.429388e-05,0.0,nan,nan,nan
0.6689028,2.429484e-05,0.0,nan,nan,nan
0.7527326,2.429075e-05,0.0,nan,nan,nan
0.8362816,2.428949e-05,0.0,nan,nan,nan
0.919834,2.428762e-05,0.0,nan,nan,nan
1.004106,2.429983e-05,0.0,nan,nan,nan
1.087735,2.430627e-05,0.0,nan,nan,nan
1.171269,2.429998e-05,0.0,nan,nan,nan
1.2551,2.430291e-05,0.0,nan,nan,nan
1.338852,2.431604e-05,0.0,nan,nan,nan
1.422506,2.430725e-05,0.0,nan,nan,nan
1.506679,2.430092e-05,0.0,nan,nan,nan
1.59018,2.431146e-05,0.0,nan,nan,nan
1.673814,2.429467e-05,0.0,nan,nan,nan
1.75738,2.431128e-05,0.0,nan,nan,nan
1.840878,2.429098e-05,0.0,nan,nan,nan
1.924355,2.430494e-05,0.0,nan,nan,nan
2.007784,2.430068e-05,0.0,nan,nan,nan
2.091867,2.430419e-05,0.0,nan,nan,nan
2.175414,2.430449e-05,0.0,nan,nan,nan
2.264871,2.429615e-05,0.0,nan,nan,nan
2.372748,2.428957e-05,0.0,nan,nan,nan
2.456483,2.431028e-05,0.0,nan,nan,nan
2.540035,2.43186e-05,0.0,nan,nan,nan
2.623461,2.431377e-05,0.0,nan,nan,nan
2.706925,2.431365e-05,0.0,nan,nan,nan
2.790267,2.432184e-05,0.0,nan,nan,nan
2.873764,2.431538e-05,0.0,nan,nan,nan
2.957279,2.432575e-05,0.0,nan,nan,nan
3.040771,2.430859e-05,0.0,nan,nan,nan
3.124255,2.430829e-05,0.0,nan,nan,nan
3.207897,2.431572e-05,0.0,nan,nan,nan
3.291756,2.431232e-05,0.0,nan,nan,nan
3.375309,2.431266e-05,0.0,nan,nan,nan
3.458712,2.430344e-05,0.0,nan,nan,nan
3.542252,2.430062e-05,0.0,nan,nan,nan
3.626005,2.43163e-05,0.0,nan,nan,nan
3.710006,2.43e-05,0.0,nan,nan,nan
3.793617,2.431739e-05,0.0,nan,nan,nan
3.877263,2.430443e-05,0.0,nan,nan,nan
3.961119,2.431337e-05,0.0,nan,nan,nan
4.044696,2.429804e-05,0.0,nan,nan,nan
4.128124,2.431243e-05,0.0,nan,nan,nan
4.212847,2.432454e-05,0.0,nan,nan,nan
4.296405,2.433243e-05,0.0,nan,nan,nan
4.380004,2.431514e-05,0.0,nan,nan,nan
4.463517,2.432597e-05,0.0,nan,nan,nan
4.546976,2.433034e-05,0.0,nan,nan,nan
4.630716,2.431835e-05,0.0,nan,nan,nan
4.714221,2.433572e-05,0.0,nan,nan,nan
4.798118,2.433427e-05,0.0,nan,nan,nan
4.881604,2.434015e-05,0.0,nan,nan,nan
4.9652,2.433743e-05,0.0,nan,nan,nan
5.048538,2.431474e-05,0.0,nan,nan,nan
5.132091,2.431852e-05,0.0,nan,nan,nan
5.215696,2.432164e-05,0.0,nan,nan,nan
5.299187,2.432095e-05,0.0,nan,nan,nan
5.382722,2.432114e-05,0.0,nan,nan,nan
5.466403,2.432766e-05,0.0,nan,nan,nan
5.549904,2.432183e-05,0.0,nan,nan,nan
5.6335,2.431981e-05,0.0,nan,nan,nan
5.717034,2.431733e-05,0.0,nan,nan,nan
5.800998,2.432349e-05,0.0,nan,nan,nan
5.885049,2.431526e-05,0.0,nan,nan,nan
5.968837,2.431691e-05,0.0,nan,nan,nan
6.052504,2.431276e-05,0.0,nan,nan,nan
6.135957,2.432089e-05,0.0,nan,nan,nan
6.219477,2.431186e-05,0.0,nan,nan,nan
6.303478,2.43137e-05,0.0,nan,nan,nan
6.386999,2.431452e-05,0.0,nan,nan,nan
6.472351,2.43167e-05,0.0,nan,nan,nan
6.555905,2.431815e-05,0.0,nan,nan,nan
6.639816,2.432908e-05,0.0,nan,nan,nan
6.724829,2.431607e-05,0.0,nan,nan,nan
6.808856,2.431613e-05,0.0,nan,nan,nan
6.892356,2.432805e-05,0.0,nan,nan,nan
6.97593,2.431393e-05,0.0,nan,nan,nan
7.059375,2.431406e-05,0.0,nan,nan,nan
7.142799,2.432856e-05,0.0,nan,nan,nan
7.226402,2.430932e-05,0.0,nan,nan,nan
7.30997,2.430984e-05,0.0,nan,nan,nan
7.393308,2.430616e-05,0.0,nan,nan,nan
7.478235,2.431099e-05,0.0,nan,nan,nan
7.561981,2.430661e-05,0.0,nan,nan,nan
7.645642,2.432516e-05,0.0,nan,nan,nan
7.729109,2.431588e-05,0.0,nan,nan,nan
7.812488,2.431369e-05,0.0,nan,nan,nan
7.896387,2.431462e-05,0.0,nan,nan,nan
7.979931,2.431877e-05,0.0,nan,nan,nan
8.063606,2.432627e-05,0.0,nan,nan,nan
8.151583,2.431383e-05,0.0,nan,nan,nan
8.235255,2.432136e-05,0.0,nan,nan,nan
8.318865,2.432044e-05,0.0,nan,nan,nan
8.402313,2.432108e-05,0.0,nan,nan,nan
8.530406,2.432229e-05,0.0,nan,nan,nan
8.613893,2.432475e-05,0.0,nan,nan,nan
8.697486,2.433088e-05,0.0,nan,nan,nan
8.781035,2.432339e-05,0.0,nan,nan,nan
8.864589,2.433012e-05,0.0,nan,nan,nan
8.948113,2.433184e-05,0.0,nan,nan,nan
