#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 81
#	Information: Light testing
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 3.09 V
#	Laser wavelength: 405
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: -1.5 V
#Metadata:
#	Start time: 1758820587.8153722
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.716946e-05,0.0,nan,nan,nan
0.1067125,1.745959e-05,0.0,nan,nan,nan
0.190292,1.746132e-05,0.0,nan,nan,nan
0.2739315,1.745446e-05,0.0,nan,nan,nan
0.35754,1.746114e-05,0.0,nan,nan,nan
0.4410784,1.745618e-05,0.0,nan,nan,nan
0.5246836,1.74491e-05,0.0,nan,nan,nan
0.6083155,1.745424e-05,0.0,nan,nan,nan
0.729349,1.745977e-05,0.0,nan,nan,nan
0.8127796,1.745578e-05,0.0,nan,nan,nan
0.8973053,1.745457e-05,0.0,nan,nan,nan
0.9808318,1.745584e-05,0.0,nan,nan,nan
1.064329,1.745521e-05,0.0,nan,nan,nan
1.147711,1.745268e-05,0.0,nan,nan,nan
1.231219,1.745671e-05,0.0,nan,nan,nan
1.336955,1.745942e-05,0.0,nan,nan,nan
1.420636,1.745751e-05,0.0,nan,nan,nan
1.504113,1.745503e-05,0.0,nan,nan,nan
1.587747,1.745169e-05,0.0,nan,nan,nan
1.671297,1.745354e-05,0.0,nan,nan,nan
1.783926,1.745407e-05,0.0,nan,nan,nan
1.867458,1.746056e-05,0.0,nan,nan,nan
2.038317,1.745796e-05,0.0,nan,nan,nan
2.122217,1.745884e-05,0.0,nan,nan,nan
2.205812,1.745227e-05,0.0,nan,nan,nan
2.289351,1.744998e-05,0.0,nan,nan,nan
2.380602,1.745366e-05,0.0,nan,nan,nan
2.464132,1.745839e-05,0.0,nan,nan,nan
2.554195,1.745608e-05,0.0,nan,nan,nan
2.637992,1.745499e-05,0.0,nan,nan,nan
2.723536,1.746115e-05,0.0,nan,nan,nan
2.807402,1.746063e-05,0.0,nan,nan,nan
2.890794,1.745878e-05,0.0,nan,nan,nan
2.974415,1.745687e-05,0.0,nan,nan,nan
3.057928,1.745942e-05,0.0,nan,nan,nan
3.141459,1.745638e-05,0.0,nan,nan,nan
3.224903,1.745366e-05,0.0,nan,nan,nan
3.349795,1.74434e-05,0.0,nan,nan,nan
3.433343,1.745164e-05,0.0,nan,nan,nan
3.516779,1.744581e-05,0.0,nan,nan,nan
3.600219,1.744408e-05,0.0,nan,nan,nan
3.68382,1.744957e-05,0.0,nan,nan,nan
3.789789,1.745065e-05,0.0,nan,nan,nan
3.873321,1.745377e-05,0.0,nan,nan,nan
3.956633,1.745181e-05,0.0,nan,nan,nan
4.04039,1.746086e-05,0.0,nan,nan,nan
4.123808,1.746057e-05,0.0,nan,nan,nan
4.207271,1.745061e-05,0.0,nan,nan,nan
4.290583,1.744934e-05,0.0,nan,nan,nan
4.373996,1.744577e-05,0.0,nan,nan,nan
4.457708,1.744224e-05,0.0,nan,nan,nan
4.552811,1.745003e-05,0.0,nan,nan,nan
4.636215,1.745365e-05,0.0,nan,nan,nan
4.737588,1.744468e-05,0.0,nan,nan,nan
4.821008,1.744737e-05,0.0,nan,nan,nan
4.904791,1.745055e-05,0.0,nan,nan,nan
4.988567,1.744894e-05,0.0,nan,nan,nan
5.072449,1.744773e-05,0.0,nan,nan,nan
5.156557,1.744667e-05,0.0,nan,nan,nan
5.23993,1.745118e-05,0.0,nan,nan,nan
5.364666,1.745423e-05,0.0,nan,nan,nan
5.448174,1.745147e-05,0.0,nan,nan,nan
5.531623,1.745205e-05,0.0,nan,nan,nan
5.615187,1.745164e-05,0.0,nan,nan,nan
5.698748,1.744834e-05,0.0,nan,nan,nan
5.782267,1.744852e-05,0.0,nan,nan,nan
5.865788,1.744979e-05,0.0,nan,nan,nan
5.972033,1.745044e-05,0.0,nan,nan,nan
6.05566,1.745061e-05,0.0,nan,nan,nan
6.146771,1.745176e-05,0.0,nan,nan,nan
6.230415,1.744726e-05,0.0,nan,nan,nan
6.313934,1.744542e-05,0.0,nan,nan,nan
6.397417,1.744812e-05,0.0,nan,nan,nan
6.480834,1.745716e-05,0.0,nan,nan,nan
6.564422,1.745677e-05,0.0,nan,nan,nan
6.64813,1.745078e-05,0.0,nan,nan,nan
6.753356,1.745435e-05,0.0,nan,nan,nan
6.836895,1.746127e-05,0.0,nan,nan,nan
6.921282,1.745343e-05,0.0,nan,nan,nan
7.005024,1.74536e-05,0.0,nan,nan,nan
7.088477,1.745603e-05,0.0,nan,nan,nan
7.172148,1.745153e-05,0.0,nan,nan,nan
7.255677,1.745586e-05,0.0,nan,nan,nan
7.349557,1.745919e-05,0.0,nan,nan,nan
7.433048,1.745994e-05,0.0,nan,nan,nan
7.520924,1.746271e-05,0.0,nan,nan,nan
7.604635,1.745453e-05,0.0,nan,nan,nan
7.688099,1.745251e-05,0.0,nan,nan,nan
7.771672,1.746236e-05,0.0,nan,nan,nan
7.855264,1.745664e-05,0.0,nan,nan,nan
7.938936,1.74555e-05,0.0,nan,nan,nan
8.022444,1.745055e-05,0.0,nan,nan,nan
8.131284,1.745885e-05,0.0,nan,nan,nan
8.215169,1.745545e-05,0.0,nan,nan,nan
8.298581,1.745405e-05,0.0,nan,nan,nan
8.382143,1.745049e-05,0.0,nan,nan,nan
8.465628,1.745452e-05,0.0,nan,nan,nan
8.572061,1.746028e-05,0.0,nan,nan,nan
8.655574,1.745671e-05,0.0,nan,nan,nan
8.740078,1.746184e-05,0.0,nan,nan,nan
8.824632,1.746081e-05,0.0,nan,nan,nan
8.908176,1.74657e-05,0.0,nan,nan,nan
8.991672,1.74589e-05,0.0,nan,nan,nan
9.075128,1.74582e-05,0.0,nan,nan,nan
9.166358,1.746316e-05,0.0,nan,nan,nan
9.250174,1.746098e-05,0.0,nan,nan,nan
9.333703,1.745879e-05,0.0,nan,nan,nan
9.417019,1.74571e-05,0.0,nan,nan,nan
9.500667,1.746533e-05,0.0,nan,nan,nan
9.616613,1.746098e-05,0.0,nan,nan,nan
9.700109,1.745959e-05,0.0,nan,nan,nan
9.783787,1.745896e-05,0.0,nan,nan,nan
9.867662,1.745779e-05,0.0,nan,nan,nan
9.951056,1.745623e-05,0.0,nan,nan,nan
10.0345,1.745072e-05,0.0,nan,nan,nan
10.11806,1.745343e-05,0.0,nan,nan,nan
10.23071,1.745285e-05,0.0,nan,nan,nan
10.31414,1.745204e-05,0.0,nan,nan,nan
10.4007,1.745142e-05,0.0,nan,nan,nan
10.48423,1.745205e-05,0.0,nan,nan,nan
10.56777,1.745447e-05,0.0,nan,nan,nan
10.65129,1.744842e-05,0.0,nan,nan,nan
10.73491,1.745015e-05,0.0,nan,nan,nan
10.81834,1.745584e-05,0.0,nan,nan,nan
10.90195,1.745153e-05,0.0,nan,nan,nan
11.00781,1.745516e-05,0.0,nan,nan,nan
11.09126,1.745843e-05,0.0,nan,nan,nan
11.17654,1.745602e-05,0.0,nan,nan,nan
11.2601,1.745538e-05,0.0,nan,nan,nan
11.3438,1.745309e-05,0.0,nan,nan,nan
11.42729,1.74517e-05,0.0,nan,nan,nan
11.51089,1.74479e-05,0.0,nan,nan,nan
11.59442,1.745676e-05,0.0,nan,nan,nan
11.6788,1.745245e-05,0.0,nan,nan,nan
11.78815,1.745811e-05,0.0,nan,nan,nan
11.8723,1.745614e-05,0.0,nan,nan,nan
11.95588,1.745569e-05,0.0,nan,nan,nan
12.03991,1.745995e-05,0.0,nan,nan,nan
12.12366,1.745652e-05,0.0,nan,nan,nan
12.2073,1.74562e-05,0.0,nan,nan,nan
12.2909,1.746041e-05,0.0,nan,nan,nan
12.38076,1.745889e-05,0.0,nan,nan,nan
12.46428,1.745208e-05,0.0,nan,nan,nan
12.55129,1.745446e-05,0.0,nan,nan,nan
12.63495,1.745376e-05,0.0,nan,nan,nan
12.71868,1.745094e-05,0.0,nan,nan,nan
12.80236,1.744876e-05,0.0,nan,nan,nan
12.88619,1.744618e-05,0.0,nan,nan,nan
12.96969,1.744437e-05,0.0,nan,nan,nan
13.05311,1.744196e-05,0.0,nan,nan,nan
13.1617,1.744663e-05,0.0,nan,nan,nan
13.24511,1.745157e-05,0.0,nan,nan,nan
13.33167,1.745475e-05,0.0,nan,nan,nan
13.41526,1.74593e-05,0.0,nan,nan,nan
13.49869,1.745441e-05,0.0,nan,nan,nan
13.58237,1.745417e-05,0.0,nan,nan,nan
13.79733,1.745217e-05,0.0,nan,nan,nan
13.88077,1.745262e-05,0.0,nan,nan,nan
13.96423,1.745487e-05,0.0,nan,nan,nan
14.04774,1.745217e-05,0.0,nan,nan,nan
14.1313,1.745384e-05,0.0,nan,nan,nan
14.24129,1.744773e-05,0.0,nan,nan,nan
14.3249,1.744554e-05,0.0,nan,nan,nan
14.41415,1.744548e-05,0.0,nan,nan,nan
14.49764,1.744835e-05,0.0,nan,nan,nan
14.58164,1.744859e-05,0.0,nan,nan,nan
14.70378,1.744531e-05,0.0,nan,nan,nan
14.78725,1.74536e-05,0.0,nan,nan,nan
14.87074,1.744173e-05,0.0,nan,nan,nan
14.9543,1.744738e-05,0.0,nan,nan,nan
15.03786,1.744749e-05,0.0,nan,nan,nan
15.12191,1.745924e-05,0.0,nan,nan,nan
15.20551,1.744241e-05,0.0,nan,nan,nan
15.30312,1.745037e-05,0.0,nan,nan,nan
15.38686,1.745003e-05,0.0,nan,nan,nan
15.47039,1.745205e-05,0.0,nan,nan,nan
15.55403,1.744421e-05,0.0,nan,nan,nan
15.63741,1.744495e-05,0.0,nan,nan,nan
15.72088,1.744986e-05,0.0,nan,nan,nan
15.80424,1.744991e-05,0.0,nan,nan,nan
15.88826,1.745577e-05,0.0,nan,nan,nan
15.97182,1.745492e-05,0.0,nan,nan,nan
16.08369,1.745486e-05,0.0,nan,nan,nan
16.16701,1.744692e-05,0.0,nan,nan,nan
16.25152,1.744489e-05,0.0,nan,nan,nan
16.33552,1.744592e-05,0.0,nan,nan,nan
16.41964,1.744651e-05,0.0,nan,nan,nan
16.50326,1.744696e-05,0.0,nan,nan,nan
16.58676,1.745042e-05,0.0,nan,nan,nan
16.67036,1.744903e-05,0.0,nan,nan,nan
16.75477,1.744483e-05,0.0,nan,nan,nan
16.87652,1.744773e-05,0.0,nan,nan,nan
16.96155,1.744635e-05,0.0,nan,nan,nan
17.04498,1.744956e-05,0.0,nan,nan,nan
17.12865,1.744765e-05,0.0,nan,nan,nan
17.21219,1.744264e-05,0.0,nan,nan,nan
17.30061,1.744974e-05,0.0,nan,nan,nan
17.38419,1.745043e-05,0.0,nan,nan,nan
17.46786,1.744449e-05,0.0,nan,nan,nan
17.55136,1.744283e-05,0.0,nan,nan,nan
17.66497,1.74434e-05,0.0,nan,nan,nan
17.74871,1.745083e-05,0.0,nan,nan,nan
