#Procedure: <laser_setup.procedures.It.It>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	T step start time: 120 s
#	Chip group name: Alisson
#	Chip number: 81
#	Information: Light testing
#	Initial (current) T: 0 C
#	Laser ON+OFF period: 120 s
#	Laser voltage: 3.09 V
#	Laser wavelength: 405
#	Procedure version: 2.2.0
#	Sample: other
#	Sampling time (excluding Keithley): 0 s
#	Target T: 25 C
#	VDS: 0.1 V
#	VG: 1 V
#Metadata:
#	Start time: 1758820332.0033362
#Data:
t (s),I (A),VL (V),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,1.440139e-05,0.0,nan,nan,nan
0.08356066,1.440329e-05,0.0,nan,nan,nan
0.1783109,1.439545e-05,0.0,nan,nan,nan
0.2617257,1.440466e-05,0.0,nan,nan,nan
0.3462673,1.440174e-05,0.0,nan,nan,nan
0.4301708,1.439736e-05,0.0,nan,nan,nan
0.5205711,1.439884e-05,0.0,nan,nan,nan
0.6041753,1.439925e-05,0.0,nan,nan,nan
0.6930368,1.439349e-05,0.0,nan,nan,nan
0.7767907,1.439263e-05,0.0,nan,nan,nan
0.8610134,1.438899e-05,0.0,nan,nan,nan
0.944958,1.439342e-05,0.0,nan,nan,nan
1.039507,1.438922e-05,0.0,nan,nan,nan
1.123058,1.438681e-05,0.0,nan,nan,nan
1.235862,1.439068e-05,0.0,nan,nan,nan
1.319662,1.438936e-05,0.0,nan,nan,nan
1.405372,1.439241e-05,0.0,nan,nan,nan
1.488948,1.439264e-05,0.0,nan,nan,nan
1.608007,1.438906e-05,0.0,nan,nan,nan
1.691808,1.438594e-05,0.0,nan,nan,nan
1.795966,1.438981e-05,0.0,nan,nan,nan
1.879833,1.43879e-05,0.0,nan,nan,nan
1.967296,1.438836e-05,0.0,nan,nan,nan
2.051614,1.43886e-05,0.0,nan,nan,nan
2.158734,1.439246e-05,0.0,nan,nan,nan
2.242344,1.438935e-05,0.0,nan,nan,nan
2.326096,1.438503e-05,0.0,nan,nan,nan
2.409592,1.43909e-05,0.0,nan,nan,nan
2.495792,1.438986e-05,0.0,nan,nan,nan
2.579702,1.439281e-05,0.0,nan,nan,nan
2.666422,1.438849e-05,0.0,nan,nan,nan
2.749966,1.439061e-05,0.0,nan,nan,nan
2.839244,1.438756e-05,0.0,nan,nan,nan
2.922572,1.438871e-05,0.0,nan,nan,nan
3.005978,1.438639e-05,0.0,nan,nan,nan
3.089539,1.438958e-05,0.0,nan,nan,nan
3.172946,1.438249e-05,0.0,nan,nan,nan
3.256585,1.438479e-05,0.0,nan,nan,nan
3.34004,1.438174e-05,0.0,nan,nan,nan
3.452073,1.438272e-05,0.0,nan,nan,nan
3.535562,1.438341e-05,0.0,nan,nan,nan
3.626477,1.43872e-05,0.0,nan,nan,nan
3.709976,1.438075e-05,0.0,nan,nan,nan
3.793812,1.438334e-05,0.0,nan,nan,nan
3.877268,1.43838e-05,0.0,nan,nan,nan
3.961081,1.438963e-05,0.0,nan,nan,nan
4.073024,1.439068e-05,0.0,nan,nan,nan
4.156921,1.43901e-05,0.0,nan,nan,nan
4.269288,1.438542e-05,0.0,nan,nan,nan
4.3532,1.438478e-05,0.0,nan,nan,nan
4.437081,1.438801e-05,0.0,nan,nan,nan
4.52081,1.438594e-05,0.0,nan,nan,nan
4.604179,1.438917e-05,0.0,nan,nan,nan
4.712832,1.43833e-05,0.0,nan,nan,nan
4.796831,1.438871e-05,0.0,nan,nan,nan
4.892259,1.438169e-05,0.0,nan,nan,nan
4.975676,1.438542e-05,0.0,nan,nan,nan
5.059164,1.438612e-05,0.0,nan,nan,nan
5.142892,1.438652e-05,0.0,nan,nan,nan
5.226943,1.438555e-05,0.0,nan,nan,nan
5.336113,1.438203e-05,0.0,nan,nan,nan
5.421096,1.438272e-05,0.0,nan,nan,nan
5.517702,1.438653e-05,0.0,nan,nan,nan
5.601182,1.43814e-05,0.0,nan,nan,nan
5.688732,1.438739e-05,0.0,nan,nan,nan
5.772261,1.438872e-05,0.0,nan,nan,nan
5.855814,1.438059e-05,0.0,nan,nan,nan
5.939471,1.437921e-05,0.0,nan,nan,nan
6.022845,1.438082e-05,0.0,nan,nan,nan
6.106407,1.43795e-05,0.0,nan,nan,nan
6.189897,1.437897e-05,0.0,nan,nan,nan
6.301262,1.438158e-05,0.0,nan,nan,nan
6.384839,1.438704e-05,0.0,nan,nan,nan
6.472746,1.438404e-05,0.0,nan,nan,nan
