#Procedure: <laser_setup.procedures.LaserCalibration.LaserCalibration>
#Parameters:
#	N_avg: 2
#	Optical fiber: F1 (M92L02)
#	Information: None
#	Laser wavelength: 505
#	Procedure version: 1.1.1
#	Step time: 0.2 s
#	Laser voltage end: 5 V
#	Laser voltage start: 0 V
#	Laser voltage step: 0.1 V
#Metadata:
#	Sensor model: S120VC
#	Start time: 1758818687.462615
#Data:
VL (V),Power (W)
0.0,4.574179925e-09
0.1,2.716986525e-09
0.2,3.278170485e-07
0.30000000000000004,6.566995125e-07
0.4,1.030471765e-06
0.5,1.398989525e-06
0.6000000000000001,1.71425995e-06
0.7000000000000001,2.072475465e-06
0.8,2.40296163e-06
0.9,2.764170065e-06
1.0,3.1287665949999996e-06
1.1,3.4836496050000003e-06
1.2000000000000002,3.8387584e-06
1.3,4.187542575e-06
1.4000000000000001,4.523902135e-06
1.5,4.875171045e-06
1.6,5.220566435e-06
1.7000000000000002,5.554892595e-06
1.8,5.904806584999999e-06
1.9000000000000001,6.24455447e-06
2.0,6.54680389e-06
2.1,6.88135583e-06
2.2,7.21364995e-06
2.3000000000000003,7.53961808e-06
2.4000000000000004,7.861746785e-06
2.5,8.185003935e-06
2.6,8.466922735000001e-06
2.7,8.782273655e-06
2.8000000000000003,9.10462768e-06
2.9000000000000004,9.423818939999999e-06
3.0,9.74278464e-06
3.1,1.005406965e-05
3.2,1.037393895e-05
3.3000000000000003,1.06870316e-05
3.4000000000000004,1.099831615e-05
3.5,1.130305055e-05
3.6,1.16080105e-05
3.7,1.18903804e-05
3.8000000000000003,1.219127535e-05
3.9000000000000004,1.24919434e-05
4.0,1.27883186e-05
4.1000000000000005,1.30912458e-05
4.2,1.339078475e-05
4.3,1.36553094e-05
4.4,1.395597745e-05
4.5,1.425506385e-05
4.6000000000000005,1.454127505e-05
4.7,1.483403595e-05
4.800000000000001,1.51274753e-05
4.9,1.53779938e-05
5.0,1.5668948450000002e-05
