#Procedure: <laser_setup.procedures.IV.IV>
#Parameters:
#	Irange: 1e-05 A
#	NPLC: 1
#	Burn-in time: 600 s
#	Chip group name: other
#	Chip number: 1
#	Information: Scratch - Source
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.0.1
#	Sample: other
#	Step time: 0 s
#	VG: 0 V
#	VSD end: 2 V
#	VSD start: -2 V
#	VSD step: 0.05 V
#Metadata:
#	Start time: 1757446063.381521
#Data:
Vsd (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,8.59407e-11,nan,nan,nan
-0.0005,4.95972e-10,nan,nan,nan
-0.0505,-3.908573e-10,nan,nan,nan
-0.1005,-4.947651e-11,nan,nan,nan
-0.15050000000000002,6.943743e-10,nan,nan,nan
-0.2005,1.098748e-10,nan,nan,nan
-0.2505,-6.333321e-11,nan,nan,nan
-0.30050000000000004,7.201984e-10,nan,nan,nan
-0.35050000000000003,-1.439543e-10,nan,nan,nan
-0.4005,-5.269061e-10,nan,nan,nan
-0.4505,1.086154e-10,nan,nan,nan
-0.5005,9.526125e-10,nan,nan,nan
-0.5505,-7.309792e-10,nan,nan,nan
-0.6005,8.594098e-11,nan,nan,nan
-0.6505,3.403999e-10,nan,nan,nan
-0.7005,-2.182773e-10,nan,nan,nan
-0.7505,-3.31004e-11,nan,nan,nan
-0.8005,6.395782e-10,nan,nan,nan
-0.8505,-6.094177e-10,nan,nan,nan
-0.9005,-5.294261e-10,nan,nan,nan
-0.9505,2.106661e-11,nan,nan,nan
-1.0005,-3.215736e-10,nan,nan,nan
-1.0505,-8.191598e-10,nan,nan,nan
-1.1005,1.218425e-10,nan,nan,nan
-1.1505,3.278032e-10,nan,nan,nan
-1.2005000000000001,-5.691073e-10,nan,nan,nan
-1.2505,-1.710382e-10,nan,nan,nan
-1.3005,6.761099e-10,nan,nan,nan
-1.3505,-5.92412e-10,nan,nan,nan
-1.4005,-4.248698e-10,nan,nan,nan
-1.4505000000000001,1.07356e-10,nan,nan,nan
-1.5005,6.452631e-11,nan,nan,nan
-1.5505,-8.361665e-10,nan,nan,nan
-1.6005,9.349932e-11,nan,nan,nan
-1.6505,3.101675e-10,nan,nan,nan
-1.7005000000000001,-5.779253e-10,nan,nan,nan
-1.7505,-2.315044e-10,nan,nan,nan
-1.8005,7.749969e-10,nan,nan,nan
-1.8505,-4.128832e-11,nan,nan,nan
-1.9005,-4.557333e-10,nan,nan,nan
-1.9505000000000001,5.320605e-12,nan,nan,nan
-2.0,-5.968217e-10,nan,nan,nan
-1.95,-5.697378e-10,nan,nan,nan
-1.9,3.089085e-10,nan,nan,nan
-1.8499999999999999,5.816335e-10,nan,nan,nan
-1.7999999999999998,-2.359135e-10,nan,nan,nan
-1.7499999999999998,3.441797e-10,nan,nan,nan
-1.6999999999999997,8.165665e-10,nan,nan,nan
-1.6499999999999997,-4.488045e-10,nan,nan,nan
-1.5999999999999996,-6.270326e-11,nan,nan,nan
-1.5499999999999996,4.657406e-10,nan,nan,nan
-1.4999999999999996,1.300306e-10,nan,nan,nan
-1.4499999999999995,-5.294266e-10,nan,nan,nan
-1.3999999999999995,3.290633e-10,nan,nan,nan
-1.3499999999999994,4.342482e-10,nan,nan,nan
-1.2999999999999994,6.956512e-11,nan,nan,nan
-1.2499999999999993,3.334721e-10,nan,nan,nan
-1.1999999999999993,9.51354e-10,nan,nan,nan
-1.1499999999999992,-3.921177e-10,nan,nan,nan
-1.0999999999999992,-2.995113e-11,nan,nan,nan
-1.0499999999999992,8.764015e-10,nan,nan,nan
