#Procedure: <laser_setup.procedures.IV.IV>
#Parameters:
#	Irange: 0.001 A
#	NPLC: 1
#	Burn-in time: 600 s
#	Chip group name: other
#	Chip number: 1
#	Information: Scratch - Source
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.0.1
#	Sample: other
#	Step time: 0 s
#	VG: 0 V
#	VSD end: 1 V
#	VSD start: -1 V
#	VSD step: 0.05 V
#Metadata:
#	Start time: 1757446007.8127143
#Data:
Vsd (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,9.362434e-09,nan,nan,nan
-0.0005,9.362431e-09,nan,nan,nan
-0.0505,9.535285e-09,nan,nan,nan
-0.1005,8.440596e-09,nan,nan,nan
-0.15050000000000002,8.210129e-09,nan,nan,nan
-0.2005,8.498205e-09,nan,nan,nan
-0.2505,8.152524e-09,nan,nan,nan
-0.30050000000000004,7.691607e-09,nan,nan,nan
-0.35050000000000003,8.037301e-09,nan,nan,nan
-0.4005,9.074373e-09,nan,nan,nan
-0.4505,8.843909e-09,nan,nan,nan
-0.5005,7.461141e-09,nan,nan,nan
-0.5505,8.671078e-09,nan,nan,nan
-0.6005,9.477683e-09,nan,nan,nan
-0.6505,7.691604e-09,nan,nan,nan
-0.7005,7.230685e-09,nan,nan,nan
-0.7505,8.037299e-09,nan,nan,nan
-0.8005,8.498221e-09,nan,nan,nan
-0.8505,7.461152e-09,nan,nan,nan
-0.9005,7.000235e-09,nan,nan,nan
-0.9505,7.922072e-09,nan,nan,nan
-1.0,8.843925e-09,nan,nan,nan
-0.95,8.959141e-09,nan,nan,nan
-0.8999999999999999,7.979676e-09,nan,nan,nan
-0.8499999999999999,9.362461e-09,nan,nan,nan
-0.7999999999999998,1.028428e-08,nan,nan,nan
-0.7499999999999998,8.959141e-09,nan,nan,nan
-0.6999999999999997,8.728692e-09,nan,nan,nan
-0.6499999999999997,9.708156e-09,nan,nan,nan
-0.5999999999999996,9.938612e-09,nan,nan,nan
-0.5499999999999996,8.786307e-09,nan,nan,nan
-0.49999999999999956,8.786307e-09,nan,nan,nan
-0.4499999999999995,9.420077e-09,nan,nan,nan
-0.39999999999999947,1.011145e-08,nan,nan,nan
-0.3499999999999994,8.959125e-09,nan,nan,nan
-0.2999999999999994,9.420067e-09,nan,nan,nan
-0.24999999999999933,9.996221e-09,nan,nan,nan
-0.1999999999999993,1.016906e-08,nan,nan,nan
-0.14999999999999925,9.59291e-09,nan,nan,nan
-0.0999999999999992,9.304827e-09,nan,nan,nan
-0.049999999999999156,1.016904e-08,nan,nan,nan
-0.0005,9.477658e-09,nan,nan,nan
0.0005,8.267749e-09,nan,nan,nan
0.0505,9.650513e-09,nan,nan,nan
0.1005,1.03419e-08,nan,nan,nan
0.15050000000000002,9.420049e-09,nan,nan,nan
0.2005,9.535269e-09,nan,nan,nan
0.2505,9.996191e-09,nan,nan,nan
0.30050000000000004,1.045711e-08,nan,nan,nan
0.35050000000000003,1.016903e-08,nan,nan,nan
0.4005,9.880946e-09,nan,nan,nan
0.4505,1.028425e-08,nan,nan,nan
0.5005,1.062995e-08,nan,nan,nan
0.5505,1.011142e-08,nan,nan,nan
0.6005,1.016902e-08,nan,nan,nan
0.6505,1.103325e-08,nan,nan,nan
0.7005,1.08028e-08,nan,nan,nan
0.7505,9.823344e-09,nan,nan,nan
0.8005,1.022666e-08,nan,nan,nan
0.8505,1.04571e-08,nan,nan,nan
0.9005,1.114847e-08,nan,nan,nan
0.9505,1.005379e-08,nan,nan,nan
1.0,1.045711e-08,nan,nan,nan
0.95,9.477636e-09,nan,nan,nan
0.8999999999999999,1.005379e-08,nan,nan,nan
0.8499999999999999,9.535253e-09,nan,nan,nan
0.7999999999999998,9.18957e-09,nan,nan,nan
0.7499999999999998,9.592879e-09,nan,nan,nan
0.6999999999999997,9.362417e-09,nan,nan,nan
0.6499999999999997,9.074345e-09,nan,nan,nan
0.5999999999999996,8.786268e-09,nan,nan,nan
0.5499999999999996,9.36242e-09,nan,nan,nan
0.49999999999999956,9.708121e-09,nan,nan,nan
0.4499999999999995,8.440578e-09,nan,nan,nan
0.39999999999999947,8.786282e-09,nan,nan,nan
0.3499999999999994,9.247202e-09,nan,nan,nan
0.2999999999999994,9.304802e-09,nan,nan,nan
0.24999999999999933,8.555823e-09,nan,nan,nan
0.1999999999999993,9.535274e-09,nan,nan,nan
0.14999999999999925,9.765735e-09,nan,nan,nan
0.0999999999999992,8.382978e-09,nan,nan,nan
0.049999999999999156,7.749213e-09,nan,nan,nan
0.0005,9.420056e-09,nan,nan,nan
-0.0495,9.189598e-09,nan,nan,nan
